2,global_rounds,id_list
3,0,"[83, 23, 75, 1, 48, 3, 68, 55, 87, 69, 14, 26, 67, 2, 57, 47, 62, 5, 60, 6]"
4,1,"[65, 96, 57, 53, 39, 64, 47, 24, 42, 87, 77, 76, 78, 20, 93, 10, 46, 50, 95, 72]"
5,2,"[1, 81, 32, 5, 63, 16, 22, 62, 69, 19, 18, 21, 89, 3, 17, 90, 61, 43, 72, 94]"
6,3,"[35, 9, 83, 78, 87, 79, 95, 53, 52, 41, 33, 13, 16, 71, 90, 51, 36, 18, 4, 49]"
7,4,"[12, 73, 58, 23, 71, 78, 6, 83, 35, 39, 18, 11, 5, 93, 97, 16, 56, 42, 96, 52]"
8,5,"[80, 75, 89, 56, 81, 94, 95, 45, 74, 77, 83, 25, 22, 30, 33, 93, 21, 92, 71, 85]"
9,6,"[38, 4, 60, 35, 47, 43, 57, 72, 54, 67, 24, 49, 73, 42, 65, 98, 2, 80, 85, 96]"
10,7,"[22, 74, 3, 81, 11, 7, 87, 24, 8, 68, 2, 71, 82, 91, 79, 73, 33, 18, 59, 97]"
11,8,"[79, 24, 13, 65, 72, 14, 85, 16, 67, 0, 47, 73, 93, 6, 91, 17, 50, 90, 42, 43]"
12,9,"[83, 0, 57, 25, 49, 62, 2, 4, 21, 90, 91, 36, 84, 42, 23, 1, 96, 27, 87, 14]"
13,10,"[28, 75, 86, 37, 6, 70, 69, 63, 60, 85, 12, 53, 29, 38, 71, 18, 89, 52, 92, 81]"
14,11,"[98, 67, 2, 26, 83, 9, 17, 89, 72, 95, 31, 8, 19, 77, 4, 82, 3, 40, 34, 39]"
15,12,"[13, 85, 93, 38, 88, 43, 77, 92, 29, 3, 31, 27, 83, 25, 86, 48, 7, 22, 53, 59]"
16,13,"[62, 72, 16, 97, 1, 37, 82, 96, 24, 23, 48, 27, 0, 45, 38, 47, 21, 90, 25, 63]"
17,14,"[41, 68, 87, 10, 42, 90, 26, 72, 78, 80, 73, 70, 82, 96, 52, 85, 47, 34, 55, 43]"
18,15,"[39, 50, 62, 41, 95, 13, 44, 61, 45, 82, 81, 32, 26, 76, 33, 78, 4, 54, 12, 84]"
19,16,"[1, 99, 3, 61, 35, 60, 39, 27, 71, 25, 91, 12, 22, 66, 5, 64, 53, 58, 44, 92]"
20,17,"[69, 75, 3, 82, 76, 21, 27, 43, 6, 18, 20, 87, 46, 48, 40, 13, 66, 17, 73, 45]"
21,18,"[48, 42, 11, 8, 80, 70, 91, 41, 15, 49, 74, 52, 23, 92, 40, 35, 64, 76, 31, 94]"
22,19,"[91, 59, 1, 46, 98, 27, 42, 54, 37, 85, 9, 38, 28, 82, 4, 95, 39, 2, 45, 75]"
23,20,"[45, 7, 60, 63, 14, 99, 35, 93, 47, 30, 33, 80, 40, 65, 0, 18, 79, 72, 5, 70]"
24,21,"[0, 60, 70, 84, 47, 33, 78, 56, 51, 29, 52, 91, 15, 37, 73, 92, 17, 18, 43, 44]"
25,22,"[86, 41, 11, 8, 34, 21, 69, 26, 52, 93, 72, 88, 4, 85, 92, 13, 5, 99, 49, 29]"
26,23,"[59, 10, 7, 38, 51, 30, 26, 16, 15, 46, 1, 73, 60, 91, 25, 97, 4, 3, 63, 89]"
27,24,"[81, 25, 83, 8, 12, 32, 29, 17, 82, 19, 85, 20, 48, 0, 7, 84, 31, 96, 71, 79]"
28,25,"[45, 4, 3, 98, 73, 40, 56, 46, 31, 2, 97, 95, 43, 75, 60, 71, 66, 16, 39, 68]"
29,26,"[77, 74, 1, 66, 84, 89, 69, 6, 44, 23, 65, 90, 33, 43, 86, 4, 36, 64, 22, 40]"
30,27,"[22, 36, 76, 26, 53, 54, 65, 92, 58, 11, 10, 94, 75, 55, 74, 51, 41, 66, 27, 44]"
31,28,"[60, 14, 64, 33, 36, 88, 56, 13, 41, 25, 93, 53, 38, 22, 51, 70, 85, 27, 11, 7]"
32,29,"[22, 73, 51, 47, 55, 11, 16, 97, 74, 41, 57, 8, 23, 27, 18, 13, 5, 38, 69, 91]"
33,30,"[17, 67, 69, 88, 14, 45, 58, 19, 85, 22, 62, 28, 5, 38, 27, 79, 8, 71, 23, 48]"
34,31,"[34, 36, 87, 40, 25, 47, 42, 35, 65, 44, 27, 80, 30, 94, 88, 55, 91, 6, 89, 4]"
35,32,"[53, 6, 67, 40, 15, 0, 13, 52, 3, 86, 64, 82, 31, 91, 2, 29, 80, 42, 5, 14]"
36,33,"[14, 55, 26, 73, 41, 85, 18, 54, 7, 74, 79, 15, 97, 94, 39, 47, 78, 83, 24, 9]"
37,34,"[86, 54, 72, 36, 49, 14, 78, 8, 60, 42, 31, 97, 59, 1, 63, 22, 39, 12, 98, 85]"
38,35,"[11, 76, 65, 45, 93, 2, 98, 67, 96, 99, 39, 17, 16, 64, 1, 49, 46, 55, 90, 57]"
39,36,"[63, 93, 39, 2, 51, 14, 38, 94, 42, 83, 34, 22, 25, 36, 86, 67, 20, 74, 49, 48]"
40,37,"[17, 0, 44, 92, 7, 60, 28, 2, 3, 8, 81, 6, 74, 89, 82, 53, 95, 36, 30, 90]"
41,38,"[81, 29, 1, 69, 47, 97, 25, 10, 93, 62, 68, 66, 80, 64, 22, 70, 27, 53, 39, 92]"
42,39,"[88, 47, 51, 62, 26, 35, 69, 16, 60, 73, 99, 74, 92, 67, 5, 3, 40, 32, 36, 94]"
43,40,"[93, 76, 17, 23, 57, 5, 44, 51, 45, 53, 2, 42, 40, 25, 80, 13, 73, 91, 83, 18]"
44,41,"[66, 99, 5, 34, 27, 37, 43, 88, 69, 78, 24, 67, 59, 79, 90, 64, 95, 4, 32, 97]"
