2,global_rounds,id_list
3,0,"[7, 16, 26, 38, 40, 43, 14, 22, 2, 41, 6, 47, 17, 24, 27, 34, 3, 35, 48, 18, 46, 23, 9, 8, 15, 45, 25, 4, 42, 21, 31, 33, 28, 10, 19, 39, 0, 30, 5, 13, 11, 49, 20, 37, 1, 44, 29, 32, 36, 12]"
4,1,"[46, 22, 24, 3, 0, 17, 10, 14, 39, 9, 2, 40, 15, 20, 43, 11, 33, 36, 28, 31, 44, 26, 13, 6, 23, 4, 34, 35, 49, 47, 7, 27, 12, 8, 21, 29, 37, 38, 5, 30, 41, 16, 48, 18, 42, 25, 1, 19, 32, 45]"
5,2,"[33, 34, 3, 29, 35, 39, 46, 8, 47, 0, 36, 40, 18, 41, 21, 22, 2, 5, 31, 10, 27, 7, 6, 4, 43, 16, 48, 13, 12, 9, 38, 28, 32, 49, 17, 15, 11, 44, 24, 1, 45, 19, 20, 42, 14, 26, 30, 23, 37, 25]"
6,3,"[31, 21, 28, 45, 13, 0, 12, 48, 34, 47, 42, 24, 16, 23, 19, 10, 40, 27, 15, 49, 33, 26, 9, 3, 18, 5, 11, 29, 8, 4, 2, 1, 30, 6, 22, 39, 46, 14, 37, 44, 36, 7, 25, 20, 43, 32, 41, 35, 38, 17]"
7,4,"[45, 43, 46, 16, 39, 19, 12, 29, 47, 35, 6, 7, 44, 31, 18, 11, 25, 36, 5, 21, 8, 22, 38, 13, 32, 9, 49, 4, 20, 24, 26, 37, 1, 42, 15, 41, 0, 28, 48, 3, 17, 30, 27, 40, 34, 10, 14, 23, 33, 2]"
8,5,"[28, 47, 12, 32, 16, 26, 35, 27, 41, 48, 29, 0, 42, 20, 3, 8, 39, 31, 44, 49, 2, 13, 33, 7, 5, 1, 37, 22, 30, 9, 21, 14, 34, 45, 18, 38, 23, 4, 15, 43, 24, 40, 19, 11, 10, 46, 36, 25, 6, 17]"
9,6,"[28, 4, 31, 30, 17, 13, 33, 27, 1, 49, 19, 39, 0, 2, 45, 22, 23, 3, 32, 20, 5, 29, 40, 48, 24, 37, 10, 18, 41, 26, 47, 44, 43, 16, 9, 12, 7, 46, 14, 34, 42, 21, 8, 6, 35, 25, 36, 11, 15, 38]"
10,7,"[38, 45, 22, 18, 11, 13, 12, 14, 23, 44, 27, 49, 34, 6, 1, 41, 36, 4, 40, 2, 42, 43, 20, 15, 29, 48, 31, 9, 47, 24, 17, 37, 16, 33, 19, 7, 8, 39, 26, 5, 3, 32, 30, 25, 0, 46, 21, 10, 35, 28]"
11,8,"[37, 18, 22, 49, 23, 6, 43, 17, 27, 3, 44, 29, 34, 7, 5, 0, 10, 47, 30, 21, 13, 38, 2, 31, 14, 1, 48, 9, 45, 28, 39, 15, 8, 46, 32, 33, 40, 19, 24, 16, 11, 36, 42, 26, 41, 12, 20, 25, 35, 4]"
12,9,"[27, 46, 34, 42, 43, 10, 38, 26, 25, 41, 2, 6, 48, 37, 22, 15, 17, 1, 9, 16, 8, 28, 7, 40, 20, 19, 30, 14, 33, 31, 29, 35, 11, 23, 0, 36, 44, 3, 32, 12, 21, 4, 18, 49, 13, 39, 5, 45, 47, 24]"
