2,global_rounds,id_list
3,0,"[73, 83, 1, 35, 77, 69, 58, 22, 37, 28, 59, 7, 81, 82, 24, 67, 44, 39, 31, 97, 85, 62, 76, 95, 20, 72, 8, 55, 16, 9]"
4,1,"[50, 90, 14, 3, 65, 82, 81, 62, 74, 39, 45, 9, 94, 57, 63, 20, 5, 36, 16, 21, 99, 92, 56, 53, 93, 87, 35, 23, 89, 55]"
5,2,"[30, 2, 79, 90, 78, 76, 83, 64, 9, 88, 67, 5, 77, 69, 60, 51, 57, 43, 8, 62, 53, 55, 4, 66, 36, 3, 37, 20, 49, 47]"
6,3,"[86, 15, 64, 49, 14, 94, 87, 73, 29, 42, 23, 80, 51, 39, 34, 85, 66, 47, 11, 88, 31, 96, 59, 72, 37, 19, 98, 95, 20, 38]"
7,4,"[90, 37, 44, 0, 88, 7, 17, 12, 52, 72, 47, 31, 77, 46, 23, 28, 53, 22, 84, 20, 34, 85, 97, 75, 35, 66, 96, 86, 8, 21]"
8,5,"[94, 42, 78, 82, 4, 1, 11, 31, 71, 93, 44, 96, 39, 75, 19, 67, 65, 30, 18, 36, 26, 9, 74, 49, 53, 47, 24, 84, 17, 99]"
9,6,"[15, 66, 26, 77, 63, 64, 34, 38, 9, 32, 0, 98, 97, 70, 10, 21, 61, 37, 79, 88, 48, 52, 30, 62, 47, 11, 19, 50, 1, 84]"
10,7,"[80, 69, 12, 66, 25, 85, 49, 82, 2, 41, 39, 63, 0, 35, 4, 3, 94, 92, 13, 44, 10, 8, 21, 36, 71, 78, 16, 90, 53, 55]"
11,8,"[80, 70, 41, 1, 6, 54, 49, 13, 65, 93, 81, 30, 0, 72, 20, 67, 57, 55, 71, 97, 51, 17, 25, 3, 14, 56, 4, 82, 63, 12]"
12,9,"[19, 52, 32, 86, 61, 78, 95, 21, 79, 92, 70, 29, 85, 59, 80, 1, 82, 28, 47, 77, 39, 84, 48, 64, 44, 11, 25, 87, 42, 24]"
13,10,"[69, 27, 9, 34, 18, 41, 54, 71, 86, 77, 47, 67, 97, 78, 29, 46, 39, 4, 94, 0, 60, 92, 82, 73, 50, 20, 99, 30, 32, 10]"
14,11,"[13, 61, 76, 53, 62, 35, 48, 33, 25, 77, 93, 92, 81, 21, 70, 36, 60, 28, 86, 14, 69, 42, 9, 49, 95, 31, 22, 65, 66, 88]"
15,12,"[55, 28, 81, 97, 98, 51, 62, 31, 34, 29, 42, 40, 79, 86, 76, 13, 73, 50, 93, 12, 11, 36, 85, 88, 30, 7, 99, 60, 2, 18]"
16,13,"[32, 49, 88, 54, 18, 81, 76, 28, 59, 93, 94, 36, 48, 7, 77, 31, 34, 52, 86, 85, 20, 65, 35, 10, 70, 80, 43, 74, 66, 25]"
17,14,"[51, 26, 38, 73, 56, 36, 29, 2, 93, 30, 47, 41, 97, 69, 71, 53, 54, 66, 24, 7, 48, 40, 75, 65, 39, 59, 45, 27, 81, 96]"
18,15,"[83, 8, 77, 10, 29, 47, 34, 12, 6, 9, 98, 48, 30, 96, 66, 95, 36, 54, 64, 33, 37, 15, 92, 51, 46, 20, 27, 72, 85, 93]"
19,16,"[19, 95, 87, 3, 10, 83, 82, 89, 2, 37, 80, 25, 62, 56, 43, 65, 40, 72, 55, 31, 16, 26, 38, 53, 61, 68, 60, 12, 45, 92]"
20,17,"[2, 40, 68, 0, 32, 70, 96, 54, 36, 69, 42, 3, 19, 76, 97, 98, 59, 89, 88, 48, 45, 66, 87, 16, 4, 30, 81, 56, 57, 35]"
21,18,"[77, 13, 11, 96, 58, 42, 9, 98, 37, 6, 32, 28, 52, 60, 44, 19, 8, 35, 88, 67, 81, 89, 50, 94, 15, 3, 75, 63, 65, 27]"
22,19,"[22, 88, 2, 82, 54, 67, 49, 17, 26, 45, 72, 81, 19, 8, 95, 3, 92, 14, 15, 53, 66, 34, 27, 46, 99, 18, 87, 57, 69, 77]"
23,20,"[95, 10, 57, 59, 45, 34, 96, 66, 40, 70, 80, 56, 81, 32, 48, 69, 93, 74, 91, 54, 44, 78, 85, 18, 24, 38, 35, 87, 90, 28]"
24,21,"[83, 62, 8, 38, 60, 31, 70, 2, 55, 73, 23, 13, 44, 21, 39, 88, 82, 74, 53, 92, 50, 87, 18, 34, 94, 84, 61, 3, 96, 0]"
25,22,"[37, 13, 95, 82, 17, 92, 44, 48, 46, 73, 18, 88, 60, 68, 41, 36, 4, 85, 11, 93, 98, 15, 58, 67, 75, 72, 6, 21, 63, 32]"
26,23,"[83, 84, 96, 47, 57, 78, 38, 14, 43, 34, 56, 42, 9, 81, 30, 27, 31, 74, 3, 40, 45, 23, 22, 69, 85, 11, 46, 33, 82, 0]"
27,24,"[17, 39, 36, 0, 74, 66, 54, 65, 55, 50, 59, 6, 42, 68, 91, 63, 31, 8, 21, 30, 33, 20, 94, 93, 76, 28, 53, 1, 61, 37]"
28,25,"[26, 31, 32, 75, 90, 39, 24, 42, 87, 29, 98, 80, 82, 78, 27, 71, 33, 93, 7, 21, 60, 2, 96, 45, 61, 59, 88, 13, 17, 81]"
29,26,"[69, 97, 68, 43, 78, 21, 72, 31, 51, 8, 47, 54, 32, 92, 48, 20, 6, 18, 83, 75, 37, 88, 16, 87, 52, 41, 11, 0, 45, 94]"
30,27,"[56, 13, 23, 43, 60, 37, 62, 19, 80, 89, 21, 35, 55, 52, 93, 58, 95, 46, 6, 92, 50, 90, 18, 74, 25, 73, 31, 26, 67, 99]"
31,28,"[11, 69, 33, 3, 44, 79, 98, 35, 74, 2, 58, 17, 71, 22, 43, 7, 46, 99, 67, 19, 68, 82, 70, 55, 15, 41, 78, 27, 38, 77]"
32,29,"[36, 74, 89, 78, 55, 80, 52, 25, 13, 1, 39, 46, 60, 51, 23, 68, 44, 58, 2, 27, 47, 53, 12, 81, 82, 84, 71, 65, 26, 34]"
33,30,"[23, 99, 51, 15, 58, 95, 24, 7, 96, 25, 83, 35, 5, 17, 64, 34, 55, 13, 30, 28, 12, 80, 11, 26, 44, 21, 91, 71, 68, 14]"
34,31,"[30, 7, 41, 20, 75, 56, 38, 48, 50, 83, 34, 73, 99, 47, 77, 42, 17, 96, 1, 11, 90, 2, 15, 80, 76, 87, 25, 92, 4, 65]"
35,32,"[71, 22, 51, 30, 12, 41, 24, 90, 5, 82, 0, 38, 14, 70, 48, 92, 33, 26, 88, 93, 18, 32, 96, 54, 84, 37, 16, 66, 36, 73]"
36,33,"[43, 25, 78, 16, 64, 29, 42, 74, 84, 57, 27, 36, 54, 28, 39, 62, 1, 41, 55, 70, 12, 65, 75, 32, 3, 99, 61, 18, 86, 34]"
37,34,"[56, 20, 23, 27, 26, 80, 24, 98, 35, 16, 86, 25, 68, 18, 66, 97, 64, 37, 11, 59, 62, 28, 76, 7, 70, 79, 75, 32, 41, 71]"
38,35,"[92, 42, 45, 14, 66, 34, 38, 60, 0, 52, 37, 70, 69, 74, 56, 91, 50, 31, 68, 47, 53, 90, 8, 84, 11, 40, 26, 36, 80, 27]"
39,36,"[64, 70, 4, 6, 40, 78, 98, 2, 73, 24, 1, 5, 33, 45, 13, 37, 10, 91, 94, 47, 30, 16, 71, 69, 90, 53, 79, 46, 22, 7]"
40,37,"[2, 65, 83, 84, 68, 11, 50, 88, 96, 91, 9, 95, 1, 54, 71, 48, 19, 40, 42, 56, 55, 93, 86, 75, 44, 51, 36, 4, 27, 31]"
41,38,"[40, 25, 31, 56, 79, 84, 61, 66, 57, 54, 20, 10, 83, 23, 58, 21, 46, 17, 4, 94, 44, 41, 89, 16, 97, 14, 52, 68, 76, 99]"
42,39,"[30, 49, 56, 47, 96, 61, 77, 84, 62, 27, 32, 22, 1, 2, 81, 78, 66, 88, 45, 25, 72, 91, 5, 83, 54, 55, 28, 13, 48, 36]"
43,40,"[22, 24, 68, 98, 76, 71, 50, 5, 70, 65, 26, 3, 67, 58, 97, 37, 78, 55, 0, 72, 90, 96, 4, 35, 40, 94, 91, 27, 81, 2]"
44,41,"[81, 39, 42, 33, 18, 15, 63, 34, 93, 28, 99, 31, 74, 70, 87, 48, 90, 0, 3, 62, 61, 5, 8, 97, 35, 25, 2, 82, 49, 12]"
45,42,"[11, 61, 38, 98, 4, 36, 86, 63, 72, 66, 16, 73, 77, 37, 35, 80, 51, 70, 56, 55, 85, 47, 75, 17, 28, 68, 34, 9, 15, 88]"
46,43,"[50, 11, 80, 22, 56, 68, 41, 66, 28, 26, 0, 24, 51, 85, 98, 92, 78, 45, 87, 67, 35, 7, 13, 30, 29, 38, 81, 61, 47, 93]"
47,44,"[3, 94, 51, 69, 33, 72, 32, 56, 14, 53, 9, 37, 67, 98, 91, 21, 61, 79, 65, 2, 41, 97, 38, 0, 36, 29, 68, 82, 89, 96]"
48,45,"[61, 54, 34, 28, 4, 19, 6, 74, 94, 59, 99, 47, 53, 27, 39, 24, 78, 57, 68, 45, 29, 80, 22, 67, 13, 50, 17, 56, 89, 91]"
49,46,"[62, 11, 88, 89, 3, 23, 63, 22, 9, 80, 82, 27, 59, 37, 78, 40, 35, 18, 5, 49, 71, 75, 92, 44, 20, 45, 69, 96, 43, 68]"
50,47,"[52, 3, 43, 88, 99, 13, 47, 10, 59, 72, 12, 42, 76, 36, 55, 80, 75, 31, 25, 60, 86, 19, 74, 84, 8, 85, 23, 89, 34, 73]"
51,48,"[94, 25, 13, 42, 53, 73, 32, 15, 52, 31, 49, 87, 34, 78, 40, 24, 70, 85, 2, 5, 54, 82, 27, 99, 1, 95, 72, 89, 71, 23]"
52,49,"[35, 60, 0, 9, 47, 59, 39, 45, 58, 49, 71, 97, 37, 36, 63, 83, 22, 28, 48, 84, 64, 75, 68, 79, 94, 82, 98, 56, 12, 23]"
53,50,"[9, 99, 80, 68, 18, 24, 77, 45, 66, 56, 39, 79, 29, 28, 15, 52, 26, 74, 34, 30, 88, 25, 46, 95, 14, 12, 75, 6, 70, 8]"
54,51,"[74, 32, 24, 57, 6, 85, 30, 56, 75, 40, 37, 63, 66, 12, 73, 48, 15, 45, 42, 91, 59, 93, 11, 13, 54, 18, 95, 79, 90, 55]"
55,52,"[7, 25, 58, 64, 93, 54, 87, 31, 69, 57, 73, 56, 52, 68, 34, 47, 36, 95, 43, 88, 78, 84, 94, 10, 3, 22, 66, 41, 74, 16]"
56,53,"[50, 51, 66, 48, 65, 82, 63, 55, 26, 76, 80, 83, 99, 35, 3, 19, 79, 2, 57, 70, 56, 6, 27, 60, 17, 8, 52, 89, 21, 54]"
57,54,"[87, 73, 86, 42, 29, 41, 25, 50, 46, 96, 63, 7, 49, 64, 40, 47, 84, 16, 85, 66, 72, 17, 45, 65, 11, 31, 54, 99, 74, 20]"
58,55,"[77, 2, 8, 0, 50, 57, 14, 56, 24, 7, 79, 18, 46, 52, 80, 26, 40, 41, 87, 62, 60, 3, 98, 25, 43, 86, 31, 55, 6, 58]"
59,56,"[14, 8, 36, 83, 0, 86, 60, 91, 21, 61, 59, 11, 66, 46, 15, 75, 80, 93, 87, 97, 92, 23, 77, 33, 12, 73, 76, 10, 29, 68]"
60,57,"[4, 74, 65, 5, 1, 56, 42, 86, 94, 71, 47, 25, 80, 77, 19, 60, 70, 10, 13, 83, 15, 61, 98, 36, 59, 84, 82, 78, 53, 37]"
61,58,"[86, 60, 47, 1, 50, 21, 61, 63, 29, 48, 59, 93, 30, 6, 89, 65, 2, 0, 22, 85, 95, 44, 67, 17, 7, 46, 38, 31, 25, 35]"
62,59,"[95, 80, 97, 74, 12, 14, 28, 54, 58, 41, 49, 26, 29, 13, 21, 38, 66, 55, 99, 72, 50, 65, 81, 40, 52, 1, 62, 8, 63, 31]"
63,60,"[70, 83, 31, 32, 98, 67, 4, 89, 44, 78, 85, 15, 5, 33, 66, 42, 6, 71, 75, 23, 57, 17, 74, 60, 16, 34, 10, 11, 12, 58]"
64,61,"[46, 84, 47, 15, 79, 54, 75, 91, 4, 82, 28, 12, 94, 30, 80, 61, 17, 52, 32, 89, 65, 60, 42, 53, 55, 67, 2, 34, 20, 44]"
65,62,"[62, 36, 24, 68, 45, 2, 72, 37, 82, 12, 69, 27, 1, 47, 92, 59, 23, 67, 90, 96, 51, 25, 49, 70, 11, 0, 79, 76, 5, 38]"
66,63,"[9, 99, 93, 66, 70, 97, 12, 91, 25, 33, 36, 80, 98, 84, 71, 89, 0, 90, 77, 1, 30, 28, 65, 85, 44, 4, 96, 64, 2, 41]"
67,64,"[52, 60, 90, 38, 33, 34, 57, 48, 17, 21, 9, 15, 54, 14, 27, 89, 26, 95, 6, 8, 73, 68, 53, 69, 99, 94, 92, 62, 10, 0]"
68,65,"[54, 66, 45, 64, 95, 31, 32, 67, 98, 27, 88, 90, 70, 28, 20, 51, 78, 41, 80, 15, 14, 63, 82, 84, 52, 21, 16, 36, 0, 74]"
69,66,"[2, 75, 83, 40, 18, 19, 97, 44, 52, 47, 22, 50, 27, 88, 82, 6, 95, 14, 84, 39, 48, 96, 94, 89, 92, 28, 16, 86, 15, 1]"
70,67,"[97, 1, 28, 79, 49, 30, 81, 13, 14, 56, 54, 48, 53, 67, 58, 65, 96, 34, 17, 31, 92, 0, 5, 88, 33, 72, 89, 21, 90, 51]"
71,68,"[42, 0, 70, 93, 96, 59, 76, 54, 10, 73, 29, 25, 94, 12, 56, 6, 98, 58, 34, 43, 4, 69, 30, 37, 35, 48, 81, 57, 91, 1]"
72,69,"[65, 81, 77, 99, 49, 61, 1, 57, 18, 30, 29, 74, 36, 8, 33, 88, 0, 89, 71, 62, 9, 42, 41, 3, 46, 98, 87, 93, 45, 22]"
73,70,"[1, 91, 46, 54, 64, 79, 24, 77, 68, 81, 98, 50, 51, 26, 93, 33, 37, 49, 39, 60, 59, 12, 92, 67, 63, 88, 31, 75, 85, 11]"
74,71,"[29, 94, 13, 89, 19, 47, 44, 25, 24, 43, 92, 91, 15, 9, 38, 80, 41, 2, 14, 4, 88, 52, 72, 93, 36, 85, 30, 76, 54, 12]"
75,72,"[45, 26, 98, 69, 71, 0, 36, 44, 62, 42, 37, 66, 41, 84, 6, 13, 3, 15, 12, 28, 18, 79, 72, 53, 23, 16, 47, 57, 9, 91]"
76,73,"[33, 83, 21, 36, 9, 65, 8, 95, 57, 6, 14, 93, 25, 68, 26, 98, 27, 2, 51, 50, 4, 24, 82, 19, 62, 70, 17, 40, 47, 32]"
77,74,"[38, 36, 66, 43, 70, 28, 94, 87, 92, 59, 26, 51, 82, 48, 47, 76, 46, 24, 63, 11, 14, 90, 58, 31, 81, 32, 12, 78, 73, 22]"
78,75,"[26, 83, 55, 28, 65, 68, 82, 90, 57, 42, 88, 94, 50, 76, 85, 4, 61, 34, 72, 58, 80, 17, 14, 73, 79, 6, 66, 35, 47, 59]"
79,76,"[6, 78, 9, 99, 96, 98, 31, 68, 37, 84, 75, 24, 4, 58, 32, 69, 13, 2, 65, 97, 45, 8, 55, 33, 63, 36, 25, 77, 39, 81]"
80,77,"[85, 72, 84, 0, 43, 8, 73, 11, 58, 92, 9, 53, 66, 1, 30, 4, 27, 22, 16, 13, 7, 40, 23, 34, 57, 50, 18, 42, 25, 89]"
81,78,"[36, 38, 96, 30, 57, 42, 58, 84, 40, 37, 7, 3, 60, 99, 13, 76, 14, 83, 6, 70, 35, 25, 65, 73, 89, 59, 86, 74, 47, 90]"
82,79,"[62, 34, 92, 46, 93, 59, 81, 40, 7, 89, 66, 48, 54, 16, 14, 64, 49, 58, 80, 35, 71, 41, 91, 32, 74, 52, 20, 19, 43, 88]"
83,80,"[12, 17, 28, 18, 0, 35, 21, 87, 76, 19, 46, 89, 23, 36, 94, 68, 66, 83, 20, 47, 65, 27, 64, 95, 40, 33, 51, 8, 67, 15]"
84,81,"[10, 32, 6, 1, 5, 15, 87, 31, 7, 62, 99, 60, 29, 33, 19, 18, 26, 8, 68, 23, 44, 17, 69, 12, 20, 27, 11, 66, 98, 13]"
85,82,"[3, 2, 50, 52, 54, 12, 1, 19, 87, 98, 8, 18, 95, 28, 47, 39, 20, 89, 29, 70, 83, 4, 46, 40, 13, 66, 23, 15, 72, 69]"
86,83,"[81, 71, 35, 7, 55, 25, 49, 39, 65, 9, 26, 48, 18, 98, 64, 24, 93, 44, 6, 82, 8, 72, 5, 32, 21, 31, 58, 61, 79, 50]"
87,84,"[52, 20, 80, 41, 32, 55, 6, 61, 39, 93, 96, 51, 71, 84, 24, 27, 79, 33, 15, 72, 3, 31, 88, 69, 19, 7, 44, 35, 60, 50]"
88,85,"[76, 61, 82, 73, 7, 57, 46, 26, 79, 5, 23, 18, 37, 2, 53, 93, 15, 72, 1, 30, 64, 3, 16, 70, 9, 63, 24, 90, 68, 69]"
89,86,"[36, 34, 57, 69, 78, 98, 64, 19, 79, 17, 6, 40, 88, 73, 32, 87, 12, 31, 67, 68, 60, 53, 13, 15, 30, 72, 55, 90, 47, 65]"
90,87,"[51, 91, 11, 9, 30, 98, 7, 63, 94, 29, 36, 28, 82, 40, 20, 32, 52, 25, 53, 54, 65, 24, 49, 87, 47, 61, 88, 64, 66, 58]"
91,88,"[9, 95, 96, 6, 14, 43, 58, 59, 67, 99, 37, 55, 13, 74, 36, 33, 91, 22, 93, 42, 30, 15, 4, 98, 39, 77, 24, 8, 87, 12]"
92,89,"[14, 21, 63, 9, 67, 25, 89, 33, 65, 98, 96, 73, 32, 49, 71, 86, 31, 39, 24, 26, 0, 53, 77, 78, 64, 16, 40, 38, 91, 8]"
93,90,"[71, 51, 62, 16, 85, 4, 57, 38, 53, 96, 5, 92, 34, 49, 86, 3, 21, 88, 75, 84, 36, 28, 0, 89, 18, 1, 99, 26, 63, 77]"
94,91,"[14, 1, 48, 74, 27, 45, 13, 41, 0, 28, 98, 11, 81, 52, 57, 40, 75, 43, 36, 85, 51, 17, 71, 29, 32, 50, 73, 18, 19, 34]"
95,92,"[40, 0, 49, 60, 70, 57, 52, 47, 24, 67, 87, 43, 22, 42, 34, 89, 1, 65, 63, 59, 50, 27, 10, 16, 38, 83, 69, 58, 4, 17]"
96,93,"[50, 30, 0, 31, 13, 59, 72, 81, 75, 44, 73, 66, 70, 53, 97, 49, 17, 34, 18, 92, 33, 87, 9, 42, 6, 89, 67, 54, 60, 95]"
97,94,"[91, 32, 88, 78, 57, 48, 43, 81, 36, 62, 41, 46, 74, 61, 82, 60, 11, 64, 1, 23, 80, 83, 4, 15, 14, 69, 86, 37, 18, 54]"
98,95,"[38, 44, 10, 23, 37, 43, 78, 92, 53, 73, 34, 51, 26, 64, 86, 25, 32, 4, 49, 50, 24, 22, 90, 56, 27, 54, 85, 42, 48, 41]"
99,96,"[99, 36, 76, 70, 32, 48, 18, 21, 27, 87, 42, 49, 97, 74, 91, 95, 63, 26, 60, 7, 34, 94, 84, 6, 0, 54, 73, 68, 15, 55]"
100,97,"[24, 43, 70, 88, 49, 96, 59, 54, 4, 85, 86, 57, 78, 38, 79, 68, 10, 52, 20, 21, 93, 35, 32, 36, 7, 66, 26, 11, 72, 30]"
101,98,"[35, 45, 19, 54, 16, 95, 39, 25, 9, 44, 64, 72, 87, 98, 93, 26, 28, 55, 17, 14, 37, 80, 27, 73, 50, 20, 88, 84, 56, 71]"
102,99,"[61, 88, 8, 92, 87, 85, 56, 0, 55, 51, 82, 49, 72, 16, 74, 33, 3, 22, 35, 40, 54, 32, 59, 67, 89, 1, 43, 96, 19, 78]"
103,100,"[70, 83, 13, 10, 90, 96, 4, 8, 6, 1, 34, 55, 78, 58, 61, 56, 29, 94, 74, 14, 49, 54, 45, 22, 37, 28, 98, 3, 79, 27]"
