2,global_rounds,id_list
3,0,"[76, 69, 96, 59, 18, 36, 53, 44, 41, 89, 37, 52, 54, 64, 8, 28, 45, 22, 67, 78, 93, 57, 31, 10, 39, 17, 13, 20, 0, 42, 32, 15, 30, 7, 29, 43, 90, 74, 68, 47, 65, 12, 58, 38, 88, 85, 9, 26, 23, 77]"
4,1,"[55, 7, 61, 59, 70, 40, 84, 45, 33, 29, 3, 80, 18, 77, 15, 98, 6, 47, 35, 28, 1, 9, 49, 25, 99, 69, 24, 95, 75, 64, 65, 8, 38, 67, 4, 83, 91, 88, 26, 90, 97, 0, 51, 54, 37, 10, 43, 79, 50, 58]"
5,2,"[61, 54, 70, 16, 48, 38, 5, 71, 1, 28, 33, 20, 47, 14, 73, 10, 44, 17, 30, 50, 68, 23, 89, 97, 87, 94, 67, 52, 78, 79, 0, 98, 24, 35, 84, 18, 37, 55, 45, 12, 93, 19, 31, 7, 63, 25, 57, 36, 69, 40]"
6,3,"[85, 20, 87, 82, 84, 49, 56, 61, 36, 1, 43, 44, 59, 9, 39, 65, 4, 3, 31, 14, 46, 32, 67, 58, 77, 93, 60, 13, 47, 86, 48, 69, 26, 16, 97, 90, 73, 8, 35, 2, 91, 42, 21, 38, 75, 25, 57, 76, 55, 27]"
7,4,"[94, 68, 69, 22, 75, 66, 67, 82, 38, 28, 2, 98, 8, 72, 59, 92, 1, 65, 9, 25, 12, 91, 36, 83, 61, 23, 51, 95, 97, 42, 13, 84, 26, 50, 86, 16, 40, 93, 99, 41, 17, 53, 76, 58, 88, 70, 57, 32, 11, 15]"
8,5,"[68, 43, 92, 5, 41, 78, 63, 87, 65, 76, 82, 40, 27, 18, 91, 62, 32, 37, 54, 84, 72, 85, 2, 93, 74, 21, 39, 20, 97, 47, 69, 36, 67, 99, 29, 81, 59, 56, 19, 83, 31, 9, 64, 0, 50, 79, 17, 44, 22, 46]"
9,6,"[51, 22, 47, 58, 28, 87, 35, 62, 23, 21, 50, 54, 72, 80, 89, 68, 31, 53, 30, 20, 39, 46, 99, 41, 49, 74, 77, 2, 29, 38, 17, 0, 3, 59, 60, 32, 88, 9, 61, 84, 57, 64, 96, 44, 27, 34, 76, 12, 55, 16]"
10,7,"[80, 15, 69, 19, 35, 2, 59, 42, 13, 47, 36, 76, 73, 98, 61, 49, 29, 84, 22, 86, 28, 70, 20, 30, 3, 11, 95, 96, 56, 45, 85, 68, 72, 62, 16, 23, 81, 43, 21, 8, 51, 53, 78, 54, 9, 38, 5, 39, 93, 27]"
11,8,"[28, 38, 15, 37, 62, 35, 78, 71, 96, 63, 83, 46, 67, 22, 94, 8, 40, 58, 55, 23, 84, 7, 98, 64, 2, 47, 26, 10, 25, 73, 48, 24, 31, 65, 14, 77, 93, 21, 6, 90, 75, 3, 9, 29, 0, 61, 45, 97, 16, 39]"
12,9,"[55, 28, 34, 4, 49, 43, 69, 38, 99, 73, 16, 41, 84, 31, 23, 14, 63, 60, 82, 94, 56, 74, 32, 30, 21, 39, 45, 17, 57, 24, 70, 98, 48, 7, 29, 92, 64, 15, 62, 11, 58, 51, 52, 95, 9, 96, 83, 61, 85, 66]"
