1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,mnist,FedAvg,0,2.8088891045462945,0.10157987794444762,0.5397009542537189,0.24502968238490375,0.28275387648490385,0.43006194635947853,0.35137332907282415,0.07081976358385385,28.560000000000002,2,random
3,mnist,FedAvg,1,2.4933740427348328,0.37010209319568815,0.6217951344377304,0.3821033268929047,0.31195171162761065,0.27277233436404796,0.2713668105133709,0.059389843847595256,28.560000000000002,2,random
4,mnist,FedAvg,2,2.3922320105488595,0.216905264358638,0.6594557722586842,0.3249044374626015,0.2677680628603697,0.4721065058893349,0.3568440592865564,0.070644467253534,23.020000000000003,0,random
5,mnist,FedAvg,3,2.321669575797061,0.23920606855643645,0.7433928069826932,0.28411715508964946,0.2104693062736543,0.479086051440671,0.368463555219375,0.08312089884729959,26.91,3,random
6,mnist,FedAvg,4,1.689400895850955,0.4128785718359665,0.8105178148904575,0.3543838465072567,0.19309756558119948,0.3251040472728809,0.30225227158506796,0.05688898989449316,38.0,0,random
7,mnist,FedAvg,5,2.2087905581376504,0.38453202532367536,0.7875700735394802,0.3040266203769703,0.1999650864185859,0.47959400233287963,0.36558763083131124,0.07268096140826,24.94,1,random
8,mnist,FedAvg,6,3.0532144537228896,0.1732732561455541,0.8331772199063817,0.2954682762610424,0.0878531449022934,0.8368337187989309,0.440002990209349,0.09093067096993374,38.0,3,random
9,mnist,FedAvg,7,2.8227098701918787,0.2643586379969201,0.7982182711181482,0.3598560617540926,0.11963622219448859,0.7048962208830757,0.4300188771562607,0.09997730967827353,28.560000000000002,3,random
10,mnist,FedAvg,8,2.544928419683276,0.27787600524724804,0.813944250897395,0.34961195274199186,0.13305969552473032,0.7048957676384816,0.4236911611226399,0.08773861356531194,31.65,3,random
11,mnist,FedAvg,9,2.135034871266376,0.3536759253978213,0.8646842551314298,0.37033264462998816,0.09864690622164077,0.5123080745475531,0.37061018273202484,0.08375309467093174,30.83,2,random
12,mnist,FedAvg,10,2.1353313806270164,0.48708150345063594,0.8221501482018411,0.36509422480469306,0.19298908058806333,0.532789134737679,0.369572158824135,0.07584645760425424,23.83,1,random
13,mnist,FedAvg,11,1.1928677460172656,0.5382421719044088,0.8981605814690179,0.2930883795057981,0.08043752061232314,0.5794053917321262,0.41034179414559924,0.08916064031795097,30.83,2,random
14,mnist,FedAvg,12,1.601762988128085,0.45742314492670966,0.8697541963961004,0.3586006635340962,0.10807062112250371,0.34974650135708135,0.3081591771415868,0.0701104641350211,25.39,3,random
15,mnist,FedAvg,13,1.3441023789843067,0.5037928477727713,0.9066915322824938,0.3347146207833371,0.08524729224249435,0.4615472895645404,0.36043524569899155,0.07675677552494455,24.66,1,random
16,mnist,FedAvg,14,1.9535759642429664,0.4259396566474648,0.8625441075795516,0.33264634492682554,0.12854562392051186,0.4299080453263636,0.34044683961793204,0.07491715152828962,24.52,3,random
17,mnist,FedAvg,15,1.5485013128089775,0.4997433411281583,0.9003695595939981,0.3197171801461752,0.08985417041457885,0.4409243794784309,0.3350310198158003,0.08122659513572147,35.92,2,random
18,mnist,FedAvg,16,1.7488250734840882,0.5052187303941139,0.8950122204469674,0.3429920901204329,0.08814981222782657,0.33334601350292997,0.31348163793894834,0.061015567206600625,24.94,2,random
19,mnist,FedAvg,17,1.0493352275568817,0.6717047852620772,0.9123961160575678,0.292302054466767,0.1145100228789725,0.41747110005465443,0.33167019811728227,0.07099377096224554,30.83,1,random
20,mnist,FedAvg,18,0.7925948489080622,0.7076940626247648,0.9396470917872147,0.2509369624102396,0.05197589170830548,0.5587747045182165,0.388667261850873,0.09128285714285717,35.92,2,random
21,mnist,FedAvg,19,1.719344156390717,0.4539439913306337,0.8959783174195183,0.36263630528923924,0.08135625302599225,0.5644521141407136,0.4055179229782487,0.08679236585297655,26.91,2,random
22,mnist,FedAvg,20,1.1329253929614853,0.6239662350995266,0.9158308341829338,0.3247159776692821,0.08957314062823331,0.5600758158959059,0.383757045108449,0.08450775638154949,22.44,1,random
23,mnist,FedAvg,21,1.2321578790769703,0.6265328238179433,0.923134350541649,0.3341465656480808,0.08089390622653862,0.80480023475453,0.4650729508064655,0.10788111686309065,24.94,2,random
24,mnist,FedAvg,22,0.9268387807774644,0.655335652769064,0.9322557364405923,0.22494108830715984,0.05814525191840595,0.5489307632613556,0.37725534143843525,0.08274446087641675,24.52,4,random
25,mnist,FedAvg,23,1.1962295847657083,0.6348029430217305,0.9220892776262469,0.2694022360947888,0.06786081713600958,0.440875997792747,0.3552608887804732,0.07329295846787663,22.44,4,random
26,mnist,FedAvg,24,0.6266139352634025,0.7967261735013974,0.957883024135841,0.17504890735799983,0.044952466318017,0.46162430625424755,0.3446982058376862,0.07529195656660263,22.700000000000003,2,random
27,mnist,FedAvg,25,1.3206296246101599,0.5612273997604518,0.9185008423445316,0.3042951269482305,0.06719840421336133,0.3457648340395531,0.30766109165757344,0.06532107847685664,28.560000000000002,2,random
28,mnist,FedAvg,26,0.8545806472593369,0.6814578223920607,0.932468114176857,0.27506299217975044,0.07991214034892102,0.37866583640983703,0.3219444524759198,0.06314412519056586,29.16,2,random
29,mnist,FedAvg,27,1.0317107094339637,0.6470655335652769,0.9257061039281417,0.30384861800605945,0.0760300653731361,0.37228542593067204,0.3388601822321809,0.06104810589347622,27.36,3,random
30,mnist,FedAvg,28,1.1560819479172337,0.5988136656590429,0.9305570468116948,0.30097280930242193,0.05815633945505257,0.3106627587226674,0.29764577842322304,0.062334913730288585,38.0,1,random
31,mnist,FedAvg,29,0.9393196320995857,0.6844806935493071,0.9444561092227862,0.22147462192757494,0.048598850551332014,0.6638724568230302,0.42392480441816455,0.0863492893429353,35.92,1,random
32,mnist,FedAvg,30,1.443722803754197,0.5223293218502253,0.9173654810280294,0.3292842586255322,0.061176349686497745,0.4774208695619954,0.32895922119107035,0.07442855884481075,27.36,2,random
33,mnist,FedAvg,31,0.8077489554804663,0.7290823019449039,0.9550132936230197,0.17783128137517867,0.031203052337188838,0.45508209284588075,0.34563544998396495,0.06957706595798817,27.79,1,random
34,mnist,FedAvg,32,0.6631165808792339,0.7716876746706212,0.9564706305293864,0.1647621327089556,0.03765832078792026,0.33159447980229667,0.29995198956100744,0.06062602068173113,24.580000000000002,1,random
35,mnist,FedAvg,33,0.5103650304107802,0.83094735641362,0.9691676614872209,0.134329212360655,0.028922624533251593,0.3285288947107149,0.3019642431082135,0.06967138691199445,27.79,2,random
36,mnist,FedAvg,34,0.6027936277942466,0.8050533280100383,0.9605147717178828,0.15912436999646457,0.03824401139921166,0.3242537136985012,0.3024961819051573,0.057899895600513354,22.23,4,random
37,mnist,FedAvg,35,0.5849542181550478,0.8039696572178179,0.9617658518701521,0.17741918388025774,0.044812898537989865,0.5402330923973402,0.381699045780023,0.08874411326708556,26.91,0,random
38,mnist,FedAvg,36,0.6652031022614273,0.7806992528375064,0.9593683605893915,0.16402786237566136,0.03569675313893842,0.16884782953083644,0.21450107760453543,0.04268672394471423,23.19,1,random
39,mnist,FedAvg,37,0.6594531054846359,0.7791592996064564,0.9620638888380256,0.1485898846872465,0.02962998071517332,0.18406055589790105,0.2101392159255309,0.04668977800155628,24.66,4,random
40,mnist,FedAvg,38,0.5574289327005693,0.8222209547710032,0.9650999991164884,0.16325449701296563,0.037871658657170695,0.7087252617307682,0.4370525211122199,0.09413575095754216,28.560000000000002,4,random
41,mnist,FedAvg,39,0.844096511622832,0.7334740204186392,0.9519363585873862,0.1939307358041394,0.04217488193616094,0.7158396976418303,0.43621853262537086,0.10473134179941096,31.65,2,random
42,mnist,FedAvg,40,0.9095100997616073,0.6421604973478583,0.9442001129742285,0.2666912468942983,0.04305582899313971,0.7061868477153899,0.4339764138101392,0.09420552704732083,30.83,1,random
43,mnist,FedAvg,41,0.9868601761534244,0.6757542919066902,0.9393261217385447,0.28457749972106605,0.06067580254832178,0.8590082838278574,0.4779754956790707,0.10403085575058427,23.83,0,random
44,mnist,FedAvg,42,0.7776929620477617,0.7565733188843894,0.949679221203195,0.18559055899811155,0.05056905398156498,0.7797286514063851,0.4546767933205317,0.1118298612898613,29.16,0,random
45,mnist,FedAvg,43,0.5389396519145232,0.830377003365083,0.9662218638205339,0.1464775391735701,0.04324437623597478,0.41210204200320205,0.34218832861484116,0.06978104773393072,30.83,1,random
46,mnist,FedAvg,44,0.8028218065810018,0.7240061598129242,0.9505529767092372,0.2107317958404794,0.04096418532056764,0.3845312147024656,0.33214836848762613,0.06871503115982858,38.0,2,random
47,mnist,FedAvg,45,0.6821862700972124,0.7806422175326527,0.9587407020069612,0.1719266791218454,0.03576493669562404,0.6148658158657734,0.40744927291397076,0.09578710361196627,22.96,0,random
48,mnist,FedAvg,46,0.7202915271392138,0.7711743569269378,0.9553222334856795,0.1953268486612222,0.04690632420465164,0.4175467172566349,0.34357383048069357,0.07402855291801912,31.65,1,random
49,mnist,FedAvg,47,0.4688749986396126,0.8454913591513147,0.9704813183516601,0.12222692160926203,0.025535649736403897,0.1930265306760628,0.22871853817021798,0.05016202584701363,21.669999999999998,2,random
50,mnist,FedAvg,48,0.5290829194393083,0.82940740318257,0.9664036883556074,0.148275581100466,0.03312480471209201,0.9011592613733621,0.49100830520380734,0.11346562297888527,24.36,2,random
51,mnist,FedAvg,49,0.9294891450743131,0.696458107568585,0.9440922113884033,0.24076213773046387,0.046352023423672305,0.6667440617016237,0.4373446372588199,0.09977174603174603,29.16,2,random
52,mnist,FedAvg,50,1.0014045027086291,0.6782068100153995,0.9445392123444825,0.1848927246356698,0.03873853639725705,0.9329929522963628,0.49155286818844024,0.11633303735494488,38.0,2,random
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,mnist,FedPyramid,1,2.3517094432472656,0.30896024639251696,0.6117464647409872,0.3423543740112957,0.3231762067026399,0.38133297459751286,0.3226358637616207,0.06490691900321648,26.3,0,oort
3,mnist,FedPyramid,2,2.015634575052674,0.3612045856385102,0.7027170074315011,0.3799607365350793,0.3081456468477378,0.13920901646252826,0.18666956185395794,0.042565480712516215,25.509999999999998,0,oort
4,mnist,FedPyramid,3,1.7157135565349315,0.42029316146694806,0.8005201670851875,0.33349700723373377,0.2692960192328953,0.3068873016546467,0.29478136088992246,0.05993150297619048,25.65,0,oort
5,mnist,FedPyramid,4,1.7098739311868274,0.4708834768721839,0.7965469503287966,0.3451393240901487,0.2743459353574533,0.5020846163835363,0.3793707341212004,0.07685995362617544,28.81,0,oort
6,mnist,FedPyramid,5,1.7640870867611247,0.49592197570296015,0.7811763271899196,0.33375110140378506,0.28771523865750076,0.8011682915435537,0.4703093657257615,0.1081079738455783,21.63,0,oort
7,mnist,FedPyramid,6,1.713584330192433,0.48873552729139336,0.8117613129004925,0.3802455775152741,0.26445748025469645,0.5526980800265646,0.39132572200189325,0.08574246926863383,30.9,0,oort
8,mnist,FedPyramid,7,1.7637346528193139,0.5422916785490218,0.842627534760735,0.348473628613549,0.20875352304216763,0.24754389828093984,0.2470691605128624,0.04974274071663593,29.07,0,oort
9,mnist,FedPyramid,8,1.2514984285079316,0.5816460388980779,0.8691962359143907,0.3199434947595328,0.1810905356291936,0.6331708105365599,0.38996216580309306,0.08073924469331943,34.75,0,oort
10,mnist,FedPyramid,9,1.7137794700159252,0.45622540352478186,0.8789476624874177,0.3169521583163235,0.10766537578658619,0.7245127460770133,0.43478730442170377,0.0975900803106945,27.59,0,oort
11,mnist,FedPyramid,10,1.3255678231142871,0.590315405235841,0.8888753387588157,0.30264141760763713,0.15359592806779945,0.3991372065673877,0.31622332581535806,0.06978414985168638,28.49,0,oort
12,mnist,FedPyramid,11,0.8907454361926604,0.6763816802600809,0.945897396898964,0.21542084649807294,0.04940146983620903,0.3502040869552553,0.29323089173510714,0.06846168037895785,25.4,0,oort
13,mnist,FedPyramid,12,0.934817030434762,0.6679404551417327,0.9441381320662715,0.2862536778649462,0.06777226462604083,0.35044209765157347,0.3215450303583263,0.05840136992364724,31.869999999999997,0,oort
14,mnist,FedPyramid,13,1.139613403303129,0.5854674043232762,0.9208225209235412,0.28837129394729,0.08565057733444309,0.7262194673076088,0.43902215683497353,0.09228829558812006,30.419999999999998,0,oort
15,mnist,FedPyramid,14,0.9849134030647063,0.651685393258427,0.9339525097259281,0.27714293071590984,0.08936712303161085,0.5222299692741812,0.3726291508971717,0.08367312552269443,29.07,0,oort
16,mnist,FedPyramid,15,0.6789542943534282,0.7453373638282097,0.9636713464431055,0.25515098064753505,0.05533269414711444,0.13483731208640495,0.18588079941191515,0.03511592035193332,26.37,0,oort
17,mnist,FedPyramid,16,0.7019816020775655,0.7403182570010837,0.9589227624457827,0.2659231647010622,0.07080808574467815,0.3389379573473253,0.3012826968206331,0.06386880839853316,31.869999999999997,0,oort
18,mnist,FedPyramid,17,0.8837634663696862,0.6857354702560885,0.954372141085646,0.26743556164892307,0.05244581562133707,0.3274562691323566,0.28072789428824657,0.06622438063042145,31.869999999999997,0,oort
19,mnist,FedPyramid,18,0.7575899376150566,0.7179604174984315,0.9566303120915038,0.23426761283985956,0.05234366734130749,0.20931040892766775,0.24019635107490483,0.043293320357469245,31.869999999999997,0,oort
20,mnist,FedPyramid,19,0.6288914010091341,0.7646723321736155,0.9638554964240369,0.2591742010754412,0.061898402945628456,0.299142692949537,0.28089522568281083,0.05832277542039918,20.49,0,oort
21,mnist,FedPyramid,20,1.1987042623560256,0.589916158101865,0.9229882427658956,0.2709136344712162,0.08721623810318593,0.5890315523919428,0.4081256414783478,0.08716724119275691,29.07,0,oort
22,mnist,FedPyramid,21,0.9441478101637856,0.6572178178292363,0.938310596333629,0.26815641735800383,0.07671297392559027,0.9765063522406745,0.4875951128396441,0.10059315234279173,30.419999999999998,0,oort
