1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,mnist,FedVOI,1,2.416838137070841,0.1245651058004905,0.553577256373973,0.20425537091290633,0.21903132763173674,0.24467445376311636,0.2609441985691874,0.05014548518192837,64.84,0,random
3,mnist,FedVOI,2,2.277500866974322,0.18553584668910056,0.6234659741962494,0.30389793546252625,0.22489833273510465,0.15677202226452058,0.19329292708292184,0.03580130374479889,66.07000000000001,0,random
4,mnist,FedVOI,3,1.8260799737883446,0.3890948497119717,0.7686632156696523,0.30712785450193836,0.244456412952174,0.08724639865221079,0.14850606773343208,0.029949423464588096,58.3,0,random
5,mnist,FedVOI,4,1.5119241090132898,0.5315690412365254,0.8452413817157403,0.3279896100754989,0.19401845505024098,0.06132087322616275,0.12783680695891428,0.022635602858446104,70.38,0,random
6,mnist,FedVOI,5,1.3867642090019074,0.5403524781839959,0.8603415051487344,0.3278450206411892,0.1751367527125882,0.0871013180145165,0.15057364403273257,0.0285780495376059,57.0,0,random
7,mnist,FedVOI,6,1.3042255704484365,0.5359037244054069,0.8734690640300443,0.3284392933790998,0.15637465446525045,0.08684106683114728,0.147715910642756,0.03086044521028958,50.43,0,random
8,mnist,FedVOI,7,1.1853209928727566,0.5884902754805225,0.8924461635964488,0.32131982909298745,0.14018539306886257,0.07451899373719251,0.13890939312857328,0.025360371214875034,54.96,0,random
9,mnist,FedVOI,8,1.0566440487340896,0.6277876005247248,0.9127252230607816,0.30950480469339,0.12037232484554228,0.04302219196111593,0.10379519589119929,0.01887602664406914,65.28,0,random
10,mnist,FedVOI,9,0.964159789393477,0.6561911823418696,0.9302982793967433,0.29018852720922966,0.0931764637035014,0.04169872602127813,0.10261333360762742,0.01954136076522159,66.16,0,random
11,mnist,FedVOI,10,0.9110876196072097,0.6717618205669309,0.9387576896099716,0.2725848545798086,0.07827062353478112,0.05066173158187052,0.11184162531999488,0.021639699661217853,57.0,0,random
12,mnist,FedVOI,11,0.8684953266614985,0.6917241772657274,0.9430899505733682,0.2694136588362291,0.07388129432543358,0.050069193360319675,0.11211055263766576,0.022317318467106877,54.96,0,random
13,mnist,FedVOI,12,0.816399271967223,0.717275993840187,0.9511835001137651,0.23416909377983586,0.06263348356638343,0.047664677706274014,0.10969680638302122,0.02246397382015016,47.589999999999996,0,random
14,mnist,FedVOI,13,0.8006894261760498,0.7220669594478982,0.9532946428858443,0.2212637715278819,0.05887763105794704,0.056756503388713804,0.11938142367880729,0.024076597420165227,70.38,0,random
15,mnist,FedVOI,14,0.7412482090122787,0.7497861176067986,0.9612004289382726,0.19576208637959058,0.050769247076852465,0.05126570956414222,0.11345639727730489,0.022677443127024986,69.0,0,random
16,mnist,FedVOI,15,0.7048652145773533,0.7633034848571265,0.9649894194268086,0.18374282284596194,0.04699199958339321,0.051095271771540704,0.11302089873770038,0.022595534065370893,70.38,0,random
17,mnist,FedVOI,16,0.6929045271573793,0.7644441909542007,0.9650602499567408,0.1831739785441235,0.047899478438501536,0.05080155781348434,0.11323766686177754,0.020398947667434605,66.07000000000001,0,random
18,mnist,FedVOI,17,0.6564441312299628,0.7813266411908971,0.9687702848061799,0.16921918902714594,0.04296768140255091,0.03929819465701152,0.09937069246796948,0.016646673623697848,70.36,0,random
19,mnist,FedVOI,18,0.6251268801219494,0.7928477727713454,0.9720002880081583,0.1596288961369,0.03819216347281084,0.034108672581082876,0.0926255143350371,0.014561020175253632,70.38,0,random
20,mnist,FedVOI,19,0.6004230423080351,0.8032281982547197,0.9743820407029771,0.1492783129701436,0.03430275352656372,0.03275967081711244,0.09059746843771924,0.014632895813534103,65.12,0,random
21,mnist,FedVOI,20,0.5830138834538998,0.8110990703245309,0.9755391167716106,0.14600466266915016,0.03355237955323965,0.030991978210722984,0.08849674548142404,0.013125046731583287,70.36,0,random
22,mnist,FedVOI,21,0.57180226313401,0.8161752124565106,0.9759863321551845,0.14644048896710338,0.03393367102145163,0.03149330571570018,0.08994746111889847,0.014559941204262692,68.37,0,random
23,mnist,FedVOI,22,0.5576636604839628,0.8210232133690755,0.9771160704033091,0.13973620285268906,0.03240857302660968,0.030068348231672017,0.08795503605396042,0.01396256786940952,68.37,0,random
24,mnist,FedVOI,23,0.5440437622226073,0.8258712142816403,0.9782425904361878,0.13194569718249713,0.03046873736755261,0.03220101541604131,0.09108019059922626,0.014682002049243956,70.38,0,random
25,mnist,FedVOI,24,0.5198175723805117,0.8368219928135516,0.9805638750513093,0.11545021807152245,0.02569260876792948,0.024543417699297385,0.07849884939766123,0.011957216526033975,70.38,0,random
26,mnist,FedVOI,25,0.4996408609377774,0.8426966292134831,0.9825171132397804,0.1054469773494485,0.021305328565196173,0.02076695458238547,0.07171001753134663,0.009448858709788104,70.38,0,random
27,mnist,FedVOI,26,0.47759537133537455,0.8503963953687332,0.9841235228823376,0.09858936252317786,0.0189013408305107,0.014738318653693372,0.06015009611622201,0.0070390227431820565,65.28,0,random
28,mnist,FedVOI,27,0.4639173579100048,0.8534763018308333,0.9850469835121182,0.09533803395491755,0.017513520390578602,0.01413023179763273,0.05854058814971609,0.006681861552339835,66.16,0,random
29,mnist,FedVOI,28,0.46211307617113484,0.8526207722580277,0.9850202288088371,0.09830237959432997,0.017390858204393123,0.015526541644545205,0.06169472135353296,0.007961362929951673,65.12,0,random
30,mnist,FedVOI,29,0.4615555813098535,0.8520504192094907,0.9849539151301746,0.10057762688322931,0.017492380438228174,0.01792253759473586,0.06623319540532602,0.009162861340349144,70.38,0,random
31,mnist,FedVOI,30,0.45585612204362647,0.8533051959162722,0.9852376196813751,0.10023646597907732,0.0171132572822452,0.016087061582594594,0.06283419918326051,0.008141715243364503,65.87,0,random
32,mnist,FedVOI,31,0.4460892339048125,0.8570695260366167,0.9859350701785613,0.09657267187816865,0.015597474890928997,0.014332259074915362,0.05939440582943047,0.008143265346077741,70.36,0,random
33,mnist,FedVOI,32,0.45161160599205136,0.8539325842696629,0.9853701778975335,0.09829252524510476,0.01658428470908807,0.015192883383467611,0.06152001381052722,0.008300685025731384,70.36,0,random
34,mnist,FedVOI,33,0.4485663127293873,0.8551873609764444,0.9854833459336333,0.09791944546111957,0.016399330318121626,0.014021177328670083,0.059120791506266895,0.007763666428553778,70.36,0,random
35,mnist,FedVOI,34,0.4463231184474611,0.8551303256715908,0.9855633685436894,0.10016328545190956,0.0162227429660178,0.014962172044751837,0.060934184011212075,0.00840321130181012,55.47,0,random
36,mnist,FedVOI,35,0.4415960001285259,0.8562710317686648,0.9857711054036912,0.0998195526902525,0.01600010921488598,0.014825573390931294,0.06073331521711751,0.008371623494902187,64.37,0,random
37,mnist,FedVOI,36,0.4424493808001373,0.8550162550618833,0.9856184717388582,0.10029925279613339,0.01634391049523677,0.01640051455460752,0.06384404121314283,0.009002206545837924,79.64,0,random
38,mnist,FedVOI,37,0.43601283873480534,0.8568413848172018,0.9860340589906905,0.0997327316684437,0.01562890860976331,0.01530532921036691,0.06172710553455674,0.008812952307173182,59.260000000000005,0,random
39,mnist,FedVOI,38,0.4317326021820916,0.8584383733531056,0.9862774845189662,0.09853609550744488,0.015112518623036766,0.015120154836151489,0.061283459663149124,0.008700833996467702,65.28,0,random
40,mnist,FedVOI,39,0.4279504372240381,0.8602064678035705,0.9864318762410412,0.09738228122489827,0.015042373094423297,0.013875075621090416,0.05887559734549049,0.008102278484717661,79.64,0,random
41,mnist,FedVOI,40,0.42630805865836635,0.8604346090229852,0.9865393003639423,0.09110124984182794,0.014692467630303886,0.01380837970221312,0.05884599465827106,0.008296516933299733,70.36,0,random
42,mnist,FedVOI,41,0.4229657504602307,0.8610049620715222,0.9866881916951882,0.09025148555938149,0.014510275365725765,0.01458209327744213,0.06059405026695066,0.008973277572008564,79.64,0,random
43,mnist,FedVOI,42,0.41795932724242635,0.862601950607426,0.9869674310396109,0.09068816339011097,0.01408977707232169,0.014562058659224358,0.06042927657719378,0.008791422900554378,55.47,0,random
44,mnist,FedVOI,43,0.4192562091059381,0.8607768208521075,0.9868337588774151,0.0908741128738902,0.014174671454770789,0.015502619012836987,0.06254111156579939,0.009968176312584464,59.260000000000005,0,random
45,mnist,FedVOI,44,0.42011513945326134,0.8611760679860834,0.9867177356310175,0.09041754464184294,0.014518347210474585,0.01615763887374338,0.0641599302375139,0.009849161548214077,70.38,0,random
46,mnist,FedVOI,45,0.41914788669463504,0.8608908914618149,0.9867002524391599,0.09128958415840922,0.014719437373515975,0.015041108860520097,0.06179166693890255,0.00925205275812497,66.16,0,random
47,mnist,FedVOI,46,0.41766057807708745,0.862601950607426,0.9867129950174437,0.08929078791439284,0.014919026556217858,0.014609473887431515,0.06100724927669686,0.008809744465046601,65.87,0,random
48,mnist,FedVOI,47,0.4178007927422439,0.8628300918268408,0.9866347946731148,0.08965670630520348,0.015126233356021014,0.014385837453349412,0.06054192885805971,0.008750338177362857,64.84,0,random
49,mnist,FedVOI,48,0.4151506692439538,0.8631152683511093,0.9868138035891472,0.08878804936004976,0.014699501444927382,0.014091608145580008,0.059861531005526526,0.008622175864205328,58.3,0,random
50,mnist,FedVOI,49,0.4148112388293403,0.8630582330462556,0.9868625134946803,0.08650521870052881,0.014475825751319166,0.014441781061364173,0.06071523868917917,0.008796062533667725,56.2,0,random
51,mnist,FedVOI,50,0.41051593769655903,0.864541150972452,0.987159725526139,0.08466114782411105,0.013840692064790239,0.01407472493297455,0.05989281673999241,0.008571162187660792,66.07000000000001,0,random
52,mnist,FedVOI,51,0.4061163428531825,0.8660240688986482,0.9874236212113132,0.08256226128505503,0.013414997118598533,0.013949565272175744,0.05971857699581,0.008887921036000215,65.03,0,random
53,mnist,FedVOI,52,0.4007988359670635,0.867050704386015,0.9877382545011786,0.08201881201602963,0.013070944736834728,0.012965627607413367,0.05762519810870547,0.008493782805237,69.0,0,random
54,mnist,FedVOI,53,0.3959644212373383,0.8688187988364798,0.9879624751775039,0.08167807286791584,0.012822338742960307,0.011112397764358784,0.05316219026429026,0.007506446300487272,65.28,0,random
55,mnist,FedVOI,54,0.39336503371398845,0.8692180459704557,0.9880811639283545,0.08168341798667435,0.012710790089311537,0.010682368013570899,0.05210753667078793,0.007127727399557249,66.16,0,random
56,mnist,FedVOI,55,0.3925038935018607,0.8697883990189927,0.9881086305782752,0.08009047652698652,0.012722321694156049,0.011569425412526561,0.05426006555337515,0.007284671121575865,54.49,0,random
57,mnist,FedVOI,56,0.39008193332673324,0.8705298579820909,0.9881962056308995,0.08003720819440271,0.012697305417885694,0.011182894208080402,0.053348678317292446,0.007047109580389319,66.16,0,random
58,mnist,FedVOI,57,0.3874842079026659,0.8705298579820909,0.9882936300270523,0.08043973000547197,0.012610359695235922,0.010507726284647498,0.051595528670938376,0.006237680536908956,54.96,0,random
59,mnist,FedVOI,58,0.3852815955736203,0.8706439285917983,0.9884247491908161,0.0805437321102889,0.012256908545633424,0.01030822623509897,0.050974145591023624,0.006123645292997982,66.07000000000001,0,random
60,mnist,FedVOI,59,0.3816338945198497,0.8717275993840187,0.9886336356062353,0.08026985779786959,0.012033661505963545,0.010493703714338299,0.05147371460003698,0.006335843412568203,56.95,0,random
61,mnist,FedVOI,60,0.37663928507166844,0.8734386585296299,0.9889591690876243,0.07823474009214872,0.011413836391303197,0.009388267904197906,0.04858149557731545,0.0058125615917079,65.12,0,random
62,mnist,FedVOI,61,0.3722919110382825,0.8744652940169966,0.9892457409074771,0.07716321415819145,0.010866019188093011,0.008626783228595484,0.04659349770557825,0.005715643774938855,58.6,0,random
63,mnist,FedVOI,62,0.36833149857161024,0.8753208235898021,0.9894620596673532,0.07917658885969182,0.010563489934374663,0.007249797101051193,0.04259620225568463,0.004918198283386678,65.03,0,random
64,mnist,FedVOI,63,0.3650393950821454,0.8764615296868762,0.9896256274077,0.0766113178405465,0.010426192634477588,0.0070865367778251845,0.042130684310285105,0.004632111804861434,44.25000000000001,0,random
65,mnist,FedVOI,64,0.36210411550015864,0.8776592710888039,0.9897796732708922,0.07686798332637018,0.010308315582810326,0.006895042778668276,0.04157882413310862,0.0044368740955137475,44.25000000000001,0,random
66,mnist,FedVOI,65,0.3599186203813095,0.8784007300519021,0.9898611060329054,0.0769187377944158,0.01024027966642707,0.006332236212535635,0.03983784460993492,0.004640779231998622,65.12,0,random
67,mnist,FedVOI,66,0.35955255813997633,0.8792562596247077,0.9898103054594994,0.07720247400005074,0.010470233828364105,0.00628116643145757,0.03973316718648171,0.0053889689783807974,66.16,0,random
68,mnist,FedVOI,67,0.35870677926154054,0.8798266126732447,0.9898090561625388,0.0794084388846478,0.010538581288057961,0.0062406459316454894,0.03960591368841918,0.0056087955840319215,66.16,0,random
69,mnist,FedVOI,68,0.3574442639494323,0.8798266126732447,0.9898549971075061,0.07876505797666417,0.010490622903590669,0.00630459206978181,0.039872828059413105,0.005935542949356566,64.84,0,random
70,mnist,FedVOI,69,0.3593456382630259,0.8784007300519021,0.9897291283252505,0.08005741089024225,0.010701322039759606,0.007532704095296671,0.043593568986996525,0.006396688773542814,59.260000000000005,0,random
71,mnist,FedVOI,70,0.35646527942470746,0.8794844008441225,0.9898860651475196,0.07824588161316208,0.01041309161464768,0.0062432541784906825,0.03967095073216055,0.006168379910849114,55.47,0,random
72,mnist,FedVOI,71,0.35335469379925655,0.8807962128557577,0.9900494877589843,0.07566790137132898,0.010230800131245969,0.0056183453938355235,0.03763030996884999,0.005834868730013354,64.84,0,random
73,mnist,FedVOI,72,0.3510226765528233,0.8817087777334169,0.9901672390212323,0.07533613872225339,0.01010890124314685,0.005462867207079214,0.03713603533272497,0.005426944571669867,44.25000000000001,0,random
74,mnist,FedVOI,73,0.34932088349785706,0.8822791307819541,0.9902507587401184,0.07445705886712377,0.010003786293123486,0.005437841088143603,0.03701094354907031,0.005263758061504512,68.37,0,random
75,mnist,FedVOI,74,0.3476307959741007,0.8828494838304911,0.9903251642906489,0.07383916775944713,0.009966609861911911,0.005759929545374409,0.03808747968981879,0.005573367599883748,54.96,0,random
