1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,select_mode
2,mnist,FedAvg,0,6.174524083067044,0.1006798866855524,0.5076453838080784,0.02882233138428827,0.028079209793382277,random
3,mnist,FedAvg,1,1.8668830888964272,0.5358640226628896,0.8593604552649518,0.053003045468319576,0.02546342238202401,random
4,mnist,FedAvg,2,1.3441621013580285,0.6465155807365439,0.9198217276376881,0.05702693275539057,0.018065382458324078,random
5,mnist,FedAvg,3,0.978221036460012,0.7444192634560907,0.9488693005981342,0.052673990519195926,0.013302668103720935,random
6,mnist,FedAvg,4,0.7750074466637202,0.7964872521246459,0.9581822745110569,0.05107045745079747,0.012059043049791687,random
7,mnist,FedAvg,5,0.6607906789336299,0.8241926345609065,0.9630914444921002,0.047668111087181046,0.011303082817317569,random
8,mnist,FedAvg,6,0.5821403818940881,0.841586402266289,0.9664812009018536,0.04584003379241548,0.01073289274080213,random
9,mnist,FedAvg,7,0.5290168104757522,0.8527478753541077,0.9686910853501756,0.04343473955258019,0.010291126129905613,random
10,mnist,FedAvg,8,0.49438113416577206,0.8590934844192635,0.9703008465281179,0.04088548383605422,0.010079912272771859,random
11,mnist,FedAvg,9,0.46601535515795495,0.8673654390934844,0.9718603788530326,0.039756049499294704,0.009754294357135079,random
12,mnist,FedAvg,10,0.4447969522811656,0.8724079320113315,0.9728500967342159,0.03952345567858178,0.009526976252007888,random
13,mnist,FedAvg,11,0.42731559635199645,0.8760339943342776,0.9739070796493904,0.03802075907162263,0.009468506100132137,random
14,mnist,FedAvg,12,0.41268956298256304,0.8778470254957507,0.9745995594057074,0.038795095495065185,0.009219704031582659,random
15,mnist,FedAvg,13,0.4000376227378772,0.8825495750708215,0.975338776953882,0.03716381163694369,0.009055017872438401,random
16,mnist,FedAvg,14,0.38957112427525625,0.885042492917847,0.976175198407695,0.03825086319686742,0.008921731601274498,random
17,mnist,FedAvg,15,0.38051238634407963,0.8848725212464589,0.9767042387857493,0.03817189210496218,0.008829470890897076,random
18,mnist,FedAvg,16,0.3724346224837042,0.8880453257790368,0.9772625371722385,0.037611336560982825,0.00870673519511794,random
19,mnist,FedAvg,17,0.36593451068686145,0.8896883852691219,0.9776898951063763,0.037297927791458754,0.00860002719769121,random
20,mnist,FedAvg,18,0.36006631437523906,0.8912747875354108,0.9781240745555728,0.03653990736728238,0.008511357511684695,random
21,mnist,FedAvg,19,0.3548193383705917,0.8931444759206799,0.9785122200506957,0.036068042176895354,0.008364430148667381,random
22,mnist,FedAvg,20,0.3505098976144393,0.8943342776203966,0.9789405968104236,0.03658382102259262,0.008388062596467315,random
23,mnist,FedAvg,21,0.34536709353483735,0.8958073654390935,0.9794009099411544,0.03614189953597371,0.008225515574565863,random
24,mnist,FedAvg,22,0.3415831214946516,0.8975070821529745,0.9796884469998611,0.03540397593271739,0.00819850778143122,random
25,mnist,FedAvg,23,0.3371627252007573,0.8981303116147309,0.9799334175469442,0.035355184770380986,0.008088127294784121,random
26,mnist,FedAvg,24,0.3333315400385614,0.8987535410764873,0.9802432167499472,0.03566736498941612,0.008032073933957199,random
27,mnist,FedAvg,25,0.3299147476211851,0.8988101983002833,0.9804333869338658,0.036677518121654984,0.00797570355749047,random
28,mnist,FedAvg,26,0.3270993000196449,0.8995467422096317,0.9805983443515192,0.035293849477155616,0.007970474923865316,random
29,mnist,FedAvg,27,0.3238727681358973,0.9014730878186968,0.9809818753933794,0.03573069946275943,0.007876433564690982,random
30,mnist,FedAvg,28,0.320315588367323,0.901699716713881,0.9811698580546202,0.03528916273645338,0.007799635023018511,random
31,mnist,FedAvg,29,0.3181886135541783,0.9019830028328611,0.9812445591197596,0.0352558083865757,0.007766077488289048,random
32,mnist,FedAvg,30,0.31541627437573644,0.9031728045325779,0.9815656457078785,0.03515363566254534,0.007692843942381729,random
33,mnist,FedAvg,31,0.31290708418453816,0.903229461756374,0.9816760222017232,0.03519262140663113,0.007698423752439788,random
34,mnist,FedAvg,32,0.3109641248048306,0.9038526912181303,0.9818553533267274,0.03482563653276082,0.0076618025854832865,random
35,mnist,FedAvg,33,0.3082782092604217,0.9045892351274788,0.9821668754078183,0.03531478182923527,0.007579566598015644,random
36,mnist,FedAvg,34,0.30637028919578774,0.9058356940509915,0.9822097223380342,0.03526646408930789,0.007572833918574187,random
37,mnist,FedAvg,35,0.30350671850241207,0.9065155807365439,0.9824524283868934,0.03558909340715266,0.007523264115168724,random
38,mnist,FedAvg,36,0.30159303331857756,0.9068555240793201,0.9825724747057754,0.03467095140504983,0.007523634427521789,random
39,mnist,FedAvg,37,0.29933147929645526,0.9080453257790368,0.982760764625061,0.03551205509987245,0.007443081323039156,random
40,mnist,FedAvg,38,0.2973759093979291,0.9077620396600566,0.9829181475199981,0.034919647201950635,0.007403104778629236,random
41,mnist,FedAvg,39,0.2953545439704849,0.908498583569405,0.9830030014129472,0.03507915227718347,0.007415580534277598,random
42,mnist,FedAvg,40,0.2934068604673401,0.9096883852691218,0.9831997889173736,0.03549732179967727,0.007313439252419496,random
43,mnist,FedAvg,41,0.2920288865811884,0.909971671388102,0.9832946328836983,0.03494874737434228,0.007322484339989135,random
44,mnist,FedAvg,42,0.2899869703305564,0.9105382436260623,0.9835236820532838,0.03558790913998482,0.007237224324417498,random
45,mnist,FedAvg,43,0.28808035491539047,0.9115014164305949,0.983581038176404,0.035847742302466026,0.007263479097379075,random
46,mnist,FedAvg,44,0.28614781823399216,0.9121246458923513,0.9837218821717368,0.035606542020668826,0.007205318416903484,random
47,mnist,FedAvg,45,0.2847876330514168,0.911614730878187,0.9838294830368381,0.034677077657520664,0.0071612503408109585,random
48,mnist,FedAvg,46,0.2828268829510625,0.9128045325779037,0.9839992417103376,0.035336473993601535,0.007135867278746356,random
49,mnist,FedAvg,47,0.2813526481757941,0.9132011331444759,0.9841142324427284,0.03534659476509905,0.007120386785559405,random
50,mnist,FedAvg,48,0.27984157250086167,0.9132011331444759,0.9841905352863481,0.03610470993690308,0.007112708311097427,random
51,mnist,FedAvg,49,0.27795659168329767,0.9142209631728045,0.9843472259381446,0.03563078203855636,0.0070524396839070054,random
52,mnist,FedAvg,50,0.27688989678822146,0.9134844192634561,0.9844657311357053,0.035462961413626155,0.0070633587421918085,random
53,mnist,FedAvg,51,0.2746855098931027,0.9150708215297451,0.9845339819290827,0.03518273567888965,0.006996302545515088,random
54,mnist,FedAvg,52,0.2735331652950257,0.9153541076487252,0.9847123513428521,0.035698615395131215,0.006946764919446973,random
55,mnist,FedAvg,53,0.2723962996477775,0.9153541076487252,0.9847855824648969,0.03521420878506191,0.006944126906799419,random
56,mnist,FedAvg,54,0.2704522697586713,0.9159206798866856,0.984744146216266,0.035596427425160226,0.006937951485689431,random
57,mnist,FedAvg,55,0.2691457213071207,0.9164872521246459,0.984926095368753,0.03516673891823992,0.006916599256141928,random
58,mnist,FedAvg,56,0.26756061534099096,0.9168838526912181,0.9849906133311798,0.035665160454930483,0.006922255422930904,random
59,mnist,FedAvg,57,0.2664402296646668,0.9169971671388102,0.9850445275630058,0.03440253923469199,0.006873327772175641,random
60,mnist,FedAvg,58,0.2651758474153765,0.9172237960339943,0.9852072302519957,0.034265438992369966,0.006812412594841855,random
61,mnist,FedAvg,59,0.2634410619887115,0.9180169971671388,0.985406190678437,0.03491349706369603,0.006792387866575592,random
62,mnist,FedAvg,60,0.2623721923865378,0.9186402266288952,0.9855140811949025,0.0342402863733416,0.006789596682044446,random
63,mnist,FedAvg,61,0.26055010111133103,0.9191501416430595,0.9855623685893472,0.034261172704750924,0.006731610906737548,random
64,mnist,FedAvg,62,0.25931716355178597,0.9192067988668555,0.9855719975110593,0.034540376178252244,0.006735603750752266,random
65,mnist,FedAvg,63,0.2582739587983557,0.9196600566572238,0.9857302873647494,0.03410033747004901,0.006667248266303864,random
66,mnist,FedAvg,64,0.25662063630123444,0.9197167138810198,0.9857634521237808,0.03407116578736487,0.006653416327002093,random
67,mnist,FedAvg,65,0.2558183096540321,0.9193767705382436,0.9858389154293492,0.034012103325073095,0.006676747156207934,random
68,mnist,FedAvg,66,0.2544109139327428,0.9203399433427762,0.9859798966279587,0.033268973734494334,0.006624192286414247,random
69,mnist,FedAvg,67,0.25340933697135304,0.9202266288951841,0.9860109713452023,0.03430188248261798,0.006665825959496502,random
70,mnist,FedAvg,68,0.2523605627652597,0.9207365439093484,0.9860514624157013,0.0331882283626168,0.006603008535571215,random
71,mnist,FedAvg,69,0.2501232852538121,0.9210764872521247,0.9861423721478296,0.03374728225534243,0.006588422741488422,random
72,mnist,FedAvg,70,0.24907226809155966,0.9210764872521247,0.9862437018139918,0.03340826332296852,0.006572012316826791,random
73,mnist,FedAvg,71,0.24888478785902354,0.921529745042493,0.9864475979082545,0.03254793553154625,0.0065033945765903866,random
