1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,Cifar100,FedAvg,0,5.1719997597936285,0.029356943150046597,0.5606554699784894,0.01682193629443477,0.2219995428661521,0.38931910090925725,0.3178569432538265,0.0070233510235026535,27.79,4,random
3,Cifar100,FedAvg,1,4.801518970030065,0.05864731726800693,0.6231203048924572,0.028663312801310677,0.2582678346519245,0.28836649075438886,0.2721276150005701,0.006064220849981839,32.61,2,random
4,Cifar100,FedAvg,2,4.779218440731554,0.07808547463719878,0.6572380323652777,0.038779441091634496,0.26706266727445305,0.29054581795558493,0.2835718927849654,0.005954221811839541,31.54,1,random
5,Cifar100,FedAvg,3,4.65756481204066,0.09119957395819465,0.6750209702702004,0.05222139469580869,0.2692309115674922,0.27366764997389426,0.26903774504273537,0.005944200086244071,23.52,3,random
6,Cifar100,FedAvg,4,4.620179888971012,0.09273066169617894,0.6910256260345927,0.04417350964683369,0.26076390501168867,0.2781647505865671,0.2712292848287727,0.005684809649453448,40.42,1,random
7,Cifar100,FedAvg,5,4.3812661842929455,0.10165091199573958,0.7125959586710777,0.04831725942888721,0.2505592811150915,0.3386779139152277,0.2974300664993542,0.006456018518518519,40.42,4,random
8,Cifar100,FedAvg,6,4.297107114123636,0.06716815337504993,0.7365530026977533,0.20416760301960968,0.23976971997980961,2.260276471558362,0.7053682659095485,0.017091094147582697,31.54,2,random
9,Cifar100,FedAvg,7,4.8031553239237414,0.06337371854613234,0.7074834293426643,0.03515074791497032,0.23148900401939068,0.6989218542896776,0.4107587538582604,0.009310194174757282,29.62,2,random
10,Cifar100,FedAvg,8,4.731521717888786,0.0875382771934496,0.7052452994193684,0.04955502277669325,0.24516744682937308,0.34310190867581836,0.3011506352262166,0.006533485193621869,29.0,3,random
11,Cifar100,FedAvg,9,4.7336338810374174,0.045866063107442415,0.7319007384979612,0.10394144997447023,0.2020128962383992,2.292170451916493,0.709423370916177,0.01737099236641222,25.7,2,random
12,Cifar100,FedAvg,10,4.855886166144304,0.09898815071228864,0.703062277290709,0.05527314197656402,0.22667666845857948,0.3794855477482931,0.31572921939997994,0.007030377166156983,36.480000000000004,2,random
13,Cifar100,FedAvg,11,4.516901373329487,0.09412861136999068,0.7203025127408444,0.0451586651235573,0.24111589749690723,0.3448141764651238,0.29638917217591326,0.006606182230134327,24.59,2,random
14,Cifar100,FedAvg,12,4.472832948669962,0.10205032618825723,0.7276638221758228,0.049569893404504725,0.21285743296522366,0.434960175672669,0.33144944699749307,0.007336435169346563,32.61,0,random
15,Cifar100,FedAvg,13,4.540022343977575,0.10218346425242977,0.7305398516210465,0.050190480248295546,0.22802313367197294,0.42079848789228186,0.33074120680398844,0.0073220523275569155,36.480000000000004,1,random
16,Cifar100,FedAvg,14,4.024499717003178,0.11742777260018639,0.7655355259360206,0.15171449223879913,0.2048695996283218,2.366691354012816,0.7190395254324037,0.017677600979192173,32.61,1,random
17,Cifar100,FedAvg,15,4.745464954943046,0.09679137265344162,0.7285559065854748,0.04985896886191368,0.1700706049408771,0.6860902625374968,0.4131333793852348,0.009129947460595447,27.79,1,random
18,Cifar100,FedAvg,16,4.466874734971623,0.10844095326853948,0.7297012719677064,0.05319707766915158,0.21967367677073663,0.3549107688789315,0.30599265102883816,0.006622165927802407,31.54,1,random
19,Cifar100,FedAvg,17,4.585649475999024,0.10790840101184929,0.727661934497573,0.051955950461679036,0.23713947756013729,0.3546110120787429,0.303418037728739,0.006816730038022814,26.78,2,random
20,Cifar100,FedAvg,18,4.388193386551622,0.0810145120489948,0.7528389014758092,0.10570697694041085,0.19945267014899842,2.4792133367895364,0.7135367598024278,0.017211320754716986,25.7,3,random
21,Cifar100,FedAvg,19,4.507418728339104,0.10444681134336306,0.728999020319359,0.05035063570745177,0.22822546103100066,0.3585489583416117,0.3126782729593878,0.006807743658210949,23.63,2,random
22,Cifar100,FedAvg,20,4.067033206293027,0.12295300226334709,0.7558035847334725,0.0816974442583799,0.17808110600357752,2.6310348170690423,0.744551947148546,0.0184,21.66,3,random
23,Cifar100,FedAvg,21,4.21363742169529,0.1206896551724138,0.7476509283563546,0.0778643274794867,0.2266698799523686,0.296813843482497,0.2844761410823944,0.006266135458167331,31.54,4,random
24,Cifar100,FedAvg,22,4.262652548735964,0.12048994807615497,0.7529553846829384,0.05655756288264998,0.19685230020993608,0.3229087050625215,0.2928475079312589,0.0064168049792531125,31.54,1,random
25,Cifar100,FedAvg,23,4.183010110658689,0.12581547064305684,0.7546440973327851,0.05976201508735015,0.21662968440312858,0.28571632571131556,0.27148579240857373,0.005965473778978169,29.62,0,random
26,Cifar100,FedAvg,24,3.9373892473379235,0.14618559446145654,0.7614639334978254,0.06745972789245648,0.25551193974153363,0.19003992925990815,0.22490983617729896,0.00476615499812804,22.839999999999996,3,random
27,Cifar100,FedAvg,25,4.137245120526107,0.12887764611902544,0.7612046053281328,0.059792256417093716,0.23903150702083523,0.2376291873932173,0.2517756883855371,0.00573007344055034,20.8,3,random
28,Cifar100,FedAvg,26,4.429772069370397,0.115630408733857,0.7477988500116501,0.0538150726945451,0.22789801776154148,0.40241718265163173,0.3237536596220847,0.007067712045616535,23.91,1,random
29,Cifar100,FedAvg,27,4.75984304248019,0.0948608707229397,0.7359554873986337,0.046301249379373445,0.22541010658742047,0.7097130332020402,0.42746278842940744,0.009553846153846156,32.61,1,random
30,Cifar100,FedAvg,28,4.20504122381379,0.12901078418319797,0.7549348313269102,0.058623346699465284,0.24652587526393924,0.2494042171261934,0.2569407265992985,0.005584323971260614,32.61,3,random
31,Cifar100,FedAvg,29,4.95035167723287,0.10018639328984157,0.7295829858472448,0.051823873454518624,0.2158066099532224,0.6134515624044414,0.40444022411437014,0.008966763173132601,36.480000000000004,5,random
32,Cifar100,FedAvg,30,4.189724046270773,0.1347357209426175,0.7523789038032465,0.0671914541043206,0.25110876492071543,0.2477677873317927,0.2555142016540992,0.005657448004496909,19.15,3,random
33,Cifar100,FedAvg,31,4.036968038096534,0.140460657702037,0.7649414224524781,0.06586886317236375,0.24125953240577927,0.22853866204646933,0.24405825255181096,0.005693827787655576,19.5,2,random
34,Cifar100,FedAvg,32,3.8599678821709964,0.11117028358407668,0.7919782450929794,0.1486079770085807,0.25224425434379605,2.000170188521653,0.672409734569383,0.01592544268406338,24.41,3,random
35,Cifar100,FedAvg,33,3.961012225717353,0.097856477166822,0.794562345258578,0.1907109818929756,0.2028169479529131,2.1144644624500324,0.6910929695044564,0.01675373790677221,31.54,2,random
36,Cifar100,FedAvg,34,4.517133769704534,0.11097057648781787,0.7502306727403733,0.10083668869643517,0.21047338482982728,0.7979675737822401,0.4420291338333203,0.009854465592972183,31.54,1,random
37,Cifar100,FedAvg,35,4.319518866810138,0.13100785514578617,0.759670596367501,0.06868719314654431,0.2148615319920618,0.4478125859412423,0.3399071444554589,0.0077736517475881705,36.480000000000004,1,random
38,Cifar100,FedAvg,36,4.0850198890689455,0.129743043536147,0.7712140436924344,0.06385803770850637,0.18972185330203173,0.24726081218527576,0.2552185076729927,0.0056477249517757865,40.42,2,random
39,Cifar100,FedAvg,37,4.157858122881557,0.12960990547197443,0.7716494147493462,0.06286040651067767,0.20608186932930506,0.3434239394305554,0.29886564845848435,0.006444710704713859,36.480000000000004,3,random
40,Cifar100,FedAvg,38,3.9674822675693426,0.12841166289442152,0.7835232855709336,0.05896435886128528,0.19460609829000292,0.2268421567678885,0.24344949201361182,0.005320912547528518,29.62,3,random
41,Cifar100,FedAvg,39,4.177739536159119,0.1324723738516842,0.7625730705019104,0.06234160538499396,0.217147688978857,0.3376648323092258,0.2962438446484309,0.006674967907573812,31.54,0,random
42,Cifar100,FedAvg,40,4.070905952184612,0.13786446545067235,0.7716135541687307,0.06385541113070302,0.20459388559448807,0.2890314791651865,0.2789194451063429,0.006113440860215054,32.61,0,random
43,Cifar100,FedAvg,41,3.8982556803209927,0.14858207961656236,0.7758391572326907,0.0693281798613752,0.22412243282716632,0.21336531338197345,0.2370165148077188,0.005151642672572905,29.62,4,random
44,Cifar100,FedAvg,42,4.021512246195945,0.13307149514046065,0.7685314065064482,0.06113925415306276,0.23776091224642718,0.30149514831895396,0.2808925062894268,0.006229294923916832,22.839999999999996,1,random
45,Cifar100,FedAvg,43,4.210470452868007,0.1286779390227666,0.7546400055364583,0.05960456465661378,0.2355216713664549,0.35858515277390796,0.30052447229082024,0.006693772893772894,24.130000000000003,1,random
46,Cifar100,FedAvg,44,4.662458181101016,0.12708028225269605,0.7320448759363204,0.06557207095571375,0.22026838986257471,0.6788189756616906,0.4110886093455993,0.009272237196765499,24.59,2,random
47,Cifar100,FedAvg,45,4.512269189887754,0.13227266675542537,0.7441527181189873,0.06407421848804105,0.18885312804251425,0.6531886630874741,0.4126144382197036,0.009141928251121076,25.45,4,random
48,Cifar100,FedAvg,46,4.030142746917455,0.13127413127413126,0.7801955631443065,0.061888898183671236,0.17213109143952907,0.2987240967076308,0.28007773052724527,0.006376883686905633,40.42,3,random
49,Cifar100,FedAvg,47,4.506703819101332,0.107109572626814,0.7486084467749774,0.09275189759670359,0.2124637305835569,0.8938918326489802,0.4680124324488717,0.010738579654510557,26.73,1,random
50,Cifar100,FedAvg,48,4.205183186532668,0.12854480095859405,0.7714069833654834,0.062372248168684134,0.20809927118451235,0.355447267431349,0.30859874332535864,0.006909617612977984,23.91,3,random
51,Cifar100,FedAvg,49,4.1758247793207826,0.09732392491013181,0.7913079838925597,0.17291514435172411,0.1467835626500441,2.4869951144217217,0.7295992216968161,0.017908151549942596,25.7,2,random
52,Cifar100,FedAvg,50,3.8641224471893465,0.15044601251497802,0.7842072185926089,0.0697259013286562,0.17427383237649102,0.22267005017595934,0.24399068909009086,0.005099405083829098,36.480000000000004,2,random
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,Cifar100,FedAvg,0,5.538011683749491,0.029090667021701506,0.5397262814834052,0.018058520298219537,0.20522392573450868,0.40158196551356057,0.3269980126737641,0.007077130044843049,27.06,5,random
3,Cifar100,FedAvg,1,4.88675282336146,0.05352150179736387,0.616598967776389,0.03642150879920427,0.2413246182446114,0.26126273323198684,0.2602252285132864,0.005760470907856011,30.09,4,random
4,Cifar100,FedAvg,2,4.569336477744652,0.06523765144454799,0.6716951897724892,0.030777678349473064,0.269517670218142,0.1578105895557766,0.20677017049065888,0.004335602818199776,28.52,2,random
5,Cifar100,FedAvg,3,4.695966217911214,0.08767141525762215,0.6686160902492865,0.041221865577456905,0.25598303201992423,0.34134955812737944,0.29999621097163465,0.0066329477229462586,30.09,3,random
6,Cifar100,FedAvg,4,4.76257077580681,0.07222739981360671,0.6814707872752106,0.04283247192224475,0.25177513884104147,0.37582770865194276,0.3088600061003172,0.00691605471562275,27.06,1,random
7,Cifar100,FedAvg,5,4.574490173940614,0.08287844494741047,0.697404183014493,0.0434929975167999,0.2623644100775656,0.2652271908148631,0.264406244258017,0.005879712548369264,32.6,2,random
8,Cifar100,FedAvg,6,4.485443973317092,0.09585940620423379,0.7066630985572311,0.046809582571773305,0.2647539352757388,0.2010587978131661,0.23327356697652746,0.005050777934936351,27.06,2,random
9,Cifar100,FedAvg,7,4.138696453676465,0.10977233391026495,0.7334488471709601,0.11529195174699801,0.28224456193928704,2.606508234785096,0.7285897281711726,0.017765625000000004,32.7,1,random
10,Cifar100,FedAvg,8,4.454294344123002,0.10983890294235121,0.7168884552122011,0.0535284502283107,0.26154593109543517,0.2608626616859111,0.26138128674829425,0.0056812500000000005,32.7,2,random
11,Cifar100,FedAvg,9,4.544790861081938,0.10824124617228066,0.7143298051720972,0.05183371775528203,0.2578261575699975,0.36704105693616873,0.3126928176495206,0.006899562332345052,22.74,1,random
12,Cifar100,FedAvg,10,4.321437517188127,0.11223538809745706,0.7302391545642194,0.05475029424212356,0.260335394108495,0.28041743468984814,0.27412002552152526,0.006088980244375928,37.81,3,random
13,Cifar100,FedAvg,11,5.0432719705567575,0.0933297829849554,0.6926026845340226,0.05867078626873754,0.2388947313415138,0.7079871844194523,0.42127544594185284,0.009442550852116548,32.7,3,random
14,Cifar100,FedAvg,12,4.565728043426409,0.09705764878178672,0.7183240932103022,0.04551663159562325,0.24734308179702727,0.6697536193672554,0.4039832622655556,0.008913121434392829,26.69,2,random
15,Cifar100,FedAvg,13,4.296423472919425,0.1206896551724138,0.7342752007165942,0.06769281519598816,0.25375797116060805,0.24259920133530646,0.2556191671812308,0.005499608385164709,32.7,2,random
16,Cifar100,FedAvg,14,4.70424259130603,0.09612568233257889,0.7184238323278536,0.044848878484302135,0.23978387714631821,0.5766535287468241,0.3835576005459266,0.008416889996883765,22.62,5,random
17,Cifar100,FedAvg,15,4.675057036833446,0.10071894554653175,0.7289775097074794,0.05451040885686664,0.1955828162216883,0.874366206182147,0.4564508337372387,0.01041106166560712,28.52,3,random
18,Cifar100,FedAvg,16,4.231376420151928,0.12581547064305684,0.7477503974151888,0.0581638110910101,0.23108246569637175,0.2562452362929948,0.2635536785547727,0.005787755102040817,32.0,0,random
19,Cifar100,FedAvg,17,4.584863795085537,0.10877379842897084,0.7235872011850077,0.08067560427429527,0.2460961520737891,0.6358321622454689,0.40742117766617864,0.009546123814835472,36.41,1,random
20,Cifar100,FedAvg,18,4.443344812572523,0.10790840101184929,0.743787178803605,0.051683812021173565,0.19805435305365912,0.4014625426979747,0.32128120439703434,0.007067493356953057,26.69,2,random
21,Cifar100,FedAvg,19,4.501569457520621,0.11223538809745706,0.7330448884906203,0.06651111836938894,0.20576708521251388,0.6928910539901825,0.423127600365757,0.009349820985954282,22.73,1,random
22,Cifar100,FedAvg,20,4.501705474012352,0.11969111969111969,0.7340671849033858,0.07207610944306383,0.22157105347021597,0.422313685870608,0.3336606193455541,0.007235739493102342,26.69,1,random
23,Cifar100,FedAvg,21,4.690101242769957,0.11656237518306484,0.7311383506450143,0.06690697920810657,0.22890132304244745,0.3916397874410994,0.32136553252832684,0.007261995683214345,32.7,3,random
24,Cifar100,FedAvg,22,4.275882833324771,0.12381839968046865,0.7500935013686746,0.06149677077746758,0.23046907000188827,0.4517604534429206,0.33859441545131835,0.007611236357130077,26.66,3,random
25,Cifar100,FedAvg,23,4.050880631478222,0.129743043536147,0.7647587833836671,0.06029584967709463,0.21452285261752704,0.19944342928056363,0.22608439102297942,0.005056481885639459,21.459999999999997,6,random
26,Cifar100,FedAvg,24,4.216417240541414,0.13180668353082145,0.7590893703378422,0.06327242441558519,0.2298878962977901,0.2926498297022631,0.27453976286009435,0.006061216497368744,32.0,1,random
27,Cifar100,FedAvg,25,4.1498051565953595,0.12235388097457063,0.7659128560850283,0.0633343932820467,0.21554541085043,0.3000270554327778,0.2813279557387452,0.006141786460253103,28.81,1,random
28,Cifar100,FedAvg,26,4.2533099020731004,0.1266808680601784,0.7609041190952756,0.06306814768123288,0.18744755331165638,0.4093644204755876,0.32549339392511684,0.007464536406495546,28.52,2,random
29,Cifar100,FedAvg,27,4.547293663171679,0.11702835840766876,0.7358438243777373,0.05607357375076833,0.22224375230863466,0.5036121579519173,0.3633052134303127,0.007905678745267711,30.09,1,random
30,Cifar100,FedAvg,28,4.380390473759252,0.12308614032751963,0.7480812589963389,0.06886052484851066,0.23800171524483463,0.4132433324216429,0.3320668473069675,0.007595748449955713,36.41,2,random
31,Cifar100,FedAvg,29,4.112569643195801,0.11736120356810012,0.7673772647699505,0.1311220979163184,0.2466407527706846,2.4328200978238987,0.7224097145021938,0.017721465968586387,23.599999999999998,3,random
32,Cifar100,FedAvg,30,4.057050334918891,0.1372653441618959,0.7615536547598531,0.06311733864081726,0.22031439925414475,0.2524978403564194,0.25699453223142604,0.005492358101680583,26.66,1,random
33,Cifar100,FedAvg,31,4.45409204866733,0.11583011583011583,0.7481831879387348,0.06734024787011675,0.18239012030520724,0.8367906385190312,0.46128579204354714,0.010355866900175134,32.7,1,random
34,Cifar100,FedAvg,32,4.333707118237181,0.10244974038077487,0.7632096814741124,0.04996920511863458,0.18146364609169027,0.6892421794608794,0.42080961522748866,0.00946218487394958,37.81,2,random
