1,id,select_time,isRichResource,last_select
2,0,5,False,48
3,1,12,False,45
4,2,4,False,43
5,3,3,False,49
6,4,2,False,48
7,5,7,True,50
8,6,3,False,31
9,7,2,False,40
10,8,5,False,43
11,9,9,False,39
12,10,6,False,42
13,11,5,True,46
14,12,7,False,49
15,13,5,False,33
16,14,6,True,50
17,15,3,False,23
18,16,2,False,25
19,17,4,False,47
20,18,8,False,39
21,19,7,False,45
22,20,12,True,45
23,21,8,False,48
24,22,1,True,24
25,23,6,False,50
26,24,2,False,27
27,25,5,False,47
28,26,9,False,44
29,27,4,False,35
30,28,5,False,44
31,29,4,False,42
32,30,8,False,39
33,31,5,False,49
34,32,5,False,50
35,33,5,False,19
36,34,4,False,50
37,35,3,True,33
38,36,7,True,41
39,37,5,False,43
40,38,3,False,47
41,39,4,True,49
42,40,3,False,34
43,41,3,False,44
44,42,2,False,17
45,43,7,False,48
46,44,3,False,32
47,45,4,True,21
48,46,5,False,44
49,47,7,True,45
50,48,7,False,49
51,49,7,False,40
52,50,5,False,46
53,51,4,True,48
54,52,7,True,49
55,53,6,True,44
56,54,5,True,32
57,55,3,True,29
58,56,3,False,47
59,57,7,False,49
60,58,5,False,32
61,59,8,False,44
62,60,3,False,43
63,61,8,False,47
64,62,7,False,49
65,63,3,False,39
66,64,5,True,48
67,65,7,False,45
68,66,2,True,37
69,67,9,False,44
70,68,3,False,33
71,69,6,False,47
72,70,5,False,35
73,71,4,False,39
74,72,4,False,32
75,73,2,False,48
76,74,4,False,32
77,75,3,False,50
78,76,4,False,50
79,77,4,False,37
80,78,3,False,46
81,79,8,True,32
82,80,7,False,50
83,81,4,False,35
84,82,5,False,42
85,83,5,False,40
86,84,7,False,40
87,85,4,False,46
88,86,6,False,50
89,87,6,False,43
90,88,3,False,47
91,89,3,False,41
92,90,4,False,45
93,91,4,True,44
94,92,7,False,41
95,93,3,False,50
96,94,2,False,23
97,95,5,False,41
98,96,8,False,48
99,97,6,False,43
100,98,10,False,48
101,99,6,True,42
1,id,select_time,isRichResource,last_select
2,0,17,False,179
3,1,21,False,193
4,2,19,False,188
5,3,23,False,195
6,4,12,False,200
7,5,19,True,192
8,6,20,False,179
9,7,24,False,189
10,8,17,False,198
11,9,19,False,177
12,10,18,True,200
13,11,18,False,198
14,12,14,False,197
15,13,21,False,193
16,14,20,False,194
17,15,22,False,197
18,16,25,False,196
19,17,21,False,190
20,18,27,False,195
21,19,23,False,181
22,20,15,False,195
23,21,19,False,190
24,22,20,False,196
25,23,19,True,178
26,24,14,False,196
27,25,13,False,197
28,26,18,False,198
29,27,23,False,198
30,28,10,False,185
31,29,26,False,190
32,30,19,True,200
33,31,24,True,198
34,32,19,False,197
35,33,17,False,195
36,34,22,True,192
37,35,17,False,193
38,36,15,False,189
39,37,16,False,198
40,38,27,False,198
41,39,20,False,200
42,40,16,False,199
43,41,23,True,191
44,42,18,False,190
45,43,14,False,175
46,44,22,False,193
47,45,15,False,191
48,46,28,True,184
49,47,18,True,181
50,48,23,True,196
51,49,17,False,190
52,50,29,False,200
53,51,19,False,196
54,52,23,False,196
55,53,21,False,200
56,54,13,False,194
57,55,14,False,175
58,56,21,True,194
59,57,24,False,195
60,58,17,False,194
61,59,17,True,200
62,60,25,False,175
63,61,20,False,199
64,62,19,True,197
65,63,21,False,196
66,64,29,False,199
67,65,18,False,184
68,66,18,False,150
69,67,19,False,199
70,68,10,False,177
71,69,26,True,199
72,70,16,False,199
73,71,16,False,191
74,72,24,False,188
75,73,19,False,192
76,74,26,False,200
77,75,19,False,200
78,76,28,False,171
79,77,17,False,199
80,78,20,True,199
81,79,22,True,194
82,80,26,False,193
83,81,23,False,192
84,82,20,False,164
85,83,28,False,188
86,84,21,False,194
87,85,21,False,190
88,86,25,True,196
89,87,20,True,194
90,88,23,False,200
91,89,23,False,198
92,90,19,False,199
93,91,17,False,190
94,92,16,False,196
95,93,21,False,189
96,94,22,False,173
97,95,13,False,173
98,96,28,False,181
99,97,28,True,198
100,98,21,False,182
101,99,18,True,195
