1,global_rounds,id_list
2,0,"[91, 21, 65, 25, 79, 47, 98, 70, 37, 20]"
3,1,"[36, 70, 92, 82, 86, 49, 32, 30, 62, 20]"
4,2,"[87, 42, 1, 33, 9, 2, 45, 3, 81, 96]"
5,3,"[79, 30, 89, 97, 91, 60, 17, 52, 13, 84]"
6,4,"[19, 4, 80, 8, 79, 98, 41, 85, 58, 26]"
7,5,"[85, 47, 19, 84, 88, 55, 53, 54, 1, 62]"
8,6,"[43, 40, 78, 27, 20, 24, 77, 58, 9, 39]"
9,7,"[33, 68, 6, 95, 48, 47, 57, 71, 51, 62]"
10,8,"[20, 45, 75, 63, 81, 7, 0, 96, 79, 56]"
11,9,"[57, 1, 74, 20, 18, 33, 31, 51, 13, 67]"
12,10,"[69, 19, 57, 59, 81, 80, 5, 23, 70, 47]"
13,11,"[92, 50, 43, 97, 67, 53, 33, 44, 57, 64]"
14,12,"[62, 49, 84, 68, 9, 30, 19, 58, 60, 98]"
15,13,"[32, 10, 17, 72, 74, 95, 43, 80, 46, 54]"
16,14,"[37, 67, 8, 41, 76, 39, 25, 49, 31, 3]"
17,15,"[29, 1, 10, 84, 55, 18, 13, 67, 43, 70]"
18,16,"[6, 15, 86, 93, 48, 37, 53, 59, 9, 26]"
19,17,"[79, 26, 54, 21, 93, 18, 90, 72, 23, 42]"
20,18,"[29, 48, 14, 59, 54, 30, 37, 31, 65, 11]"
21,19,"[32, 36, 97, 33, 1, 86, 18, 52, 65, 2]"
22,20,"[57, 2, 45, 15, 19, 13, 20, 16, 35, 43]"
23,21,"[45, 94, 9, 50, 11, 5, 36, 82, 92, 1]"
24,22,"[20, 62, 65, 83, 12, 9, 84, 28, 98, 18]"
25,23,"[67, 96, 95, 69, 12, 58, 44, 61, 15, 94]"
26,24,"[29, 91, 87, 22, 43, 82, 23, 99, 88, 1]"
27,25,"[83, 92, 53, 35, 96, 69, 52, 16, 84, 28]"
28,26,"[20, 59, 98, 21, 34, 83, 46, 30, 8, 0]"
29,27,"[26, 24, 21, 48, 27, 61, 25, 52, 49, 82]"
30,28,"[28, 97, 39, 49, 57, 36, 72, 99, 96, 59]"
31,29,"[10, 64, 55, 40, 67, 20, 47, 79, 56, 80]"
32,30,"[99, 89, 1, 19, 79, 97, 36, 74, 21, 71]"
33,31,"[27, 48, 69, 92, 66, 98, 99, 6, 87, 46]"
34,32,"[20, 61, 79, 54, 8, 1, 72, 58, 74, 44]"
35,33,"[13, 9, 65, 61, 31, 64, 76, 35, 77, 68]"
36,34,"[38, 32, 92, 1, 61, 0, 9, 30, 20, 40]"
37,35,"[81, 1, 70, 53, 18, 27, 30, 67, 80, 26]"
38,36,"[77, 50, 90, 28, 14, 10, 49, 85, 36, 96]"
39,37,"[77, 11, 61, 14, 66, 71, 67, 46, 98, 80]"
40,38,"[10, 11, 98, 90, 18, 95, 47, 83, 63, 14]"
41,39,"[96, 30, 76, 26, 18, 65, 63, 71, 9, 87]"
42,40,"[86, 49, 59, 25, 83, 17, 26, 21, 84, 7]"
43,41,"[95, 99, 52, 36, 26, 62, 92, 5, 89, 59]"
44,42,"[78, 82, 10, 21, 38, 99, 87, 48, 69, 29]"
45,43,"[2, 64, 61, 97, 37, 12, 60, 34, 8, 87]"
46,44,"[26, 0, 67, 91, 46, 41, 28, 50, 53, 59]"
47,45,"[20, 90, 52, 65, 1, 73, 19, 47, 5, 12]"
48,46,"[85, 51, 78, 14, 75, 11, 50, 86, 12, 98]"
49,47,"[61, 23, 56, 5, 88, 12, 17, 69, 38, 25]"
50,48,"[96, 5, 4, 0, 98, 21, 51, 64, 43, 73]"
51,49,"[48, 57, 31, 3, 39, 23, 12, 52, 34, 62]"
52,50,"[75, 93, 76, 32, 34, 23, 86, 14, 5, 80]"
1,global_rounds,id_list
2,0,"[63, 79, 82, 31, 6, 34, 97, 20, 64, 10]"
3,1,"[60, 79, 15, 90, 88, 47, 64, 56, 87, 33]"
4,2,"[83, 98, 69, 14, 86, 88, 53, 91, 82, 6]"
5,3,"[31, 72, 53, 33, 79, 94, 34, 96, 39, 9]"
6,4,"[9, 21, 52, 68, 41, 82, 66, 90, 19, 77]"
7,5,"[83, 27, 62, 87, 28, 63, 71, 37, 25, 94]"
8,6,"[97, 27, 40, 96, 46, 94, 4, 44, 82, 6]"
9,7,"[60, 32, 48, 49, 2, 13, 7, 42, 22, 9]"
10,8,"[7, 79, 19, 26, 50, 86, 91, 92, 13, 42]"
11,9,"[73, 26, 16, 96, 31, 44, 66, 17, 98, 75]"
12,10,"[73, 10, 3, 47, 51, 76, 89, 83, 98, 34]"
13,11,"[22, 59, 49, 42, 23, 91, 9, 8, 40, 41]"
