1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,mnist,FedAvg,0,3.472468924514393,0.09188387611931786,0.5408550899897213,0.27889272512650076,0.2733261008952254,0.6842379050975712,0.4283841821102113,0.08760250523669878,31.18,3,random
3,mnist,FedAvg,1,3.1887615977276584,0.2727998631152683,0.5829429840993454,0.38012910986031884,0.30885397630233113,0.6231761211586857,0.4133632238632639,0.0944988195841717,31.28,0,random
4,mnist,FedAvg,2,3.4456517128872566,0.1000399247133976,0.5985663885868207,0.2520755759602871,0.2656629211478756,0.8201624997418574,0.4543709567840828,0.09665418121046729,30.15,2,random
5,mnist,FedAvg,3,2.6258682846677,0.3079336109051503,0.6259856262813874,0.38702404096631154,0.30605335119417976,0.5341833491524635,0.3903355671119138,0.09083178771998704,31.28,0,random
6,mnist,FedAvg,4,2.1110966967497786,0.4094564535447442,0.7258762726758559,0.3592522664170347,0.23416107886283039,0.4429539292141428,0.35981204984730275,0.07547946970698127,31.59,3,random
7,mnist,FedAvg,5,1.482795061079263,0.42827810414646666,0.8462446469124038,0.35045947391777654,0.17138653472505422,0.46004840318005114,0.35819429170362554,0.07006813807137204,28.94,3,random
8,mnist,FedAvg,6,1.6421870549944502,0.40877202988649974,0.8317413230156914,0.32732021665260486,0.1404956154177209,0.65026149501727,0.41793149264774354,0.0961037210969708,31.18,1,random
9,mnist,FedAvg,7,1.2423835294616072,0.5532994923857868,0.8919277962495402,0.34077608425023126,0.1134335349163752,0.13434726394131097,0.18393873453887488,0.042383893412287196,31.28,1,random
10,mnist,FedAvg,8,1.5143715463184797,0.40848685336223123,0.881031325136937,0.3472874758869762,0.08643900414430293,0.4537449299463626,0.3395497779605195,0.08042883116883116,31.28,3,random
11,mnist,FedAvg,9,1.7445811895756191,0.33183140363885244,0.8533188935128474,0.2880238944951816,0.08848051184711808,0.4852122174063687,0.3613483458073619,0.0787625715213057,34.36,1,random
12,mnist,FedAvg,10,1.0926381786804444,0.6179204927850339,0.9140327312643127,0.2648950937000178,0.07878766590388415,0.22491286518328096,0.24416045784206172,0.05078773473814689,31.17,3,random
13,mnist,FedAvg,11,1.6131010538814587,0.42137683225916844,0.8515021629934834,0.35432844006207953,0.1356896641089217,0.48857704989636974,0.37344062755170304,0.08070043956043955,31.17,3,random
14,mnist,FedAvg,12,2.6671642068073096,0.26133576683967374,0.8108092264715211,0.3457786356827774,0.12303645060518473,0.8958268881214819,0.4928800134556424,0.1075012566866701,19.16,1,random
15,mnist,FedAvg,13,1.0217132983617363,0.6487195574060344,0.9197895352973375,0.2838192342960339,0.09321360817782369,0.324050672401301,0.2689885417203047,0.06393631867203899,30.509999999999998,2,random
16,mnist,FedAvg,14,1.2580893246411942,0.5481092796440997,0.8982412926990576,0.3313856387161235,0.10129595618882764,0.42011219333739375,0.3352587812885299,0.08112718905165388,30.509999999999998,2,random
17,mnist,FedAvg,15,1.453433619244866,0.5107511549649233,0.8887284294734119,0.3341474151592127,0.10316783640506892,0.6718252832060512,0.4337547846409254,0.0899144051122509,18.87,3,random
18,mnist,FedAvg,16,1.417278824542101,0.5380710659898477,0.8809107539795711,0.35345322472401997,0.1134501686436989,0.46275484281505047,0.35666131953249464,0.0759121477701028,34.36,5,random
19,mnist,FedAvg,17,1.5750157661107624,0.4968345405806194,0.8628809295364113,0.3475640926959696,0.11812000985221036,0.43079331953505623,0.3383345094631913,0.07273186679711295,27.47,3,random
20,mnist,FedAvg,18,1.4296569895050022,0.5110933667940455,0.882122271083434,0.3334952044616361,0.11917950856706305,0.32549907338760414,0.2974504527655118,0.06180639895592812,18.5,1,random
21,mnist,FedAvg,19,1.5025009254703472,0.5055039069183824,0.8954528715267442,0.34336751754388073,0.08967560677043715,0.5527637185025831,0.3880008153993162,0.08467231064237776,28.22,2,random
22,mnist,FedAvg,20,1.5315352493605852,0.5212456510580049,0.9067579131136098,0.2994160778303615,0.07571192801935722,0.6474720432505926,0.42362809522804684,0.09490253408852528,31.17,2,random
23,mnist,FedAvg,21,1.8925368015254571,0.5462841498887812,0.8785565116128411,0.33821113002501824,0.1283668971102868,0.9277435401619188,0.48953799923100344,0.11022980460731391,31.28,1,random
24,mnist,FedAvg,22,1.5138281557953024,0.5923116409057206,0.8941939229156736,0.32939235567579667,0.127181158086706,0.757811698860475,0.46205020076905057,0.10412954703832752,31.17,2,random
25,mnist,FedAvg,23,2.0561949648734683,0.47424855985855247,0.8756715391477675,0.366304846306595,0.10515293965259796,0.6832482275522074,0.4215322982965289,0.09510558390468699,34.36,3,random
26,mnist,FedAvg,24,0.8793190723516793,0.7419722808418411,0.9315076107713951,0.2251127540379287,0.07779232079730099,0.7285599771675055,0.43538704080590007,0.1014375764218731,34.36,1,random
27,mnist,FedAvg,25,0.7095905712137177,0.7741972280841841,0.9476614613324291,0.18483942228237393,0.05508060620313121,0.3116766271923561,0.29205880553783264,0.06490828669612175,29.8,3,random
28,mnist,FedAvg,26,1.4432014221301122,0.6103918325443449,0.9061311257005383,0.29641824165110053,0.08735442241208453,0.8289922687043874,0.4630836634912372,0.10651565184650623,27.12,2,random
29,mnist,FedAvg,27,0.6725765041743532,0.7726572748531341,0.9551978024002141,0.18369042276386596,0.043039101641400304,0.40661963767569653,0.31953306974190077,0.06580428571428572,19.16,4,random
30,mnist,FedAvg,28,1.715155051797631,0.43597787030171675,0.9137304361681894,0.3057172118126857,0.05324733229275772,1.2063995422037466,0.5258066909043062,0.11117203238644159,27.66,3,random
31,mnist,FedAvg,29,0.9709516565508898,0.6672560314834883,0.9322532479767416,0.28435853735369526,0.07488409516565606,0.30760344364520725,0.29342390481704184,0.05692043014513027,34.36,2,random
32,mnist,FedAvg,30,1.1468507501592367,0.6293845890606286,0.9328798044936601,0.2805992967998042,0.054665354133001096,0.3618959905031794,0.3224982470375802,0.06258590169440292,31.59,1,random
