1,id,select_time,isRichResource,last_select
2,0,0,False,0
3,1,1,True,3
4,2,1,False,1
5,3,0,False,0
6,4,1,False,1
7,5,0,False,0
8,6,0,False,0
9,7,0,False,0
10,8,1,False,3
11,9,0,False,0
12,10,0,False,0
13,11,0,False,0
14,12,2,False,3
15,13,0,False,0
16,14,0,False,0
17,15,0,False,0
18,16,1,False,3
19,17,0,False,0
20,18,0,True,0
21,19,0,False,0
22,20,0,False,0
23,21,0,False,0
24,22,0,False,0
25,23,0,False,0
26,24,0,False,0
27,25,2,False,3
28,26,0,False,0
29,27,1,False,0
30,28,1,False,2
31,29,1,False,2
32,30,0,False,0
33,31,0,False,0
34,32,0,False,0
35,33,0,False,0
36,34,0,False,0
37,35,2,True,3
38,36,0,False,0
39,37,0,False,0
40,38,1,False,3
41,39,1,False,1
42,40,1,True,2
43,41,1,True,0
44,42,0,True,0
45,43,0,False,0
46,44,1,False,1
47,45,0,True,0
48,46,0,False,0
49,47,1,True,0
50,48,0,False,0
51,49,0,False,0
52,50,3,True,3
53,51,0,False,0
54,52,1,True,3
55,53,1,True,0
56,54,1,False,0
57,55,0,False,0
58,56,0,False,0
59,57,0,False,0
60,58,0,False,0
61,59,1,False,1
62,60,0,False,0
63,61,0,False,0
64,62,1,False,2
65,63,0,False,0
66,64,0,False,0
67,65,0,False,0
68,66,0,False,0
69,67,0,True,0
70,68,1,False,0
71,69,0,True,0
72,70,1,False,1
73,71,0,True,0
74,72,1,True,1
75,73,0,False,0
76,74,0,False,0
77,75,2,False,2
78,76,2,True,2
79,77,0,True,0
80,78,0,False,0
81,79,0,False,0
82,80,0,False,0
83,81,0,False,0
84,82,1,True,1
85,83,0,False,0
86,84,1,False,2
87,85,0,False,0
88,86,0,False,0
89,87,0,False,0
90,88,2,False,3
91,89,0,False,0
92,90,0,False,0
93,91,0,True,0
94,92,0,False,0
95,93,0,False,0
96,94,0,True,0
97,95,0,False,0
98,96,0,False,0
99,97,0,False,0
100,98,1,False,0
101,99,0,False,0
1,id,select_time,isRichResource,last_select
2,0,1,True,0
3,1,0,False,0
4,2,1,False,0
5,3,0,False,0
6,4,0,True,0
7,5,0,True,0
8,6,1,False,0
9,7,0,False,0
10,8,0,True,0
11,9,0,False,0
12,10,0,True,0
13,11,0,False,0
14,12,0,False,0
15,13,0,False,0
16,14,2,False,1
17,15,0,False,0
18,16,0,True,0
19,17,0,False,0
20,18,0,False,0
21,19,1,True,2
22,20,1,True,1
23,21,0,False,0
24,22,1,False,2
25,23,0,False,0
26,24,1,True,0
27,25,0,False,0
28,26,1,True,3
29,27,1,False,0
30,28,0,False,0
31,29,0,False,0
32,30,0,False,0
33,31,0,False,0
34,32,0,False,0
35,33,1,False,2
36,34,0,False,0
37,35,1,True,2
38,36,0,False,0
39,37,0,False,0
40,38,0,False,0
41,39,1,False,3
42,40,1,False,1
43,41,0,False,0
44,42,2,False,2
45,43,0,False,0
46,44,0,True,0
47,45,0,False,0
48,46,0,False,0
49,47,0,True,0
50,48,1,False,1
51,49,0,False,0
52,50,0,False,0
53,51,0,True,0
54,52,1,False,3
55,53,0,False,0
56,54,1,False,1
57,55,0,False,0
58,56,2,False,3
59,57,0,False,0
60,58,0,False,0
61,59,1,False,2
62,60,0,False,0
63,61,0,False,0
64,62,0,False,0
65,63,0,False,0
66,64,1,True,2
67,65,0,False,0
68,66,1,False,3
69,67,0,False,0
70,68,0,True,0
71,69,0,False,0
72,70,0,False,0
