1,global_rounds,id_list
2,0,"[54, 47, 88, 98, 53, 35, 27, 41, 68, 75]"
3,1,"[39, 76, 59, 70, 72, 50, 4, 2, 82, 44]"
4,2,"[75, 12, 29, 62, 25, 50, 84, 40, 76, 28]"
5,3,"[8, 38, 16, 1, 25, 50, 12, 35, 88, 52]"
1,global_rounds,id_list
2,0,"[24, 92, 2, 95, 27, 14, 0, 89, 6, 80]"
3,1,"[14, 54, 93, 40, 85, 42, 87, 20, 48, 56]"
4,2,"[35, 19, 64, 72, 22, 59, 97, 42, 99, 33]"
5,3,"[89, 52, 76, 26, 66, 91, 73, 39, 56, 79]"
1,global_rounds,id_list
2,0,"[94, 92, 32, 89, 34, 39, 51, 68, 82, 45]"
3,1,"[48, 43, 93, 56, 69, 37, 40, 53, 84, 47]"
4,2,"[63, 96, 97, 98, 52, 12, 21, 49, 7, 2]"
5,3,"[49, 9, 7, 48, 43, 71, 76, 50, 40, 51]"
6,4,"[91, 67, 73, 85, 43, 51, 38, 37, 56, 42]"
7,5,"[23, 92, 53, 14, 55, 2, 7, 64, 24, 78]"
8,6,"[39, 93, 97, 75, 76, 28, 59, 51, 98, 27]"
9,7,"[59, 76, 57, 85, 15, 48, 64, 47, 44, 16]"
10,8,"[48, 97, 68, 98, 45, 62, 39, 6, 75, 78]"
11,9,"[59, 95, 57, 8, 60, 6, 98, 86, 37, 0]"
12,10,"[82, 97, 5, 87, 57, 25, 32, 68, 59, 99]"
13,11,"[97, 75, 42, 7, 60, 10, 93, 57, 28, 71]"
14,12,"[17, 43, 47, 30, 88, 18, 54, 28, 9, 35]"
15,13,"[9, 81, 49, 40, 45, 61, 23, 1, 79, 63]"
16,14,"[84, 41, 36, 71, 40, 37, 44, 45, 81, 97]"
17,15,"[9, 75, 42, 10, 92, 61, 47, 56, 72, 20]"
18,16,"[68, 99, 71, 14, 11, 23, 86, 80, 67, 85]"
19,17,"[70, 92, 80, 52, 15, 93, 77, 50, 25, 84]"
20,18,"[47, 96, 98, 25, 95, 74, 73, 69, 66, 58]"
21,19,"[33, 83, 92, 76, 59, 96, 23, 21, 94, 49]"
22,20,"[70, 28, 43, 98, 0, 52, 59, 57, 18, 90]"
23,21,"[55, 48, 81, 43, 74, 89, 99, 8, 41, 17]"
24,22,"[53, 41, 11, 57, 56, 82, 42, 33, 14, 96]"
25,23,"[16, 4, 86, 32, 60, 90, 36, 97, 89, 67]"
26,24,"[41, 4, 30, 78, 27, 15, 63, 11, 86, 34]"
27,25,"[93, 55, 60, 80, 99, 82, 25, 89, 8, 10]"
28,26,"[72, 55, 18, 96, 3, 8, 53, 71, 70, 9]"
29,27,"[97, 68, 51, 87, 53, 52, 35, 76, 21, 92]"
30,28,"[43, 0, 69, 18, 54, 15, 27, 85, 5, 52]"
31,29,"[67, 26, 90, 32, 44, 35, 22, 65, 46, 86]"
32,30,"[74, 31, 38, 64, 30, 69, 67, 12, 88, 18]"
33,31,"[12, 64, 20, 57, 76, 4, 23, 91, 40, 82]"
34,32,"[68, 38, 36, 6, 35, 23, 13, 40, 1, 0]"
35,33,"[53, 18, 99, 95, 8, 73, 46, 96, 45, 76]"
36,34,"[86, 93, 80, 45, 17, 63, 52, 33, 72, 83]"
37,35,"[3, 16, 58, 15, 11, 71, 22, 12, 48, 27]"
38,36,"[18, 27, 96, 51, 95, 30, 42, 24, 88, 69]"
39,37,"[24, 34, 58, 51, 1, 64, 14, 72, 45, 46]"
40,38,"[59, 2, 87, 8, 10, 93, 24, 99, 97, 54]"
41,39,"[36, 26, 27, 5, 35, 79, 50, 84, 41, 20]"
42,40,"[70, 92, 71, 5, 43, 29, 86, 25, 14, 18]"
43,41,"[6, 76, 75, 65, 43, 8, 80, 93, 29, 69]"
44,42,"[53, 44, 25, 24, 75, 92, 77, 87, 66, 28]"
45,43,"[68, 32, 89, 83, 17, 23, 69, 29, 5, 27]"
46,44,"[10, 93, 20, 61, 3, 33, 34, 47, 69, 54]"
47,45,"[62, 4, 80, 72, 90, 20, 99, 58, 69, 18]"
48,46,"[23, 79, 27, 20, 81, 35, 22, 86, 50, 46]"
49,47,"[52, 31, 85, 71, 21, 45, 40, 47, 66, 97]"
50,48,"[43, 86, 93, 67, 42, 39, 92, 90, 58, 32]"
51,49,"[37, 61, 55, 2, 67, 51, 80, 40, 75, 78]"
52,50,"[78, 94, 72, 31, 27, 87, 23, 65, 88, 63]"
1,global_rounds,id_list
2,0,"[66, 86, 43, 15, 93, 6, 46, 33, 19, 65]"
3,1,"[53, 90, 45, 65, 59, 62, 98, 89, 97, 46]"
4,2,"[10, 36, 88, 31, 92, 70, 45, 19, 78, 14]"
5,3,"[81, 23, 67, 28, 2, 15, 35, 62, 50, 83]"
6,4,"[11, 75, 91, 14, 89, 51, 42, 44, 97, 94]"
7,5,"[39, 10, 52, 85, 32, 68, 54, 89, 58, 72]"
8,6,"[62, 4, 41, 20, 97, 38, 79, 35, 66, 91]"
9,7,"[74, 89, 77, 84, 17, 79, 38, 2, 27, 53]"
10,8,"[59, 6, 72, 91, 17, 28, 78, 44, 70, 39]"
11,9,"[28, 36, 22, 38, 30, 96, 73, 97, 98, 41]"
12,10,"[51, 47, 69, 36, 41, 82, 52, 28, 22, 68]"
13,11,"[10, 41, 48, 80, 81, 64, 12, 75, 55, 57]"
14,12,"[38, 91, 45, 19, 5, 93, 23, 6, 90, 76]"
15,13,"[11, 71, 94, 52, 0, 78, 41, 35, 96, 77]"
16,14,"[89, 16, 7, 24, 34, 65, 70, 17, 43, 64]"
17,15,"[29, 8, 72, 7, 80, 98, 99, 39, 95, 67]"
18,16,"[67, 43, 1, 45, 36, 91, 94, 8, 9, 53]"
19,17,"[90, 62, 88, 96, 53, 3, 61, 48, 66, 69]"
20,18,"[86, 81, 5, 23, 48, 40, 70, 58, 24, 9]"
21,19,"[40, 38, 43, 87, 80, 85, 49, 93, 90, 52]"
22,20,"[84, 7, 97, 64, 10, 41, 73, 23, 76, 11]"
23,21,"[11, 38, 10, 85, 89, 4, 5, 53, 81, 43]"
24,22,"[34, 48, 80, 3, 74, 44, 65, 12, 58, 64]"
25,23,"[60, 17, 58, 41, 5, 1, 61, 72, 98, 47]"
26,24,"[29, 49, 72, 40, 51, 42, 30, 94, 33, 76]"
27,25,"[36, 33, 47, 10, 86, 87, 73, 62, 75, 99]"
