1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,mnist,FedDIV,0,2.702517241788583,0.11064849141618661,0.5403215615805899,0.30379335991050116,0.27850406771226915,0.8409516981951861,0.45993019494044757,0.10525358592422274,34.36,3,FedDIV
3,mnist,FedDIV,1,3.033945588662011,0.17538356242514117,0.555497048258002,0.3073031029119812,0.2989627050957591,0.7508009613281894,0.431931880653344,0.0988942385722704,34.36,4,FedDIV
4,mnist,FedDIV,2,2.992112669115091,0.2550618833057663,0.5857145259400622,0.3382484504707381,0.3132767011907759,0.630735006365055,0.3965594490211906,0.08929881434767943,21.099999999999998,3,FedDIV
5,mnist,FedDIV,3,2.9298339638765385,0.29184965493640563,0.6124555517896849,0.34740086572114526,0.3134843765008197,0.50999086642584,0.35658386168366235,0.07935710461511718,34.36,4,FedDIV
6,mnist,FedDIV,4,2.9711807417104064,0.3042833513945132,0.6370667832038376,0.34711430321002884,0.30565221069141796,0.5118734326789597,0.35767548207176025,0.07836837980519692,21.099999999999998,2,FedDIV
7,mnist,FedDIV,5,2.9335768937398297,0.3095876347459077,0.6606564835358009,0.3492069743537883,0.29574236995138103,0.43680852677910786,0.324946002261452,0.07417467626987276,34.36,3,FedDIV
8,mnist,FedDIV,6,2.895187675083963,0.3146067415730337,0.6808223268033526,0.35091073668673195,0.2870566286571878,0.43104769289695155,0.3218622944553416,0.07439361012602268,34.36,1,FedDIV
9,mnist,FedDIV,7,2.8069950979152227,0.32367535504477274,0.7016008153451667,0.34680701089186994,0.27677604054631766,0.41523780659057896,0.3160977517320084,0.07317548026545581,34.36,2,FedDIV
10,mnist,FedDIV,8,2.7521216360678045,0.3350824160155136,0.7184782518844206,0.34059748980634375,0.26620742820844623,0.43559234911557443,0.3235507805090352,0.07547592818528738,34.36,1,FedDIV
11,mnist,FedDIV,9,2.672175827874913,0.34996863058233046,0.7348060158313926,0.3364557021888963,0.2564317932207133,0.4298393393445654,0.3216152138081015,0.0750044113552883,28.94,2,FedDIV
12,mnist,FedDIV,10,2.6161613710073786,0.3646837392345862,0.7477054324498836,0.33564733037237104,0.24738612271868302,0.44167195691626593,0.3261363200221618,0.0761660419054191,28.94,1,FedDIV
13,mnist,FedDIV,11,2.545387652084071,0.37945588319169565,0.7597554695540055,0.3327962392528038,0.23893000295170969,0.43292293257081355,0.3240106165029046,0.07485977443609021,34.36,2,FedDIV
14,mnist,FedDIV,12,2.4138621705621937,0.40472252324188673,0.7735219715433053,0.3309236684480133,0.2311089160778839,0.4140269874508633,0.3165871155178012,0.0726741313118281,34.36,2,FedDIV
15,mnist,FedDIV,13,2.302165836375868,0.42559744481834255,0.7859587969507998,0.3259089213226268,0.22374040241967988,0.40007852406442473,0.3098740621013623,0.07139098642374202,28.94,2,FedDIV
16,mnist,FedDIV,14,2.20723233018335,0.4449324131637484,0.7970475843204711,0.32364926712579994,0.21599853480655398,0.3980231193292665,0.3090110190670368,0.07059270196395406,28.94,2,FedDIV
17,mnist,FedDIV,15,2.115037887907283,0.46198596931500596,0.8085165435591612,0.3224382270827585,0.2077296247979636,0.38188760312758513,0.30312717853781523,0.06912317893551014,34.36,2,FedDIV
18,mnist,FedDIV,16,2.029068641096848,0.4757314777847488,0.8192886256389447,0.3212036906093813,0.19873471438631765,0.3692636000895065,0.2997651033846741,0.06734957379743588,28.94,1,FedDIV
19,mnist,FedDIV,17,1.9147226556796366,0.49278503393600637,0.831415599559193,0.3194438387920839,0.18892767037844238,0.35056079357157394,0.2927304873438126,0.06465299877633326,28.94,2,FedDIV
20,mnist,FedDIV,18,1.8156520878628748,0.5082416015513603,0.8423012869157722,0.31605205516129536,0.1787489278890796,0.3439070654415868,0.2907727174974525,0.06360604094315246,28.94,1,FedDIV
21,mnist,FedDIV,19,1.7191001974239966,0.5219871100211031,0.8529888752997621,0.3085590482711477,0.16843474935305588,0.33441251315877474,0.28804120344610923,0.06193605862696508,28.94,1,FedDIV
