1,global_rounds,id_list
2,0,"[96, 3, 74, 13, 46, 50, 22, 86, 29, 62]"
3,1,"[3, 10, 74, 13, 46, 50, 22, 86, 29, 62]"
4,2,"[96, 3, 74, 10, 46, 50, 22, 58, 29, 62]"
5,3,"[3, 10, 11, 74, 50, 86, 22, 58, 29, 62]"
6,4,"[96, 3, 10, 74, 46, 50, 29, 58, 93, 62]"
7,5,"[74, 11, 10, 46, 50, 86, 87, 58, 29, 62]"
8,6,"[3, 58, 74, 46, 50, 86, 87, 90, 29, 62]"
9,7,"[74, 11, 46, 50, 86, 87, 24, 58, 29, 62]"
10,8,"[3, 74, 14, 46, 50, 86, 24, 58, 29, 62]"
11,9,"[96, 74, 11, 46, 50, 21, 24, 58, 29, 62]"
12,10,"[96, 3, 74, 46, 50, 83, 24, 58, 29, 62]"
13,11,"[74, 11, 50, 83, 20, 86, 24, 58, 29, 62]"
14,12,"[99, 11, 46, 50, 83, 86, 87, 24, 58, 62]"
15,13,"[96, 3, 46, 50, 83, 85, 87, 24, 58, 62]"
16,14,"[0, 96, 3, 10, 46, 50, 87, 24, 58, 62]"
17,15,"[74, 11, 46, 47, 83, 86, 24, 58, 29, 62]"
18,16,"[96, 3, 70, 46, 83, 87, 24, 58, 29, 62]"
19,17,"[2, 3, 70, 10, 46, 47, 87, 24, 58, 62]"
20,18,"[96, 3, 70, 74, 46, 16, 83, 24, 58, 62]"
21,19,"[96, 70, 46, 16, 51, 83, 87, 24, 58, 62]"
22,20,"[96, 37, 70, 74, 46, 16, 83, 24, 58, 62]"
1,global_rounds,id_list
2,0,"[69, 75, 44, 77, 47, 82, 83, 88, 25, 30]"
3,1,"[36, 69, 75, 77, 47, 82, 83, 88, 25, 30]"
4,2,"[36, 69, 75, 77, 47, 82, 83, 25, 26, 30]"
5,3,"[36, 69, 39, 75, 44, 77, 47, 83, 25, 30]"
6,4,"[36, 69, 75, 44, 77, 47, 83, 21, 25, 30]"
7,5,"[35, 36, 75, 44, 77, 47, 83, 21, 25, 30]"
8,6,"[35, 36, 75, 44, 77, 47, 83, 21, 86, 25]"
9,7,"[35, 36, 75, 43, 77, 44, 47, 83, 21, 25]"
10,8,"[35, 36, 75, 44, 77, 47, 83, 21, 54, 25]"
11,9,"[35, 36, 75, 43, 77, 47, 49, 83, 21, 25]"
12,10,"[35, 3, 36, 75, 44, 77, 47, 49, 21, 25]"
13,11,"[35, 36, 75, 44, 77, 47, 49, 21, 25, 31]"
14,12,"[35, 36, 75, 44, 77, 47, 49, 20, 21, 25]"
15,13,"[35, 36, 75, 44, 77, 49, 20, 21, 89, 25]"
16,14,"[35, 67, 36, 75, 44, 77, 49, 20, 21, 25]"
17,15,"[67, 36, 35, 75, 44, 49, 20, 21, 25, 94]"
18,16,"[67, 36, 35, 72, 75, 44, 49, 20, 21, 25]"
19,17,"[67, 36, 35, 72, 10, 75, 49, 20, 21, 25]"
20,18,"[67, 36, 35, 72, 75, 76, 44, 49, 20, 25]"
21,19,"[67, 36, 37, 35, 72, 75, 76, 44, 49, 25]"
22,20,"[67, 68, 36, 35, 72, 75, 76, 43, 49, 20]"
23,21,"[67, 36, 35, 70, 72, 75, 76, 43, 49, 83]"
24,22,"[67, 36, 35, 72, 75, 76, 44, 49, 83, 24]"
25,23,"[67, 36, 35, 72, 75, 76, 44, 49, 83, 95]"
26,24,"[67, 36, 6, 72, 10, 75, 76, 44, 49, 21]"
27,25,"[67, 36, 38, 72, 10, 75, 76, 44, 49, 95]"
28,26,"[67, 36, 72, 42, 75, 76, 44, 49, 83, 95]"
29,27,"[67, 36, 72, 10, 75, 76, 44, 16, 49, 95]"
30,28,"[65, 67, 36, 6, 72, 75, 76, 44, 49, 83]"
31,29,"[65, 67, 36, 72, 75, 76, 44, 78, 49, 95]"
32,30,"[64, 65, 67, 36, 72, 75, 76, 44, 49, 95]"
33,31,"[65, 98, 67, 36, 6, 72, 75, 76, 44, 49]"
34,32,"[1, 65, 98, 36, 67, 6, 72, 75, 76, 44]"
35,33,"[65, 98, 36, 6, 72, 76, 44, 49, 83, 60]"
36,34,"[32, 65, 98, 36, 72, 43, 76, 49, 83, 95]"
37,35,"[65, 98, 99, 36, 6, 72, 43, 76, 49, 83]"
38,36,"[65, 98, 99, 36, 72, 43, 76, 49, 83, 90]"
39,37,"[65, 34, 99, 36, 72, 43, 76, 49, 83, 90]"
40,38,"[65, 36, 6, 72, 10, 43, 76, 46, 49, 90]"
41,39,"[65, 99, 4, 36, 72, 43, 76, 49, 83, 90]"
42,40,"[65, 36, 6, 72, 43, 76, 48, 83, 88, 90]"
43,41,"[65, 6, 72, 44, 76, 14, 48, 83, 88, 90]"
44,42,"[65, 36, 6, 72, 43, 76, 48, 81, 83, 90]"
45,43,"[65, 66, 36, 72, 43, 76, 48, 81, 83, 90]"
46,44,"[65, 66, 36, 72, 9, 43, 76, 48, 81, 90]"
47,45,"[65, 66, 36, 72, 44, 80, 48, 81, 83, 25]"
48,46,"[65, 66, 36, 72, 43, 48, 81, 83, 90, 29]"
49,47,"[65, 66, 36, 90, 72, 43, 48, 81, 20, 58]"
50,48,"[65, 66, 36, 6, 72, 43, 48, 83, 90, 63]"
51,49,"[65, 66, 36, 72, 43, 48, 81, 83, 90, 62]"
