1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,Cifar100,FedGCS,1,4.704940233236996,0.05072560244974038,0.5908986644947173,0.1054918642675956,0.17387684840565137,0.7057964930288484,0.41665707482338243,0.009024027388733272,32.0,0,oort
3,Cifar100,FedGCS,2,4.524847859420418,0.06403940886699508,0.6504994643278702,0.04635405415812694,0.19698864667301583,0.31822182468414445,0.28368067242079015,0.0062781306171360105,26.66,0,oort
4,Cifar100,FedGCS,3,4.295647282821369,0.08620689655172414,0.7058716146339025,0.04138186134362032,0.21901438663071568,0.10997884339552741,0.17030298169606042,0.0037203094573969794,27.06,0,oort
5,Cifar100,FedGCS,4,4.2236115902041815,0.09798961523099455,0.7277068165150232,0.04706947192525119,0.22672029549212996,0.10413182088261219,0.16557074369717462,0.003605335602382502,26.66,0,oort
6,Cifar100,FedGCS,5,4.142793507391317,0.10564505392091599,0.7447779667660923,0.05065355789302282,0.23204665804560648,0.08181916337483039,0.14640917637676598,0.0032162613523866916,28.52,0,oort
7,Cifar100,FedGCS,6,4.031638263054868,0.11283450938623353,0.7641022009935854,0.053123714969571696,0.23745981386993584,0.04829928374063546,0.11073021415259553,0.0024671727279000763,26.66,0,oort
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,Cifar100,FedGCS,1,4.4878010086920375,0.05445346824657169,0.6297864366370228,0.02761335918854536,0.1771901501937758,0.34279637022863085,0.29767635914784113,0.006936543606206529,30.09,0,oort
3,Cifar100,FedGCS,2,4.567568042173145,0.06690187724670484,0.6577529240612863,0.03343526427624839,0.20356400009505654,0.3051918368289141,0.28144115576352347,0.006429268292682928,26.66,0,oort
4,Cifar100,FedGCS,3,4.393122893946801,0.08048195979230462,0.697526490653392,0.03855001574891817,0.23621719457090048,0.19140376879772425,0.2218890705673758,0.004948999377390377,26.66,0,oort
5,Cifar100,FedGCS,4,4.206642520969443,0.0988550126481161,0.7326196129369763,0.046699591433943366,0.24976247269983212,0.10300634583210173,0.16471490526453195,0.0035825394940016634,27.06,0,oort
6,Cifar100,FedGCS,5,4.072196558548189,0.11117028358407668,0.7553925175629421,0.05262128420648452,0.2591513339617978,0.08297623633534318,0.14690227836774294,0.003087845705967977,32.0,0,oort
7,Cifar100,FedGCS,6,3.9875305705031,0.12235388097457063,0.768693658017413,0.05664259924223973,0.2561708236532802,0.06770671106606045,0.13245809546907905,0.002836356497840597,26.66,0,oort
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,Cifar100,FedGCS,1,4.425510404679448,0.056383970177073625,0.6449829390500661,0.028531737078195615,0.18102916736776486,0.24010733532494666,0.24659193224044332,0.005629317125491599,36.41,0,oort
3,Cifar100,FedGCS,2,4.413260119805166,0.05898016242843829,0.6856540339812934,0.03507109107976574,0.20305812563797665,0.35500430098971436,0.30641650784117536,0.006785754985754986,23.73,0,oort
4,Cifar100,FedGCS,3,4.287732324478529,0.0870722939688457,0.7130639966335224,0.05801954909569046,0.23075299612850456,0.23586184557072298,0.24926100019521255,0.005578495057494453,27.06,0,oort
5,Cifar100,FedGCS,4,4.425612475371932,0.09319664492078285,0.7112200507528182,0.050503667245091824,0.2281708747382603,0.661940260334674,0.4162065283364871,0.009179729729729729,37.81,0,oort
