1,id,select_time,isRichResource,last_select
2,0,0,False,0
3,1,3,False,5
4,2,27,False,6
5,3,0,False,0
6,4,0,False,0
7,5,0,False,0
8,6,4,False,4
9,7,4,False,4
10,8,0,False,0
11,9,6,False,2
12,10,2,False,6
13,11,5,False,3
14,12,0,False,0
15,13,0,False,0
16,14,0,False,0
17,15,2,False,6
18,16,5,False,3
19,17,0,False,0
20,18,3,False,5
21,19,0,False,0
22,20,7,False,1
23,21,0,False,0
24,22,2,False,6
25,23,7,False,1
26,24,4,False,4
27,25,2,False,6
28,26,7,False,1
29,27,4,False,4
30,28,0,False,0
31,29,0,False,0
32,30,7,False,1
33,31,3,False,5
34,32,6,False,2
35,33,7,False,1
36,34,3,False,5
37,35,3,False,5
38,36,0,False,0
39,37,6,False,2
40,38,6,False,2
41,39,0,False,0
42,40,0,False,0
43,41,0,False,0
44,42,0,False,0
45,43,3,False,5
46,44,6,False,2
47,45,5,False,3
48,46,6,False,2
49,47,0,False,0
50,48,0,False,0
51,49,0,False,0
52,50,3,False,5
53,51,4,False,4
54,52,2,False,6
55,53,3,False,5
56,54,7,False,1
57,55,2,False,6
58,56,7,False,1
59,57,6,False,2
60,58,0,False,0
61,59,0,False,0
62,60,0,False,0
63,61,4,False,4
64,62,0,False,0
65,63,0,False,0
66,64,0,False,0
67,65,7,False,1
68,66,0,False,0
69,67,0,False,0
70,68,0,False,0
71,69,4,False,4
72,70,0,False,0
73,71,0,False,0
74,72,0,False,0
75,73,5,False,3
76,74,0,False,0
77,75,5,False,3
78,76,2,False,6
79,77,0,False,0
80,78,4,False,4
81,79,4,False,4
82,80,5,False,3
83,81,0,False,0
84,82,5,False,3
85,83,5,False,3
86,84,0,False,0
87,85,6,False,2
88,86,0,False,0
89,87,0,False,0
90,88,2,False,6
91,89,0,False,0
92,90,0,False,0
93,91,5,False,3
94,92,7,False,1
95,93,2,False,6
96,94,0,False,0
97,95,6,False,2
98,96,0,False,0
99,97,0,False,0
100,98,0,False,0
101,99,3,False,5
1,id,select_time,isRichResource,last_select
2,0,0,False,0
3,1,0,False,0
4,2,20,False,6
5,3,0,False,0
6,4,0,False,0
7,5,0,False,0
8,6,0,False,0
9,7,6,False,2
10,8,2,False,6
11,9,4,False,4
12,10,2,False,6
13,11,3,False,5
14,12,6,False,2
15,13,2,False,6
16,14,4,False,4
17,15,0,False,0
18,16,0,False,0
19,17,4,False,4
20,18,4,False,4
21,19,5,False,3
22,20,7,False,1
23,21,0,False,0
24,22,5,False,3
25,23,5,False,3
26,24,7,False,1
27,25,3,False,5
28,26,0,False,0
29,27,0,False,0
30,28,0,False,0
31,29,3,False,5
32,30,0,False,0
33,31,0,False,0
34,32,6,False,2
35,33,7,False,1
36,34,3,False,5
37,35,0,False,0
38,36,6,False,2
39,37,3,False,5
40,38,7,False,1
41,39,5,False,3
42,40,2,False,6
43,41,0,False,0
44,42,0,False,0
45,43,0,False,0
46,44,0,False,0
47,45,0,False,0
48,46,5,False,3
49,47,0,False,0
50,48,2,False,6
51,49,7,False,1
52,50,0,False,0
53,51,5,False,3
54,52,2,False,6
55,53,0,False,0
56,54,3,False,5
57,55,0,False,0
58,56,6,False,2
59,57,0,False,0
60,58,6,False,2
61,59,6,False,2
62,60,0,False,0
63,61,6,False,2
64,62,0,False,0
65,63,7,False,1
66,64,2,False,6
67,65,0,False,0
68,66,6,False,2
69,67,0,False,0
70,68,5,False,3
71,69,4,False,4
72,70,5,False,3
73,71,0,False,0
74,72,0,False,0
75,73,7,False,1
76,74,0,False,0
77,75,3,False,5
78,76,4,False,4
79,77,4,False,4
80,78,2,False,6
81,79,7,False,1
82,80,4,False,4
83,81,0,False,0
84,82,4,False,4
85,83,0,False,0
86,84,0,False,0
87,85,0,False,0
88,86,2,False,6
89,87,0,False,0
90,88,3,False,5
91,89,0,False,0
92,90,0,False,0
93,91,0,False,0
94,92,3,False,5
95,93,7,False,1
96,94,5,False,3
97,95,0,False,0
98,96,7,False,1
99,97,0,False,0
100,98,0,False,0
101,99,0,False,0
1,id,select_time,isRichResource,last_select
2,0,22,False,96
3,1,22,False,85
4,2,22,False,93
5,3,22,False,74
6,4,22,False,74
7,5,22,False,98
8,6,22,False,90
9,7,22,False,86
10,8,22,False,94
11,9,22,False,97
12,10,22,False,92
13,11,22,False,97
14,12,22,False,100
15,13,22,False,95
16,14,22,False,99
17,15,22,False,92
18,16,22,False,89
19,17,4,False,101
20,18,22,False,86
21,19,22,False,99
22,20,22,False,83
23,21,22,False,74
24,22,4,False,101
25,23,22,False,97
26,24,22,False,100
27,25,22,False,84
28,26,22,False,89
29,27,22,False,100
30,28,22,False,87
31,29,22,False,99
32,30,22,False,76
33,31,22,False,99
34,32,22,False,80
35,33,22,False,100
36,34,4,False,101
37,35,4,False,101
38,36,22,False,79
39,37,22,False,97
40,38,22,False,91
41,39,22,False,93
42,40,22,False,94
43,41,22,False,81
44,42,22,False,90
45,43,4,False,101
46,44,22,False,100
47,45,22,False,99
48,46,22,False,96
49,47,22,False,97
50,48,22,False,95
51,49,22,False,91
52,50,22,False,95
53,51,22,False,90
54,52,22,False,88
55,53,22,False,96
56,54,22,False,98
57,55,22,False,93
58,56,22,False,94
59,57,22,False,99
60,58,22,False,82
61,59,22,False,96
62,60,22,False,98
63,61,22,False,92
64,62,22,False,94
65,63,22,False,79
66,64,22,False,82
67,65,22,False,94
68,66,22,False,100
69,67,22,False,92
70,68,22,False,96
71,69,4,False,101
72,70,22,False,73
73,71,4,False,101
74,72,22,False,100
75,73,22,False,100
76,74,22,False,92
77,75,22,False,92
78,76,22,False,96
79,77,22,False,98
80,78,22,False,88
81,79,22,False,94
82,80,22,False,89
83,81,22,False,87
84,82,22,False,97
85,83,22,False,100
86,84,22,False,96
87,85,22,False,88
88,86,22,False,98
89,87,22,False,99
90,88,22,False,94
91,89,4,False,101
92,90,22,False,90
93,91,22,False,76
94,92,22,False,87
95,93,22,False,100
96,94,22,False,88
97,95,4,False,101
98,96,22,False,83
99,97,22,False,87
100,98,22,False,97
101,99,4,False,101
