1,global_rounds,id_list
2,1,"[56, 26, 30, 23, 20, 65, 92, 54, 2, 33]"
3,2,"[2, 32, 46, 44, 85, 9, 38, 37, 95, 57]"
4,3,"[2, 73, 91, 83, 16, 45, 75, 82, 80, 11]"
5,4,"[2, 51, 7, 79, 69, 6, 27, 78, 24, 61]"
6,5,"[2, 43, 34, 18, 50, 31, 99, 53, 1, 35]"
7,6,"[2, 55, 52, 88, 25, 10, 93, 15, 22, 76]"
1,global_rounds,id_list
2,1,"[93, 63, 33, 79, 49, 20, 73, 38, 96, 24]"
3,2,"[2, 61, 56, 32, 12, 58, 7, 36, 59, 66]"
4,3,"[2, 22, 70, 51, 23, 39, 46, 68, 19, 94]"
5,4,"[2, 76, 14, 17, 18, 77, 80, 82, 9, 69]"
6,5,"[2, 54, 29, 25, 34, 75, 88, 11, 37, 92]"
7,6,"[2, 40, 13, 52, 8, 86, 78, 64, 48, 10]"
1,global_rounds,id_list
2,1,"[89, 71, 95, 34, 22, 17, 99, 35, 43, 69]"
3,2,"[1, 98, 70, 31, 55, 6, 15, 41, 94, 63]"
4,3,"[94, 44, 88, 82, 46, 30, 80, 37, 23, 24]"
5,4,"[1, 47, 36, 21, 11, 77, 4, 3, 86, 53]"
6,5,"[21, 25, 12, 29, 20, 1, 40, 64, 10, 85]"
7,6,"[82, 50, 96, 48, 51, 81, 9, 18, 76, 84]"
8,7,"[3, 60, 2, 67, 32, 0, 19, 91, 45, 75]"
9,8,"[63, 59, 57, 42, 65, 39, 5, 28, 72, 54]"
10,9,"[77, 90, 8, 38, 66, 33, 78, 97, 58, 56]"
11,10,"[53, 79, 16, 83, 73, 52, 74, 27, 7, 61]"
12,11,"[46, 93, 92, 26, 87, 62, 14, 68, 49, 13]"
13,12,"[10, 21, 41, 36, 80, 6, 94, 4, 29, 31]"
14,13,"[20, 44, 88, 24, 25, 85, 64, 98, 23, 47]"
15,14,"[81, 15, 76, 12, 55, 70, 86, 9, 84, 11]"
16,15,"[82, 75, 30, 96, 45, 37, 1, 50, 48, 67]"
17,16,"[59, 40, 5, 91, 63, 39, 54, 65, 18, 42]"
18,17,"[0, 28, 57, 32, 72, 3, 77, 60, 19, 78]"
19,18,"[51, 90, 7, 53, 97, 56, 73, 38, 74, 33]"
20,19,"[68, 79, 83, 52, 8, 13, 49, 26, 16, 58]"
21,20,"[20, 36, 47, 93, 85, 61, 62, 23, 44, 24]"
22,21,"[86, 88, 70, 11, 94, 14, 4, 9, 46, 2]"
23,22,"[25, 80, 76, 55, 92, 98, 66, 64, 10, 27]"
24,23,"[30, 5, 6, 63, 41, 59, 12, 81, 42, 84]"
25,24,"[75, 91, 29, 0, 3, 96, 28, 21, 1, 18]"
26,25,"[40, 90, 7, 65, 38, 45, 87, 56, 31, 78]"
27,26,"[60, 51, 79, 32, 50, 74, 8, 53, 16, 37]"
28,27,"[68, 33, 48, 19, 67, 39, 58, 26, 49, 54]"
29,28,"[9, 27, 93, 72, 15, 66, 80, 14, 98, 24]"
30,29,"[25, 6, 61, 73, 97, 55, 10, 63, 94, 70]"
31,30,"[64, 11, 52, 81, 41, 12, 84, 13, 85, 47]"
32,31,"[75, 83, 5, 82, 86, 29, 88, 2, 1, 23]"
33,32,"[21, 56, 31, 65, 20, 62, 30, 36, 90, 57]"
34,33,"[0, 4, 26, 39, 46, 50, 48, 45, 32, 77]"
35,34,"[3, 59, 28, 58, 18, 91, 7, 78, 8, 42]"
36,35,"[51, 52, 15, 24, 67, 72, 96, 97, 54, 81]"
37,36,"[53, 49, 87, 38, 13, 61, 64, 74, 47, 40]"
38,37,"[16, 75, 70, 19, 98, 94, 76, 25, 79, 14]"
