1,global_rounds,id_list
2,1,"[45, 7, 4, 19, 78, 24, 71, 77, 39, 97]"
3,2,"[2, 14, 52, 56, 16, 5, 38, 44, 81, 29]"
4,3,"[2, 43, 94, 35, 100, 1, 60, 76, 37, 2]"
5,4,"[2, 3, 8, 64, 28, 53, 85, 73, 10, 68]"
6,5,"[2, 46, 95, 61, 23, 21, 90, 70, 88, 9]"
7,6,"[2, 87, 6, 12, 33, 69, 89, 49, 55, 91]"
1,global_rounds,id_list
2,1,"[52, 29, 3, 97, 35, 80, 73, 9, 57, 23]"
3,2,"[2, 47, 40, 76, 72, 50, 39, 8, 15, 21]"
4,3,"[2, 32, 69, 38, 92, 26, 64, 77, 36, 67]"
5,4,"[2, 34, 59, 56, 66, 31, 46, 60, 99, 61]"
6,5,"[2, 79, 14, 82, 7, 28, 33, 88, 94, 62]"
7,6,"[2, 11, 2, 87, 93, 17, 49, 19, 90, 74]"
1,global_rounds,id_list
2,1,"[75, 53, 60, 82, 4, 98, 49, 50, 12, 31]"
3,2,"[2, 32, 26, 19, 78, 30, 97, 56, 28, 34]"
4,3,"[2, 38, 59, 73, 77, 22, 13, 6, 51, 83]"
5,4,"[2, 58, 36, 7, 47, 9, 33, 92, 70, 76]"
6,5,"[2, 100, 94, 95, 85, 46, 41, 14, 5, 43]"
7,6,"[2, 42, 3, 16, 62, 71, 61, 79, 25, 27]"
1,global_rounds,id_list
2,1,"[96, 16, 43, 48, 62, 89, 18, 94, 26, 78]"
3,2,"[2, 22, 34, 60, 53, 82, 15, 33, 28, 73]"
4,3,"[2, 50, 99, 72, 46, 4, 95, 55, 35, 11]"
5,4,"[2, 19, 14, 71, 77, 8, 100, 80, 29, 87]"
6,5,"[2, 91, 49, 44, 61, 13, 68, 59, 85, 1]"
7,6,"[2, 79, 36, 6, 92, 20, 12, 81, 27, 21]"
1,global_rounds,id_list
2,1,"[15, 92, 38, 80, 99, 52, 1, 46, 44, 55]"
3,2,"[2, 36, 50, 40, 54, 73, 93, 19, 31, 59]"
4,3,"[2, 60, 66, 71, 47, 58, 75, 85, 100, 86]"
5,4,"[2, 63, 32, 21, 37, 20, 61, 29, 83, 18]"
6,5,"[2, 10, 81, 9, 43, 12, 56, 53, 22, 45]"
7,6,"[2, 72, 8, 4, 48, 88, 49, 33, 28, 16]"
1,global_rounds,id_list
