1,id,select_time,isRichResource,last_select
2,0,0,False,0
3,1,6,False,2
4,2,20,False,6
5,3,4,False,4
6,4,3,False,5
7,5,0,False,0
8,6,0,False,0
9,7,5,False,3
10,8,7,False,1
11,9,7,False,1
12,10,3,False,5
13,11,2,False,6
14,12,0,False,0
15,13,0,False,0
16,14,3,False,5
17,15,5,False,3
18,16,3,False,5
19,17,0,False,0
20,18,0,False,0
21,19,4,False,4
22,20,0,False,0
23,21,0,False,0
24,22,0,False,0
25,23,3,False,5
26,24,3,False,5
27,25,0,False,0
28,26,2,False,6
29,27,2,False,6
30,28,0,False,0
31,29,6,False,2
32,30,0,False,0
33,31,0,False,0
34,32,0,False,0
35,33,0,False,0
36,34,2,False,6
37,35,0,False,0
38,36,6,False,2
39,37,5,False,3
40,38,0,False,0
41,39,7,False,1
42,40,2,False,6
43,41,0,False,0
44,42,4,False,4
45,43,2,False,6
46,44,5,False,3
47,45,0,False,0
48,46,0,False,0
49,47,0,False,0
50,48,7,False,1
51,49,0,False,0
52,50,6,False,2
53,51,2,False,6
54,52,0,False,0
55,53,0,False,0
56,54,5,False,3
57,55,0,False,0
58,56,0,False,0
59,57,0,False,0
60,58,4,False,4
61,59,5,False,3
62,60,0,False,0
63,61,7,False,1
64,62,2,False,6
65,63,0,False,0
66,64,0,False,0
67,65,7,False,1
68,66,6,False,2
69,67,2,False,6
70,68,0,False,0
71,69,0,False,0
72,70,0,False,0
73,71,3,False,5
74,72,4,False,4
75,73,6,False,2
76,74,0,False,0
77,75,3,False,5
78,76,6,False,2
79,77,5,False,3
80,78,7,False,1
81,79,6,False,2
82,80,0,False,0
83,81,0,False,0
84,82,0,False,0
85,83,0,False,0
86,84,7,False,1
87,85,0,False,0
88,86,0,False,0
89,87,0,False,0
90,88,4,False,4
91,89,4,False,4
92,90,6,False,2
93,91,4,False,4
94,92,0,False,0
95,93,7,False,1
96,94,0,False,0
97,95,5,False,3
98,96,0,False,0
99,97,3,False,5
100,98,5,False,3
101,99,4,False,4
