1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,mnist,FedPyramid,1,2.351709443441716,0.30896024639251696,0.6117464647409872,0.3423543740112957,0.3231762067026399,0.38133297459751286,0.3226358637616207,0.06490691900321648,24.06,0,oort
3,mnist,FedPyramid,2,2.015634576459577,0.3612045856385102,0.7027170074315011,0.3799607365350793,0.3081456468477378,0.13920901646252826,0.18666956185395794,0.042565480712516215,22.43,0,oort
4,mnist,FedPyramid,3,1.6154824912782548,0.4502937318199966,0.813927356175129,0.28127666256965733,0.23133109887338416,0.24573996049864574,0.25618361077984364,0.0581697181253324,30.470000000000002,0,oort
5,mnist,FedPyramid,4,1.738466547169056,0.40392402897393487,0.801642403628386,0.36823429050206025,0.22785537905047887,0.30802834190871614,0.283832499985805,0.054319383916798025,27.700000000000003,0,oort
6,mnist,FedPyramid,5,1.8736888533799474,0.37181315234129925,0.8263849208025285,0.3682104773965209,0.15876507212575539,0.37059261568936763,0.30909422406861514,0.07308188531080186,28.509999999999998,0,oort
7,mnist,FedPyramid,6,1.5114379862376663,0.4085438886670849,0.8691405716725339,0.31302501829449525,0.10623763911406735,0.4975049374141087,0.36630005385846853,0.08014370681733758,37.36,0,oort
8,mnist,FedPyramid,7,1.4317542183954812,0.5679005304283351,0.8647629838926175,0.3118180084402378,0.18562644628396865,0.32497770251575075,0.30784379977305176,0.051903867827234856,34.370000000000005,0,oort
9,mnist,FedPyramid,8,1.48714238983913,0.625049905891747,0.8597612200711091,0.328191902507556,0.21490970603328785,0.5201204499367954,0.3807736689411131,0.0730627378791807,30.470000000000002,0,oort
10,mnist,FedPyramid,9,1.1467853043737926,0.5964752181600411,0.9086137806662561,0.3183044904809771,0.12039875570165161,0.12486506740733722,0.17646619849131112,0.03943825244670025,28.32,0,oort
11,mnist,FedPyramid,10,0.9260318958903072,0.6770090686134718,0.9448731557223388,0.2597549781968559,0.07516733028314204,0.45940042557348737,0.35091779189044875,0.07318004649196956,24.04,0,oort
12,mnist,FedPyramid,11,0.9516814581715993,0.6234529173558433,0.9372215362294412,0.2515626235917381,0.06623933474631843,0.17276636328685394,0.20983370137651855,0.04699558297172353,29.58,0,oort
13,mnist,FedPyramid,12,0.9022773140342146,0.689328694461872,0.9511059876116891,0.22479018816529875,0.047120379984517645,0.5451945522469754,0.39252799518026343,0.0778869387755102,28.21,0,oort
14,mnist,FedPyramid,13,0.9601001446942274,0.6737010209319568,0.9338664710336778,0.2823281693666297,0.10092003899839808,0.16038697518762812,0.20070264712110567,0.047232906114453625,27.700000000000003,0,oort
15,mnist,FedPyramid,14,0.8753778930389591,0.7145953345120629,0.9383646190695762,0.27895236553287495,0.10979035016434914,0.3138133593163258,0.30061358659928217,0.04949175719308316,37.36,0,oort
16,mnist,FedPyramid,15,1.6116014531463612,0.5478241031198312,0.8977202354660606,0.3098529804615809,0.10856287791744636,1.1923818318167132,0.5384590076018654,0.12804079065588497,33.04,0,oort
17,mnist,FedPyramid,16,1.1639066736315153,0.5923116409057206,0.9348232432282111,0.2839367228772693,0.06093427537514189,0.5841491282567945,0.38694031226750863,0.08307144147049339,29.52,0,oort
