1,global_rounds,id_list
2,1,"[73, 69, 40, 9, 22, 66, 83, 58, 56, 6]"
3,2,"[66, 40, 45, 16, 21, 55, 56, 24, 58, 59]"
4,3,"[67, 70, 10, 79, 80, 61, 22, 87, 26, 29]"
1,global_rounds,id_list
2,1,"[73, 69, 40, 9, 22, 66, 83, 58, 56, 6]"
3,2,"[66, 40, 45, 16, 21, 55, 56, 24, 58, 59]"
4,3,"[67, 70, 10, 79, 80, 61, 22, 87, 26, 29]"
1,global_rounds,id_list
2,1,"[73, 69, 40, 9, 22, 66, 83, 58, 56, 6]"
3,2,"[66, 40, 45, 16, 21, 55, 56, 24, 58, 59]"
4,3,"[67, 70, 10, 79, 80, 61, 22, 87, 26, 29]"
1,global_rounds,id_list
2,1,"[73, 69, 40, 9, 22, 66, 83, 58, 56, 6]"
3,2,"[66, 40, 45, 16, 21, 55, 56, 24, 58, 59]"
4,3,"[67, 70, 10, 79, 80, 61, 22, 87, 26, 29]"
5,4,"[66, 72, 75, 46, 78, 48, 50, 56, 29, 63]"
1,global_rounds,id_list
2,1,"[73, 69, 40, 9, 22, 66, 83, 58, 56, 6]"
3,2,"[66, 40, 45, 16, 21, 55, 56, 24, 58, 59]"
4,3,"[67, 70, 10, 79, 80, 61, 22, 87, 26, 29]"
5,4,"[66, 72, 75, 46, 78, 48, 50, 56, 29, 63]"
6,5,"[66, 70, 71, 42, 50, 61, 52, 58, 60, 29]"
7,6,"[3, 38, 40, 42, 12, 79, 17, 24, 57, 63]"
8,7,"[67, 73, 41, 75, 77, 46, 80, 57, 27, 30]"
9,8,"[96, 33, 34, 3, 67, 7, 77, 88, 58, 63]"
10,9,"[64, 33, 66, 26, 71, 13, 24, 25, 58, 30]"
11,10,"[35, 70, 41, 46, 81, 50, 55, 56, 29, 30]"
12,11,"[64, 65, 0, 99, 36, 75, 12, 51, 55, 30]"
13,12,"[64, 98, 36, 7, 40, 12, 13, 45, 87, 23]"
14,13,"[99, 74, 75, 44, 77, 20, 88, 28, 29, 94]"
15,14,"[0, 10, 14, 78, 17, 51, 84, 53, 60, 93]"
16,15,"[96, 33, 37, 38, 7, 9, 14, 80, 18, 84]"
17,16,"[34, 3, 35, 37, 42, 80, 83, 51, 21, 23]"
18,17,"[64, 68, 37, 6, 46, 78, 81, 21, 57, 90]"
19,18,"[1, 98, 72, 44, 50, 51, 52, 87, 91, 95]"
20,19,"[1, 2, 70, 76, 12, 20, 53, 56, 24, 90]"
21,20,"[66, 35, 39, 71, 9, 11, 13, 46, 85, 21]"
22,21,"[96, 35, 36, 10, 11, 12, 90, 27, 28, 29]"
23,22,"[1, 68, 4, 70, 59, 79, 20, 86, 91, 30]"
24,23,"[67, 73, 12, 15, 16, 49, 81, 48, 20, 55]"
25,24,"[1, 38, 71, 72, 9, 47, 18, 84, 60, 31]"
26,25,"[38, 72, 73, 44, 77, 12, 19, 23, 28, 30]"
27,26,"[97, 34, 11, 77, 79, 51, 84, 53, 85, 29]"
28,27,"[2, 69, 88, 78, 49, 20, 87, 55, 24, 59]"
29,28,"[1, 66, 40, 11, 78, 16, 52, 23, 89, 58]"
30,29,"[66, 37, 72, 74, 60, 79, 80, 83, 86, 92]"
31,30,"[1, 70, 42, 75, 81, 18, 52, 56, 27, 92]"
32,31,"[0, 97, 33, 68, 36, 37, 9, 44, 47, 79]"
33,32,"[97, 66, 99, 33, 5, 76, 45, 46, 88, 28]"
34,33,"[33, 68, 4, 40, 16, 22, 55, 56, 25, 62]"
35,34,"[0, 2, 67, 45, 48, 82, 54, 24, 26, 94]"
36,35,"[99, 69, 38, 9, 11, 49, 54, 23, 92, 62]"
37,36,"[64, 39, 40, 41, 16, 82, 55, 25, 28, 62]"
38,37,"[64, 65, 4, 73, 9, 42, 85, 25, 27, 94]"
39,38,"[96, 38, 41, 10, 77, 45, 49, 82, 53, 29]"
40,39,"[96, 4, 37, 70, 76, 49, 17, 52, 28, 29]"
41,40,"[0, 5, 72, 88, 21, 86, 23, 22, 90, 59]"
42,41,"[33, 98, 36, 6, 73, 41, 12, 21, 54, 25]"
43,42,"[32, 66, 68, 90, 69, 86, 23, 25, 58, 92]"
44,43,"[65, 8, 41, 74, 43, 72, 28, 79, 53, 92]"
45,44,"[72, 42, 48, 19, 84, 53, 23, 55, 22, 25]"
46,45,"[0, 33, 2, 34, 7, 44, 51, 88, 25, 26]"
47,46,"[96, 2, 44, 80, 49, 50, 87, 23, 58, 92]"
48,47,"[32, 3, 37, 10, 42, 12, 19, 86, 56, 91]"
49,48,"[1, 6, 80, 50, 51, 23, 24, 58, 91, 29]"
50,49,"[68, 73, 18, 61, 82, 21, 56, 25, 63, 95]"
51,50,"[97, 72, 73, 76, 14, 52, 54, 87, 59, 30]"
52,51,"[4, 69, 5, 71, 50, 20, 23, 24, 31, 95]"
1,global_rounds,id_list
2,1,"[73, 69, 40, 9, 22, 66, 83, 58, 56, 6]"
3,2,"[66, 40, 45, 16, 21, 55, 56, 24, 58, 59]"
4,3,"[67, 70, 10, 79, 80, 61, 22, 87, 26, 29]"
5,4,"[66, 72, 75, 46, 78, 48, 50, 56, 29, 63]"
6,5,"[66, 70, 71, 42, 50, 61, 52, 58, 60, 29]"
7,6,"[3, 38, 40, 42, 12, 79, 17, 24, 57, 63]"
8,7,"[67, 73, 41, 75, 77, 46, 80, 57, 27, 30]"
9,8,"[96, 33, 34, 3, 67, 7, 77, 88, 58, 63]"
10,9,"[64, 33, 66, 26, 71, 13, 24, 25, 58, 30]"
11,10,"[35, 70, 41, 46, 81, 50, 55, 56, 29, 30]"
12,11,"[64, 65, 0, 99, 36, 75, 12, 51, 55, 30]"
13,12,"[64, 98, 36, 7, 40, 12, 13, 45, 87, 23]"
14,13,"[99, 74, 75, 44, 77, 20, 88, 28, 29, 94]"
15,14,"[0, 10, 14, 78, 17, 51, 84, 53, 60, 93]"
16,15,"[96, 33, 37, 38, 7, 9, 14, 80, 18, 84]"
17,16,"[34, 3, 35, 37, 42, 80, 83, 51, 21, 23]"
18,17,"[64, 68, 37, 6, 46, 78, 81, 21, 57, 90]"
19,18,"[1, 98, 72, 44, 50, 51, 52, 87, 91, 95]"
20,19,"[1, 2, 70, 76, 12, 20, 53, 56, 24, 90]"
21,20,"[66, 35, 39, 71, 9, 11, 13, 46, 85, 21]"
22,21,"[96, 35, 36, 10, 11, 12, 90, 27, 28, 29]"
