1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,mnist,FedRL,1,3.2873366043083134,0.09832886556778646,0.5318980153124839,0.25238407109720834,0.24840155620327997,0.8340655030218547,0.4578906074837234,0.09832165996440106,65.28,0,random
3,mnist,FedRL,2,2.5645487181251827,0.1257628472024183,0.5694670574291668,0.2891851757652667,0.2822882223420727,0.2762171231671722,0.25093981450170233,0.060749801409352974,69.0,0,random
4,mnist,FedRL,3,1.933102060653408,0.3406148405863229,0.7137398547938233,0.34484749971808804,0.283579324816008,0.1829485810053302,0.21501022817954765,0.04796801559697156,79.64,0,random
5,mnist,FedRL,4,1.5490006076565541,0.5859807220669595,0.8191501899701128,0.3190132431802729,0.26987360107987374,0.07534726831223751,0.14036880484045502,0.03067935753292644,57.61,0,random
6,mnist,FedRL,5,1.39580955015929,0.5892317344436206,0.8471465646435117,0.3384215098612256,0.22282625327311315,0.057533024445578035,0.12213862314894483,0.027516691158576946,79.64,0,random
7,mnist,FedRL,6,1.236518567171705,0.6454685450293732,0.8722183585876152,0.34313558201037203,0.20379441111923374,0.07020527060534114,0.1344685915784809,0.02750319255547602,66.16,0,random
8,mnist,FedRL,7,1.1432268819620686,0.6627502424000457,0.890181969643689,0.338920729818106,0.17866445848202236,0.06504334943538352,0.13177586069005948,0.0272235837984829,65.12,0,random
9,mnist,FedRL,8,1.0534707280592552,0.6803171162949866,0.9053650732192994,0.3287820598778088,0.15793445739929418,0.07117964224996472,0.1371824801626833,0.027235586680859805,44.25000000000001,0,random
10,mnist,FedRL,9,1.0673033710325366,0.6716477499572235,0.9078045449018259,0.3229632781112245,0.14873290195266975,0.08277701825138475,0.14880914237916923,0.03118828520597338,79.64,0,random
11,mnist,FedRL,10,1.007175954793137,0.6881309530599441,0.9174884832497837,0.30850109272899084,0.13594189955607824,0.06326502219590262,0.13146706087261664,0.026691440071461466,35.62,0,random
12,mnist,FedRL,11,0.9925836941445001,0.695089260252096,0.9211484252909372,0.29775908668925216,0.13164390122981567,0.06952414594383133,0.13911713048096036,0.02579821595175788,65.28,0,random
13,mnist,FedRL,12,0.9472532145419135,0.7136827696344037,0.9277540202147886,0.2842107984689866,0.12505209163727443,0.06237234981171024,0.13261798896735713,0.023710571189490944,70.38,0,random
14,mnist,FedRL,13,0.8928821925434881,0.7365539268807392,0.9342517242936881,0.271437337017673,0.12004773089076762,0.06009563697898095,0.1310609238665823,0.02124476512573215,58.3,0,random
15,mnist,FedRL,14,0.8597558221951873,0.7499572235213597,0.9382479943167519,0.2661070729131653,0.11590316094136109,0.06056730028795447,0.1316709126211806,0.022436929637526654,59.260000000000005,0,random
16,mnist,FedRL,15,0.8080041395565357,0.762447955284321,0.9435543974364601,0.2577430832039063,0.1090034909614028,0.04808340171039552,0.1159243492684648,0.019880327936820003,69.0,0,random
17,mnist,FedRL,16,0.7609770959704282,0.7703188273541323,0.9493630071102634,0.2511979553145084,0.09888948551116838,0.03962029667652879,0.1053634417415158,0.015068086978499226,70.38,0,random
18,mnist,FedRL,17,0.7229800543722285,0.7759082872297952,0.953604818871445,0.24604906825525244,0.09002700496653292,0.03604094720734059,0.1001864612778055,0.015067664766549221,65.87,0,random
19,mnist,FedRL,18,0.6889840419477664,0.7825814178976787,0.9576737632948565,0.23729725604015348,0.08148806423933475,0.03541779443186503,0.09951553149789834,0.014447413237461336,70.36,0,random
20,mnist,FedRL,19,0.6658175764814508,0.7889693720412936,0.9603244998144418,0.2312736658216762,0.07628324023287227,0.037911492530508004,0.10306621382223415,0.016386059961050983,65.87,0,random
21,mnist,FedRL,20,0.654339317206813,0.7902811840529288,0.9618677054869487,0.22619640871134106,0.07283777354714879,0.04039987840093063,0.10656655682589272,0.01597483763743817,79.64,0,random
22,mnist,FedRL,21,0.640967712884351,0.7927907374664918,0.9633243966025685,0.2202338053823326,0.06983129724267031,0.04154884885446866,0.10813028068154527,0.017158781284004356,70.38,0,random
