1,id,select_time,isRichResource,last_select
2,0,13,False,59
3,1,6,False,59
4,2,6,False,58
5,3,5,False,52
6,4,7,False,44
7,5,2,False,53
8,6,9,False,59
9,7,8,False,60
10,8,5,False,35
11,9,9,False,55
12,10,4,False,34
13,11,7,False,60
14,12,5,False,56
15,13,9,False,56
16,14,6,False,52
17,15,7,False,55
18,16,7,False,60
19,17,5,False,51
20,18,3,False,50
21,19,10,False,59
22,20,7,False,60
23,21,7,False,60
24,22,10,False,50
25,23,7,False,58
26,24,1,False,17
27,25,11,False,55
28,26,1,False,26
29,27,4,False,40
30,28,4,False,51
31,29,2,False,56
32,30,8,False,53
33,31,8,False,59
34,32,5,False,55
35,33,3,False,13
36,34,1,False,38
37,35,2,False,59
38,36,2,False,58
39,37,8,False,53
40,38,11,False,60
41,39,9,False,49
42,40,6,False,54
43,41,3,False,31
44,42,7,False,52
45,43,3,False,37
46,44,7,False,31
47,45,5,False,57
48,46,7,False,60
49,47,4,False,57
50,48,5,False,44
51,49,5,False,47
52,50,4,False,55
53,51,7,False,44
54,52,6,False,46
55,53,4,False,48
56,54,5,False,55
57,55,7,False,43
58,56,11,False,60
59,57,6,False,41
60,58,4,False,41
61,59,5,False,47
62,60,2,False,49
63,61,12,False,59
64,62,3,False,57
65,63,8,False,59
66,64,5,False,49
67,65,11,False,60
68,66,4,False,59
69,67,7,False,56
70,68,11,False,60
71,69,11,False,57
72,70,7,False,55
73,71,9,False,52
74,72,4,False,55
75,73,6,False,57
76,74,3,False,57
77,75,8,False,56
78,76,10,False,50
79,77,6,False,47
80,78,9,False,52
81,79,5,False,59
82,80,4,False,57
83,81,8,False,51
84,82,3,False,33
85,83,8,False,53
86,84,12,False,58
87,85,7,False,54
88,86,5,False,37
89,87,5,False,54
90,88,2,False,35
91,89,5,False,51
92,90,4,False,29
93,91,4,False,55
94,92,8,False,48
95,93,6,False,56
96,94,2,False,34
97,95,5,False,31
98,96,3,False,49
99,97,3,False,53
100,98,4,False,52
101,99,6,False,58
1,id,select_time,isRichResource,last_select
2,0,4,False,57
3,1,4,False,35
4,2,5,False,49
5,3,6,False,58
6,4,10,False,54
7,5,6,False,53
8,6,9,False,60
9,7,4,False,55
10,8,7,False,36
11,9,9,False,54
12,10,8,False,60
13,11,6,False,38
14,12,3,False,56
15,13,8,False,58
16,14,4,False,34
17,15,3,False,43
18,16,4,False,41
19,17,2,False,51
20,18,4,False,54
21,19,8,False,54
22,20,11,False,51
23,21,7,False,60
24,22,10,False,58
25,23,8,False,56
26,24,5,False,47
27,25,4,False,58
28,26,11,False,57
29,27,12,False,60
30,28,3,False,52
31,29,7,False,56
32,30,8,False,50
33,31,4,False,55
34,32,6,False,53
35,33,11,False,59
36,34,7,False,45
37,35,4,False,24
38,36,7,False,60
39,37,4,False,59
40,38,5,False,53
41,39,5,False,57
42,40,5,False,55
43,41,4,False,40
44,42,10,False,58
45,43,7,False,56
46,44,11,False,60
47,45,4,False,44
48,46,2,False,15
49,47,2,False,45
50,48,7,False,53
51,49,2,False,60
52,50,9,False,45
53,51,7,False,41
54,52,7,False,49
55,53,6,False,29
56,54,4,False,56
57,55,10,False,57
58,56,4,False,57
59,57,3,False,32
60,58,14,False,59
61,59,7,False,60
62,60,5,False,53
63,61,4,False,58
64,62,5,False,52
65,63,5,False,51
66,64,7,False,55
67,65,3,False,57
68,66,7,False,56
69,67,5,False,59
70,68,5,False,58
71,69,7,False,56
72,70,4,False,38
73,71,8,False,59
74,72,3,False,52
75,73,6,False,59
76,74,4,False,60
77,75,3,False,42
78,76,11,False,59
79,77,5,False,40
80,78,2,False,19
81,79,12,False,56
82,80,6,False,60
83,81,4,False,36
84,82,5,False,54
85,83,8,False,57
86,84,4,False,59
87,85,12,False,58
88,86,6,False,43
89,87,6,False,55
90,88,4,False,55
91,89,3,False,46
92,90,4,False,55
93,91,10,False,50
94,92,2,False,52
95,93,7,False,56
96,94,4,False,57
97,95,8,False,55
98,96,5,False,45
99,97,4,False,58
100,98,4,False,57
101,99,5,False,58
1,id,select_time,isRichResource,last_select
2,0,8,False,144
3,1,10,False,152
4,2,10,False,155
5,3,16,False,153
6,4,31,False,155
7,5,15,False,135
8,6,18,False,128
9,7,10,False,130
10,8,16,False,133
11,9,16,False,139
12,10,23,False,155
13,11,9,False,125
14,12,12,False,140
15,13,15,False,153
