1,global_rounds,id_list
2,1,"[25, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
3,2,"[32, 14, 23, 61, 16, 89, 69, 71, 19, 76]"
4,3,"[14, 86, 46, 37, 51, 85, 84, 15, 67, 6]"
5,4,"[75, 52, 33, 65, 30, 41, 4, 11, 57, 38]"
6,5,"[15, 92, 84, 80, 86, 77, 56, 71, 53, 25]"
7,6,"[70, 16, 45, 48, 21, 10, 76, 22, 78, 3]"
8,7,"[22, 67, 0, 46, 84, 20, 44, 8, 66, 85]"
9,8,"[21, 4, 25, 28, 11, 20, 22, 95, 73, 92]"
10,9,"[82, 20, 11, 83, 90, 23, 92, 67, 86, 0]"
11,10,"[50, 22, 40, 70, 92, 42, 68, 13, 85, 44]"
12,11,"[58, 76, 33, 13, 6, 49, 78, 56, 30, 67]"
13,12,"[62, 50, 39, 75, 63, 31, 83, 87, 45, 17]"
14,13,"[92, 87, 75, 15, 27, 14, 0, 58, 33, 18]"
15,14,"[7, 95, 89, 44, 61, 81, 76, 40, 1, 91]"
16,15,"[83, 70, 15, 76, 71, 42, 57, 40, 79, 10]"
17,16,"[12, 25, 44, 39, 61, 56, 53, 59, 17, 27]"
18,17,"[19, 38, 78, 12, 55, 37, 61, 88, 24, 98]"
19,18,"[64, 69, 72, 99, 51, 13, 44, 37, 97, 6]"
20,19,"[0, 12, 81, 9, 42, 60, 23, 10, 87, 49]"
21,20,"[38, 48, 87, 54, 64, 9, 86, 77, 69, 11]"
22,21,"[13, 39, 80, 6, 12, 40, 22, 84, 63, 95]"
23,22,"[19, 41, 43, 59, 51, 48, 38, 2, 31, 64]"
24,23,"[20, 93, 75, 18, 23, 65, 37, 22, 71, 98]"
25,24,"[31, 3, 68, 84, 62, 78, 98, 37, 79, 25]"
26,25,"[55, 57, 56, 81, 61, 69, 22, 90, 59, 83]"
27,26,"[78, 16, 21, 8, 26, 51, 57, 55, 83, 90]"
28,27,"[43, 17, 22, 46, 38, 57, 65, 55, 45, 70]"
29,28,"[68, 81, 0, 91, 67, 52, 66, 7, 95, 44]"
30,29,"[21, 2, 81, 78, 75, 82, 90, 55, 73, 38]"
31,30,"[8, 9, 84, 32, 6, 31, 22, 49, 42, 63]"
32,31,"[44, 95, 69, 41, 51, 1, 94, 71, 49, 93]"
33,32,"[16, 52, 71, 17, 96, 11, 58, 61, 42, 75]"
34,33,"[56, 13, 37, 84, 51, 31, 82, 38, 76, 4]"
35,34,"[79, 10, 83, 4, 39, 19, 94, 69, 77, 78]"
36,35,"[28, 99, 32, 75, 88, 77, 50, 8, 72, 6]"
37,36,"[52, 85, 46, 93, 65, 39, 63, 4, 14, 71]"
38,37,"[13, 16, 70, 40, 43, 69, 86, 83, 63, 55]"
39,38,"[11, 34, 9, 25, 91, 0, 85, 65, 30, 32]"
40,39,"[7, 80, 23, 79, 67, 81, 61, 68, 65, 27]"
41,40,"[56, 78, 48, 0, 46, 35, 54, 92, 27, 39]"
42,41,"[71, 31, 70, 72, 25, 57, 58, 30, 53, 73]"
43,42,"[7, 28, 37, 76, 66, 19, 73, 81, 38, 84]"
44,43,"[55, 65, 63, 13, 96, 68, 52, 77, 31, 25]"
45,44,"[68, 4, 3, 64, 48, 65, 69, 19, 56, 51]"
46,45,"[69, 85, 84, 2, 54, 47, 25, 59, 38, 76]"
47,46,"[7, 52, 47, 39, 25, 89, 30, 21, 92, 74]"
48,47,"[93, 49, 20, 59, 19, 61, 77, 0, 56, 9]"
49,48,"[68, 39, 53, 76, 69, 61, 0, 92, 30, 29]"
50,49,"[89, 64, 96, 14, 74, 2, 9, 15, 39, 60]"
51,50,"[18, 76, 22, 65, 68, 56, 99, 97, 42, 30]"
52,51,"[28, 45, 61, 81, 36, 47, 17, 23, 89, 21]"
53,52,"[3, 84, 78, 19, 71, 98, 99, 15, 42, 14]"
54,53,"[5, 37, 1, 93, 83, 68, 30, 9, 97, 54]"
55,54,"[85, 99, 61, 7, 40, 0, 87, 20, 73, 13]"
56,55,"[9, 32, 91, 72, 70, 63, 15, 50, 54, 25]"
57,56,"[29, 13, 38, 93, 46, 75, 1, 12, 67, 84]"
58,57,"[62, 47, 65, 73, 80, 56, 74, 45, 69, 0]"
59,58,"[36, 2, 19, 16, 68, 99, 0, 23, 84, 6]"
60,59,"[61, 6, 79, 0, 66, 35, 63, 19, 31, 1]"
61,60,"[11, 38, 16, 46, 56, 21, 65, 7, 20, 68]"
1,global_rounds,id_list
2,1,"[53, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
3,2,"[84, 16, 77, 71, 53, 34, 51, 3, 39, 30]"
4,3,"[99, 79, 62, 85, 75, 50, 45, 20, 56, 51]"
5,4,"[67, 80, 1, 91, 38, 79, 51, 72, 40, 74]"
6,5,"[59, 50, 61, 6, 81, 87, 57, 23, 9, 80]"
7,6,"[96, 69, 19, 83, 45, 38, 52, 2, 64, 47]"
8,7,"[67, 58, 68, 23, 43, 8, 14, 48, 35, 53]"
9,8,"[83, 44, 78, 8, 52, 20, 93, 27, 22, 6]"
10,9,"[48, 66, 15, 4, 44, 55, 19, 37, 25, 86]"
11,10,"[42, 91, 29, 32, 62, 0, 13, 30, 19, 14]"
12,11,"[46, 67, 51, 64, 95, 97, 18, 43, 73, 84]"
13,12,"[98, 20, 94, 58, 26, 21, 50, 59, 30, 82]"
14,13,"[90, 66, 24, 31, 26, 81, 85, 44, 91, 87]"
15,14,"[11, 86, 42, 0, 89, 87, 37, 58, 3, 98]"
16,15,"[52, 36, 39, 82, 34, 15, 1, 46, 73, 42]"
17,16,"[42, 61, 93, 53, 55, 34, 65, 27, 76, 75]"
18,17,"[23, 87, 21, 6, 33, 31, 41, 29, 26, 60]"
19,18,"[68, 42, 91, 8, 30, 22, 52, 79, 24, 10]"
20,19,"[34, 86, 78, 58, 85, 16, 6, 9, 92, 35]"
21,20,"[29, 11, 54, 27, 37, 62, 43, 67, 58, 70]"
22,21,"[58, 32, 93, 48, 59, 35, 23, 49, 21, 20]"
23,22,"[34, 95, 62, 42, 91, 41, 77, 50, 33, 10]"
24,23,"[53, 88, 48, 8, 81, 70, 33, 96, 14, 30]"
25,24,"[26, 99, 79, 69, 95, 20, 33, 13, 38, 35]"
26,25,"[33, 29, 51, 55, 26, 11, 50, 60, 79, 13]"
27,26,"[55, 22, 64, 10, 85, 99, 95, 13, 90, 71]"
28,27,"[9, 56, 5, 10, 4, 63, 76, 11, 55, 27]"
29,28,"[65, 16, 27, 58, 98, 85, 42, 61, 93, 97]"
30,29,"[36, 7, 57, 4, 80, 31, 86, 53, 22, 28]"
31,30,"[33, 4, 94, 64, 11, 71, 41, 9, 80, 85]"
32,31,"[91, 73, 39, 55, 79, 74, 2, 20, 44, 27]"
33,32,"[58, 20, 91, 54, 79, 73, 44, 57, 34, 84]"
34,33,"[88, 85, 33, 76, 5, 8, 95, 44, 70, 83]"
35,34,"[85, 9, 19, 50, 18, 59, 38, 76, 14, 58]"
36,35,"[42, 12, 19, 83, 93, 44, 66, 1, 24, 43]"
37,36,"[66, 77, 88, 13, 20, 8, 81, 29, 90, 82]"
38,37,"[58, 5, 63, 85, 91, 36, 52, 23, 76, 59]"
39,38,"[77, 22, 11, 51, 63, 76, 32, 70, 9, 58]"
40,39,"[71, 44, 27, 68, 95, 66, 96, 64, 86, 45]"
41,40,"[77, 40, 32, 26, 6, 30, 89, 29, 41, 66]"
42,41,"[58, 23, 51, 52, 22, 50, 97, 19, 21, 16]"
