1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,Kl,JS,EMD,round_time,highResourceClientNum,select_mode
2,mnist,FedVOI,1,3.501191832402564,0.09832886556778646,0.5253222648849762,0.25238407109720834,0.25293988458404176,0.9680659342837226,0.4954524838568611,0.10884760595004209,65.28,0,random
3,mnist,FedVOI,2,2.6477491272385714,0.10488792562596247,0.5775036128044402,0.2522530346837716,0.28104303360202443,0.4528691964326593,0.3379923063184602,0.0714014261917982,57.0,0,random
4,mnist,FedVOI,3,1.8266322731148188,0.3165459419380597,0.7523298762673373,0.35350765415035046,0.2263739238933064,0.10624845504074674,0.1609307530519658,0.03004381992935184,58.3,0,random
5,mnist,FedVOI,4,1.4874258795905035,0.4954086579592768,0.848582751329467,0.32978315076749715,0.17917208174925559,0.09233968199032966,0.15544593068871124,0.033841663932444005,66.16,0,random
6,mnist,FedVOI,5,1.4303658013665455,0.5005988707009639,0.8528814555641231,0.3284771459958441,0.17259641479386206,0.1604035145988602,0.19990977872940088,0.04476592798389522,64.37,0,random
7,mnist,FedVOI,6,1.4028267632820308,0.5185079564250271,0.8602473432555513,0.33191720450460316,0.16557105537068298,0.19539241930868928,0.22233998137877284,0.05141292998364799,65.87,0,random
8,mnist,FedVOI,7,1.266113103911598,0.5831289568242742,0.8821547631686881,0.3378893233994849,0.15763642149778126,0.10433547898963183,0.16098385533958087,0.034157120332924805,56.95,0,random
9,mnist,FedVOI,8,1.0875947741372323,0.6188900929675469,0.9074891948276245,0.34241978726680217,0.1321061711772264,0.05797883209738039,0.11978189530004524,0.02415042436224725,65.28,0,random
10,mnist,FedVOI,9,0.9657429207986387,0.6640620544116809,0.9236360214878083,0.3115637384765913,0.11868899072798408,0.05707683205918069,0.11968863376329554,0.02458089843454587,70.38,0,random
11,mnist,FedVOI,10,0.8951103735226881,0.6898420122055552,0.9336269074342879,0.2940549265119202,0.10565920065059257,0.05790745415288984,0.12089204742251686,0.025751564896336267,65.87,0,random
12,mnist,FedVOI,11,0.835888078059866,0.706667427137398,0.9429989734418079,0.2813237778557103,0.09003240598168064,0.06629780203201532,0.1298110936043015,0.0285331773041361,54.96,0,random
13,mnist,FedVOI,12,0.7836830771164127,0.7230935949352649,0.9519085225875695,0.2545810078372332,0.07111738548343922,0.05591858473009975,0.11938042929066929,0.025638399859382044,79.64,0,random
14,mnist,FedVOI,13,0.7449249248473412,0.7419152455369874,0.9572120500657116,0.2395673314419933,0.0629415183718852,0.06036269297672037,0.1231125032958594,0.025391263768352625,53.18,0,random
