1,id,select_time,isRichResource,last_select
2,0,6,False,38
3,1,5,False,39
4,2,12,False,45
5,3,3,False,31
6,4,3,False,28
7,5,3,False,12
8,6,4,False,50
9,7,3,False,29
10,8,3,False,31
11,9,5,False,39
12,10,4,False,42
13,11,6,False,38
14,12,7,False,46
15,13,2,False,45
16,14,12,False,48
17,15,8,False,50
18,16,4,False,45
19,17,7,False,49
20,18,4,False,27
21,19,4,False,43
22,20,7,False,41
23,21,5,False,45
24,22,7,False,44
25,23,4,False,39
26,24,7,False,40
27,25,4,False,45
28,26,7,False,46
29,27,1,False,26
30,28,10,False,43
31,29,2,False,39
32,30,10,False,41
33,31,5,False,48
34,32,10,False,42
35,33,4,False,50
36,34,4,False,36
37,35,4,False,49
38,36,10,False,46
39,37,5,False,47
40,38,2,False,28
41,39,4,False,43
42,40,2,False,31
43,41,9,False,50
44,42,7,False,50
45,43,0,False,0
46,44,3,False,12
47,45,5,False,50
48,46,9,False,46
49,47,7,False,32
50,48,7,False,49
51,49,8,False,48
52,50,4,False,46
53,51,3,False,50
54,52,2,False,41
55,53,2,False,47
56,54,5,False,50
57,55,6,False,46
58,56,4,False,43
59,57,2,False,49
60,58,3,False,30
61,59,5,False,47
62,60,3,False,48
63,61,8,False,47
64,62,4,False,34
65,63,5,False,42
66,64,2,False,50
67,65,7,False,47
68,66,4,False,50
69,67,3,False,33
70,68,7,False,40
71,69,4,False,39
72,70,0,False,0
73,71,3,False,33
74,72,5,False,44
75,73,5,False,48
76,74,12,False,49
77,75,4,False,44
78,76,6,False,46
79,77,4,False,44
80,78,4,False,48
81,79,6,False,49
82,80,7,False,45
83,81,3,False,19
84,82,6,False,47
85,83,7,False,49
86,84,4,False,49
87,85,6,False,40
88,86,5,False,29
89,87,6,False,43
90,88,4,False,31
91,89,5,False,29
92,90,1,False,39
93,91,5,False,37
94,92,7,False,25
95,93,3,False,48
96,94,3,False,42
97,95,7,False,45
98,96,3,False,46
99,97,2,False,49
100,98,4,False,37
101,99,6,False,45
1,id,select_time,isRichResource,last_select
2,0,5,False,138
3,1,16,False,144
4,2,40,False,156
5,3,16,False,148
6,4,26,False,154
7,5,19,False,155
8,6,9,False,121
9,7,20,False,150
10,8,19,False,152
11,9,11,False,149
12,10,15,False,148
13,11,14,False,150
14,12,8,False,133
15,13,18,False,153
16,14,25,False,157
17,15,32,False,156
18,16,14,False,134
19,17,34,False,156
20,18,15,False,155
21,19,18,False,154
22,20,12,False,132
23,21,14,False,148
24,22,27,False,143
