1,global_rounds,id_list
2,1,"[28, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
3,2,"[22, 46, 68, 41, 3, 9, 63, 76, 65, 81]"
4,3,"[32, 77, 11, 85, 73, 92, 0, 83, 40, 23]"
5,4,"[85, 1, 14, 82, 46, 48, 36, 74, 30, 49]"
6,5,"[56, 24, 92, 66, 85, 37, 33, 7, 74, 76]"
7,6,"[50, 33, 14, 68, 89, 5, 11, 12, 26, 44]"
8,7,"[14, 83, 28, 77, 74, 49, 29, 95, 20, 91]"
9,8,"[6, 22, 35, 37, 74, 49, 72, 58, 18, 30]"
10,9,"[82, 39, 46, 59, 62, 31, 11, 20, 9, 73]"
11,10,"[92, 12, 30, 61, 89, 74, 44, 1, 28, 46]"
12,11,"[50, 65, 22, 45, 11, 88, 95, 68, 46, 30]"
13,12,"[42, 98, 85, 16, 37, 80, 44, 95, 86, 5]"
14,13,"[65, 55, 15, 81, 88, 17, 14, 56, 78, 32]"
15,14,"[18, 49, 21, 30, 22, 15, 92, 28, 95, 24]"
16,15,"[2, 31, 79, 36, 63, 85, 77, 47, 38, 76]"
17,16,"[57, 45, 30, 65, 95, 73, 9, 32, 35, 49]"
18,17,"[82, 59, 65, 47, 32, 20, 80, 49, 61, 2]"
19,18,"[54, 32, 35, 61, 17, 2, 68, 74, 14, 69]"
20,19,"[2, 4, 86, 72, 41, 47, 81, 23, 80, 60]"
21,20,"[2, 8, 19, 64, 96, 91, 24, 58, 12, 0]"
22,21,"[11, 12, 71, 89, 86, 87, 25, 99, 47, 92]"
23,22,"[41, 21, 45, 36, 19, 20, 69, 59, 2, 47]"
24,23,"[67, 16, 92, 89, 32, 28, 30, 2, 87, 63]"
25,24,"[18, 52, 50, 34, 22, 54, 51, 83, 99, 32]"
26,25,"[10, 78, 92, 15, 80, 30, 0, 79, 37, 88]"
27,26,"[21, 54, 36, 68, 83, 42, 27, 32, 26, 39]"
28,27,"[14, 26, 91, 6, 41, 74, 71, 18, 69, 61]"
29,28,"[38, 17, 25, 4, 54, 98, 86, 74, 68, 93]"
30,29,"[34, 73, 23, 26, 89, 0, 86, 20, 7, 10]"
31,30,"[62, 28, 99, 47, 75, 36, 10, 0, 74, 58]"
32,31,"[28, 3, 87, 39, 15, 40, 36, 8, 48, 88]"
33,32,"[28, 24, 47, 42, 15, 17, 25, 65, 67, 62]"
34,33,"[67, 34, 94, 97, 84, 71, 72, 30, 99, 12]"
35,34,"[31, 49, 66, 62, 91, 36, 15, 26, 42, 46]"
36,35,"[82, 2, 60, 12, 41, 56, 36, 46, 20, 96]"
37,36,"[31, 80, 83, 48, 98, 59, 34, 74, 16, 99]"
38,37,"[48, 98, 61, 87, 24, 79, 91, 2, 76, 32]"
39,38,"[84, 72, 24, 0, 55, 1, 78, 11, 94, 75]"
40,39,"[90, 41, 9, 1, 23, 2, 33, 75, 69, 29]"
41,40,"[14, 83, 68, 61, 87, 55, 85, 46, 24, 45]"
42,41,"[30, 63, 41, 36, 95, 13, 14, 15, 20, 52]"
43,42,"[41, 82, 19, 94, 55, 28, 14, 63, 10, 32]"
44,43,"[14, 53, 22, 39, 28, 87, 80, 19, 79, 56]"
45,44,"[74, 22, 75, 93, 72, 55, 26, 21, 77, 61]"
46,45,"[21, 25, 14, 76, 80, 95, 13, 99, 16, 2]"
47,46,"[17, 50, 96, 36, 55, 12, 76, 26, 84, 46]"
48,47,"[61, 17, 59, 37, 42, 53, 48, 65, 82, 79]"
49,48,"[49, 42, 48, 93, 78, 31, 14, 66, 73, 60]"
50,49,"[97, 35, 17, 51, 84, 74, 48, 57, 79, 83]"
51,50,"[33, 66, 41, 6, 45, 42, 64, 54, 51, 15]"
1,global_rounds,id_list
2,1,"[53, 30, 92, 87, 98, 97, 21, 5, 7, 32]"
3,2,"[22, 46, 41, 68, 3, 63, 76, 34, 65, 9]"
4,3,"[32, 77, 11, 92, 0, 85, 73, 23, 83, 40]"
5,4,"[11, 62, 0, 48, 81, 3, 39, 85, 21, 34]"
6,5,"[25, 22, 66, 11, 76, 27, 63, 28, 26, 60]"
7,6,"[47, 61, 41, 32, 50, 7, 85, 54, 72, 55]"
8,7,"[50, 15, 36, 55, 67, 42, 40, 10, 45, 85]"
9,8,"[79, 6, 72, 22, 45, 44, 98, 73, 25, 85]"
10,9,"[16, 34, 74, 23, 48, 25, 2, 83, 61, 1]"
11,10,"[66, 76, 29, 20, 31, 85, 82, 28, 63, 64]"
12,11,"[31, 94, 7, 26, 45, 54, 72, 46, 5, 67]"
13,12,"[44, 42, 69, 68, 31, 3, 64, 25, 73, 46]"
14,13,"[69, 10, 66, 90, 45, 75, 74, 21, 51, 39]"
15,14,"[51, 88, 58, 54, 31, 69, 14, 33, 24, 71]"
16,15,"[32, 30, 21, 68, 8, 39, 60, 73, 72, 61]"
17,16,"[68, 61, 11, 76, 82, 34, 56, 77, 30, 69]"
18,17,"[47, 58, 99, 46, 29, 91, 45, 18, 28, 61]"
19,18,"[32, 14, 80, 91, 87, 24, 81, 97, 22, 39]"
20,19,"[55, 17, 8, 15, 57, 52, 81, 60, 45, 30]"
21,20,"[4, 43, 82, 99, 67, 84, 73, 69, 88, 6]"
22,21,"[67, 38, 90, 20, 61, 36, 33, 51, 30, 81]"
23,22,"[74, 17, 42, 32, 44, 9, 14, 10, 40, 90]"
24,23,"[64, 28, 39, 49, 54, 3, 13, 60, 97, 45]"
25,24,"[39, 68, 35, 41, 48, 20, 45, 34, 32, 89]"
26,25,"[58, 22, 66, 47, 65, 68, 95, 39, 40, 35]"
27,26,"[11, 6, 37, 19, 64, 56, 9, 54, 92, 33]"
28,27,"[53, 51, 88, 55, 69, 8, 48, 79, 10, 40]"
29,28,"[18, 51, 66, 8, 91, 23, 28, 87, 98, 80]"
30,29,"[59, 78, 22, 39, 57, 20, 66, 89, 68, 10]"
31,30,"[98, 79, 95, 12, 62, 1, 7, 36, 44, 67]"
32,31,"[84, 91, 93, 46, 38, 99, 18, 35, 80, 70]"
33,32,"[44, 53, 67, 22, 30, 77, 62, 66, 99, 42]"
34,33,"[99, 12, 75, 5, 14, 20, 15, 98, 62, 23]"
35,34,"[98, 21, 32, 38, 3, 50, 4, 87, 81, 68]"
36,35,"[81, 21, 63, 30, 54, 37, 25, 17, 78, 16]"
37,36,"[80, 54, 34, 66, 49, 16, 4, 86, 74, 15]"
38,37,"[82, 2, 32, 89, 61, 83, 33, 45, 88, 5]"
39,38,"[5, 32, 1, 17, 43, 51, 46, 6, 80, 41]"
40,39,"[62, 38, 54, 64, 6, 58, 67, 81, 86, 51]"
41,40,"[57, 38, 77, 51, 99, 23, 65, 30, 54, 93]"
42,41,"[17, 2, 7, 60, 63, 86, 15, 94, 88, 44]"
43,42,"[46, 20, 52, 7, 82, 32, 22, 68, 24, 38]"
44,43,"[74, 14, 17, 41, 42, 85, 77, 92, 93, 89]"
45,44,"[67, 70, 73, 33, 88, 77, 13, 5, 39, 92]"
46,45,"[76, 8, 15, 55, 36, 4, 44, 43, 48, 32]"
47,46,"[25, 28, 49, 18, 95, 14, 64, 12, 58, 67]"
48,47,"[31, 53, 25, 22, 14, 1, 67, 44, 37, 32]"
49,48,"[79, 24, 43, 87, 31, 44, 13, 92, 3, 0]"
50,49,"[72, 87, 51, 74, 14, 80, 77, 45, 65, 4]"
51,50,"[58, 89, 57, 25, 75, 37, 46, 29, 34, 18]"
52,51,"[51, 84, 20, 4, 63, 80, 17, 59, 41, 53]"
53,52,"[2, 82, 38, 71, 61, 44, 65, 72, 26, 13]"
54,53,"[89, 2, 19, 80, 69, 36, 98, 68, 58, 6]"
55,54,"[48, 59, 62, 26, 32, 47, 77, 33, 25, 2]"
56,55,"[5, 9, 73, 72, 60, 96, 13, 54, 66, 57]"
57,56,"[33, 32, 60, 48, 31, 74, 84, 55, 16, 11]"
58,57,"[92, 64, 32, 62, 45, 66, 19, 80, 2, 33]"
59,58,"[29, 81, 34, 88, 21, 87, 64, 69, 14, 66]"
60,59,"[70, 30, 13, 44, 59, 61, 28, 98, 83, 33]"
61,60,"[46, 15, 74, 35, 8, 61, 59, 91, 13, 43]"
62,61,"[29, 24, 31, 28, 14, 72, 87, 45, 16, 5]"
63,62,"[7, 84, 70, 92, 19, 65, 62, 4, 18, 32]"
64,63,"[92, 11, 73, 68, 46, 72, 58, 41, 22, 74]"
65,64,"[25, 92, 93, 73, 94, 17, 14, 3, 44, 55]"
66,65,"[15, 77, 7, 1, 29, 19, 10, 63, 97, 8]"
67,66,"[12, 67, 41, 42, 48, 36, 57, 1, 95, 98]"
68,67,"[48, 34, 25, 70, 2, 9, 30, 14, 57, 4]"
69,68,"[81, 60, 36, 75, 10, 65, 64, 67, 53, 61]"
70,69,"[28, 44, 66, 89, 77, 80, 30, 76, 11, 55]"
71,70,"[38, 19, 36, 25, 15, 26, 65, 61, 59, 32]"
72,71,"[5, 53, 21, 51, 32, 41, 43, 73, 36, 22]"
73,72,"[92, 4, 69, 73, 95, 15, 23, 14, 41, 80]"
74,73,"[95, 16, 89, 32, 85, 46, 90, 38, 53, 40]"
75,74,"[2, 32, 13, 14, 91, 31, 45, 17, 11, 33]"
76,75,"[22, 17, 42, 89, 8, 77, 1, 95, 63, 70]"
77,76,"[89, 17, 21, 2, 69, 16, 55, 75, 6, 67]"
78,77,"[30, 31, 5, 95, 17, 13, 80, 74, 82, 70]"
79,78,"[88, 38, 46, 64, 23, 16, 12, 68, 17, 31]"
80,79,"[80, 31, 47, 15, 45, 28, 37, 26, 9, 35]"
81,80,"[3, 68, 88, 13, 10, 36, 25, 16, 66, 24]"
82,81,"[44, 59, 17, 64, 86, 30, 1, 26, 85, 67]"
83,82,"[26, 46, 88, 85, 64, 67, 3, 32, 25, 63]"
84,83,"[1, 2, 4, 7, 12, 80, 28, 61, 57, 74]"
85,84,"[45, 59, 41, 68, 99, 80, 17, 22, 10, 33]"
86,85,"[78, 33, 0, 41, 87, 23, 20, 92, 93, 8]"
87,86,"[30, 15, 34, 7, 22, 71, 28, 37, 25, 21]"
88,87,"[73, 15, 66, 36, 93, 65, 46, 8, 58, 33]"
89,88,"[88, 45, 31, 6, 22, 98, 46, 62, 80, 94]"
90,89,"[7, 48, 18, 85, 63, 22, 41, 32, 55, 92]"
91,90,"[74, 15, 62, 5, 30, 7, 68, 46, 78, 89]"
92,91,"[41, 4, 19, 66, 42, 49, 11, 32, 69, 23]"
93,92,"[2, 4, 47, 23, 22, 49, 34, 89, 27, 76]"
94,93,"[23, 4, 30, 83, 32, 55, 67, 22, 45, 87]"
95,94,"[98, 46, 51, 71, 63, 2, 45, 43, 69, 80]"
96,95,"[85, 70, 69, 28, 17, 41, 99, 8, 4, 48]"
97,96,"[22, 2, 8, 89, 84, 18, 27, 59, 91, 32]"
98,97,"[14, 10, 98, 31, 26, 32, 46, 97, 2, 78]"
99,98,"[2, 17, 83, 41, 15, 68, 32, 98, 91, 77]"
100,99,"[34, 74, 53, 77, 64, 2, 29, 8, 89, 80]"
101,100,"[71, 83, 53, 72, 20, 21, 78, 88, 89, 87]"
102,101,"[17, 18, 1, 62, 30, 53, 22, 25, 45, 65]"
103,102,"[17, 45, 74, 16, 49, 63, 98, 31, 65, 30]"
104,103,"[32, 20, 45, 28, 71, 24, 43, 89, 55, 56]"
105,104,"[17, 2, 15, 45, 11, 23, 41, 47, 34, 50]"
106,105,"[19, 86, 23, 57, 17, 44, 59, 3, 32, 39]"
107,106,"[32, 78, 7, 9, 1, 16, 31, 88, 10, 36]"
108,107,"[5, 88, 15, 26, 67, 46, 18, 55, 27, 35]"
109,108,"[23, 45, 19, 30, 42, 66, 80, 8, 1, 41]"
110,109,"[46, 4, 13, 2, 69, 67, 17, 15, 44, 91]"
111,110,"[2, 32, 28, 19, 98, 3, 22, 46, 92, 5]"
112,111,"[7, 30, 15, 89, 14, 2, 78, 41, 55, 66]"
113,112,"[19, 2, 43, 71, 9, 13, 42, 32, 68, 7]"
114,113,"[2, 45, 42, 28, 50, 41, 61, 19, 32, 14]"
115,114,"[41, 42, 67, 72, 8, 62, 92, 76, 88, 45]"
116,115,"[80, 19, 32, 78, 4, 66, 89, 3, 28, 34]"
117,116,"[4, 98, 66, 86, 23, 71, 2, 33, 88, 99]"
118,117,"[28, 39, 64, 1, 74, 29, 17, 25, 68, 3]"
119,118,"[26, 98, 69, 68, 8, 15, 57, 5, 65, 41]"
120,119,"[39, 25, 31, 92, 17, 68, 78, 55, 24, 15]"
121,120,"[63, 32, 21, 41, 25, 28, 26, 2, 11, 89]"
122,121,"[46, 6, 99, 71, 30, 69, 16, 25, 53, 56]"
123,122,"[28, 63, 94, 67, 49, 7, 3, 25, 8, 33]"
124,123,"[2, 46, 14, 41, 15, 83, 66, 45, 55, 20]"
125,124,"[32, 23, 55, 4, 46, 5, 41, 39, 62, 60]"
126,125,"[62, 78, 41, 17, 87, 95, 99, 86, 22, 2]"
127,126,"[52, 77, 80, 67, 30, 66, 28, 22, 13, 55]"
128,127,"[80, 74, 33, 15, 77, 88, 28, 73, 34, 67]"
129,128,"[33, 45, 61, 30, 4, 16, 58, 18, 9, 5]"
130,129,"[13, 2, 22, 66, 50, 9, 38, 45, 31, 42]"
131,130,"[46, 22, 65, 7, 67, 2, 43, 78, 15, 97]"
132,131,"[53, 48, 46, 41, 10, 87, 61, 22, 1, 75]"
133,132,"[17, 20, 74, 32, 70, 46, 53, 4, 12, 2]"
134,133,"[38, 32, 31, 12, 69, 34, 48, 60, 67, 66]"
135,134,"[32, 16, 38, 65, 92, 73, 77, 55, 46, 58]"
136,135,"[2, 26, 60, 1, 17, 38, 19, 92, 25, 89]"
137,136,"[28, 17, 48, 31, 67, 33, 74, 66, 21, 41]"
138,137,"[2, 64, 49, 32, 95, 69, 68, 58, 41, 89]"
139,138,"[55, 18, 77, 40, 34, 86, 14, 0, 3, 30]"
140,139,"[67, 46, 17, 41, 88, 2, 49, 8, 14, 45]"
141,140,"[45, 4, 74, 91, 31, 68, 99, 48, 41, 27]"
142,141,"[41, 13, 10, 7, 69, 59, 45, 15, 11, 61]"
143,142,"[46, 55, 78, 53, 30, 4, 17, 7, 10, 15]"
144,143,"[41, 19, 80, 13, 81, 30, 22, 69, 94, 36]"
145,144,"[1, 80, 63, 5, 28, 39, 74, 34, 73, 71]"
146,145,"[80, 89, 15, 77, 93, 14, 81, 56, 45, 62]"
147,146,"[78, 55, 32, 26, 53, 5, 17, 18, 23, 91]"
148,147,"[78, 36, 73, 2, 19, 83, 31, 15, 80, 14]"
149,148,"[46, 33, 3, 86, 31, 10, 21, 53, 43, 2]"
150,149,"[53, 28, 2, 74, 45, 14, 18, 33, 15, 9]"
151,150,"[17, 7, 61, 19, 11, 4, 71, 45, 2, 87]"
152,151,"[72, 66, 4, 48, 40, 46, 15, 67, 99, 78]"
153,152,"[13, 4, 8, 45, 28, 39, 70, 38, 14, 32]"
154,153,"[28, 13, 93, 80, 64, 77, 55, 32, 2, 91]"
155,154,"[75, 15, 81, 19, 32, 4, 33, 69, 2, 78]"
156,155,"[5, 17, 32, 18, 46, 99, 39, 69, 89, 59]"
157,156,"[53, 30, 2, 32, 15, 79, 45, 17, 88, 42]"
158,157,"[78, 25, 80, 63, 67, 28, 72, 14, 42, 93]"
1,global_rounds,id_list
2,1,"[88, 9, 71, 20, 7, 98, 54, 37, 68, 64]"
3,2,"[14, 44, 77, 5, 59, 6, 54, 78, 80, 75]"
4,3,"[58, 69, 16, 4, 53, 20, 87, 32, 18, 61]"
5,4,"[61, 90, 4, 82, 95, 66, 42, 62, 72, 20]"
6,5,"[93, 88, 64, 62, 44, 65, 13, 43, 30, 98]"
7,6,"[3, 36, 17, 15, 85, 62, 49, 82, 1, 18]"
8,7,"[4, 83, 30, 65, 24, 71, 70, 28, 62, 69]"
9,8,"[16, 48, 46, 89, 19, 15, 92, 6, 79, 59]"
10,9,"[74, 13, 97, 30, 31, 68, 84, 45, 64, 22]"
11,10,"[28, 19, 16, 20, 39, 0, 13, 21, 65, 75]"
12,11,"[33, 94, 14, 59, 74, 65, 16, 25, 19, 41]"
13,12,"[85, 92, 72, 57, 38, 41, 89, 13, 24, 32]"
14,13,"[95, 83, 57, 68, 24, 89, 90, 51, 20, 93]"
15,14,"[86, 27, 2, 82, 25, 29, 31, 60, 84, 51]"
16,15,"[83, 45, 92, 62, 44, 4, 43, 42, 70, 16]"
17,16,"[26, 98, 61, 75, 90, 46, 0, 10, 88, 9]"
18,17,"[33, 32, 59, 53, 41, 18, 34, 85, 48, 62]"
19,18,"[55, 31, 57, 30, 42, 14, 79, 78, 62, 92]"
20,19,"[69, 51, 78, 48, 42, 25, 17, 46, 55, 53]"
21,20,"[2, 8, 19, 64, 96, 58, 0, 91, 24, 17]"
22,21,"[67, 38, 20, 90, 33, 61, 51, 36, 2, 98]"
23,22,"[26, 24, 54, 45, 32, 59, 1, 5, 41, 6]"
24,23,"[61, 64, 13, 35, 66, 53, 10, 9, 94, 95]"
25,24,"[78, 30, 15, 33, 65, 41, 92, 24, 46, 70]"
26,25,"[33, 2, 1, 54, 74, 3, 87, 15, 7, 25]"
27,26,"[33, 19, 32, 22, 98, 99, 27, 79, 95, 10]"
28,27,"[30, 16, 44, 14, 34, 25, 35, 56, 94, 77]"
29,28,"[31, 74, 45, 40, 37, 49, 44, 18, 30, 99]"
30,29,"[13, 66, 98, 0, 93, 88, 49, 75, 11, 40]"
31,30,"[21, 51, 53, 60, 75, 44, 29, 28, 31, 96]"
32,31,"[56, 38, 1, 64, 41, 14, 94, 73, 75, 19]"
33,32,"[23, 55, 78, 32, 66, 72, 26, 85, 79, 98]"
34,33,"[62, 42, 49, 58, 70, 66, 11, 8, 27, 77]"
35,34,"[97, 99, 68, 26, 2, 78, 76, 98, 94, 66]"
36,35,"[90, 62, 65, 86, 46, 97, 69, 6, 73, 16]"
37,36,"[47, 8, 74, 73, 83, 75, 19, 99, 50, 90]"
38,37,"[20, 11, 18, 72, 73, 57, 56, 87, 77, 68]"
39,38,"[80, 97, 41, 88, 83, 34, 79, 30, 16, 96]"
40,39,"[10, 61, 64, 35, 79, 55, 97, 34, 31, 48]"
41,40,"[72, 92, 42, 36, 15, 28, 24, 17, 7, 33]"
42,41,"[22, 58, 7, 82, 55, 67, 84, 72, 78, 65]"
43,42,"[68, 94, 39, 38, 93, 4, 5, 56, 26, 80]"
44,43,"[16, 20, 91, 65, 53, 35, 96, 38, 82, 5]"
45,44,"[61, 85, 25, 3, 10, 28, 33, 53, 0, 63]"
46,45,"[68, 38, 35, 10, 80, 57, 78, 5, 66, 47]"
47,46,"[8, 16, 41, 25, 68, 78, 76, 27, 57, 20]"
48,47,"[8, 48, 34, 7, 60, 64, 62, 59, 12, 32]"
49,48,"[98, 22, 13, 48, 54, 47, 88, 62, 77, 32]"
50,49,"[82, 17, 79, 45, 55, 8, 30, 71, 41, 68]"
51,50,"[95, 17, 35, 94, 20, 54, 15, 14, 52, 8]"
52,51,"[93, 16, 41, 55, 36, 0, 14, 62, 11, 82]"
53,52,"[3, 39, 59, 51, 95, 80, 55, 45, 50, 58]"
54,53,"[95, 66, 32, 13, 53, 60, 40, 24, 54, 41]"
55,54,"[25, 17, 65, 77, 15, 13, 7, 44, 62, 55]"
56,55,"[30, 22, 75, 78, 13, 26, 62, 55, 45, 14]"
57,56,"[99, 0, 21, 47, 42, 59, 26, 33, 95, 18]"
58,57,"[44, 20, 55, 39, 62, 98, 45, 19, 90, 85]"
59,58,"[48, 61, 5, 8, 92, 40, 49, 45, 81, 99]"
60,59,"[22, 48, 57, 7, 38, 41, 24, 49, 39, 97]"
61,60,"[14, 51, 42, 25, 10, 40, 49, 33, 8, 58]"
1,global_rounds,id_list
2,1,"[88, 9, 71, 20, 7, 98, 54, 37, 68, 64]"
3,2,"[14, 44, 77, 5, 59, 6, 54, 78, 80, 75]"
4,3,"[58, 69, 16, 4, 53, 20, 87, 32, 18, 61]"
5,4,"[61, 90, 4, 82, 95, 66, 42, 62, 72, 20]"
6,5,"[93, 88, 64, 62, 44, 65, 13, 43, 30, 98]"
7,6,"[3, 36, 17, 15, 85, 62, 49, 82, 1, 18]"
8,7,"[4, 83, 30, 65, 24, 71, 70, 28, 62, 69]"
9,8,"[16, 48, 46, 89, 19, 15, 92, 6, 79, 59]"
10,9,"[74, 13, 97, 30, 31, 68, 84, 45, 64, 22]"
11,10,"[28, 19, 16, 20, 39, 0, 13, 21, 65, 75]"
